start,trough,max_drawdown,recovery,duration_periods
2019-04-01,2020-03-02,-0.14020619486568953,2020-08-03,17
2025-11-03,2026-06-01,-0.09528220102058249,,8
2022-04-01,2022-04-01,-0.07008313420506596,2023-01-03,10
2023-08-01,2024-01-02,-0.06803920337582381,2024-04-01,9
2021-06-01,2021-07-01,-0.06151974274058292,2021-08-02,3
2024-08-01,2024-08-01,-0.05504321430153203,2024-09-02,2
2021-10-08,2021-10-08,-0.048607339256858895,2021-12-01,3
2020-12-01,2021-01-04,-0.04778939961298856,2021-03-01,4
2024-10-08,2025-02-05,-0.04561174402996915,2025-05-06,8
2023-05-04,2023-05-04,-0.015905369594745977,2023-07-03,3
2025-09-01,2025-09-01,-0.010143038198519694,2025-10-09,2
2020-09-01,2020-10-09,-0.009671994239146553,2020-11-02,3
2021-04-01,2021-04-01,-0.0029423441502485215,2021-05-06,2
