signal_date,code,status
2019-01-02,000429,executed
2019-01-02,000726,executed
2019-01-02,002039,executed
2019-01-02,002083,executed
2019-01-02,002394,executed
2019-01-02,002521,executed
2019-01-02,002701,executed
2019-01-02,600033,executed
2019-01-02,600168,executed
2019-01-02,600177,executed
2019-01-02,600269,executed
2019-01-02,600377,executed
2019-01-02,600508,executed
2019-01-02,600548,executed
2019-01-02,600642,executed
2019-01-02,600674,executed
2019-01-02,600795,executed
2019-01-02,600828,executed
2019-01-02,600900,executed
2019-01-02,600919,executed
2019-01-02,600926,executed
2019-01-02,601158,executed
2019-01-02,601169,executed
2019-01-02,601328,executed
2019-01-02,601988,executed
2019-02-01,000726,executed
2019-02-01,002039,executed
2019-02-01,002083,executed
2019-02-01,002394,executed
2019-02-01,002521,executed
2019-02-01,002701,executed
2019-02-01,600033,executed
2019-02-01,600170,executed
2019-02-01,600177,executed
2019-02-01,600269,executed
2019-02-01,600377,executed
2019-02-01,600508,executed
2019-02-01,600548,executed
2019-02-01,600642,executed
2019-02-01,600674,executed
2019-02-01,600795,executed
2019-02-01,600828,executed
2019-02-01,600900,executed
2019-02-01,600919,executed
2019-02-01,600926,executed
2019-02-01,601018,executed
2019-02-01,601158,executed
2019-02-01,601169,executed
2019-02-01,601328,executed
2019-02-01,601988,executed
2019-03-01,000525,executed
2019-03-01,000726,executed
2019-03-01,002039,executed
2019-03-01,002083,executed
2019-03-01,002394,executed
2019-03-01,002521,executed
2019-03-01,002701,executed
2019-03-01,600033,executed
2019-03-01,600170,executed
2019-03-01,600269,executed
2019-03-01,600377,executed
2019-03-01,600508,executed
2019-03-01,600548,executed
2019-03-01,600642,executed
2019-03-01,600674,executed
2019-03-01,600688,executed
2019-03-01,600795,executed
2019-03-01,600900,executed
2019-03-01,601018,executed
2019-03-01,601158,executed
2019-03-01,601169,executed
2019-03-01,601288,executed
2019-03-01,601328,executed
2019-03-01,601398,executed
2019-03-01,601988,executed
2019-04-01,000429,executed
2019-04-01,000726,executed
2019-04-01,002039,executed
2019-04-01,002394,executed
2019-04-01,002521,executed
2019-04-01,002701,executed
2019-04-01,600007,executed
2019-04-01,600023,executed
2019-04-01,600033,executed
2019-04-01,600377,executed
2019-04-01,600508,executed
2019-04-01,600548,executed
2019-04-01,600642,executed
2019-04-01,600674,executed
2019-04-01,600688,executed
2019-04-01,600750,executed
2019-04-01,600900,executed
2019-04-01,601006,executed
2019-04-01,601158,executed
2019-04-01,601169,executed
2019-04-01,601288,executed
2019-04-01,601328,executed
2019-04-01,601398,executed
2019-04-01,601988,executed
2019-04-01,603306,executed
2019-05-06,000429,executed
2019-05-06,000726,executed
2019-05-06,002039,executed
2019-05-06,002275,executed
2019-05-06,002394,executed
2019-05-06,600007,executed
2019-05-06,600023,executed
2019-05-06,600028,executed
2019-05-06,600033,executed
2019-05-06,600236,executed
2019-05-06,600269,executed
2019-05-06,600377,executed
2019-05-06,600508,executed
2019-05-06,600642,executed
2019-05-06,600688,executed
2019-05-06,600750,executed
2019-05-06,600900,executed
2019-05-06,601006,executed
2019-05-06,601158,executed
2019-05-06,601169,executed
2019-05-06,601288,executed
2019-05-06,601328,executed
2019-05-06,601368,executed
2019-05-06,601398,executed
2019-05-06,601988,executed
