signal_date,industry,weight
2019-01-02,交通运输,0.2
2019-01-02,公用事业,0.2
2019-01-02,商贸零售,0.04
2019-01-02,煤炭,0.04
2019-01-02,环保,0.08
2019-01-02,纺织服饰,0.16
2019-01-02,轻工制造,0.08
2019-01-02,银行,0.2
2019-02-01,交通运输,0.2
2019-02-01,公用事业,0.2
2019-02-01,商贸零售,0.04
2019-02-01,建筑装饰,0.04
2019-02-01,煤炭,0.04
2019-02-01,环保,0.04
2019-02-01,纺织服饰,0.16
2019-02-01,轻工制造,0.08
2019-02-01,银行,0.2
2019-03-01,交通运输,0.2
2019-03-01,公用事业,0.2
2019-03-01,基础化工,0.04
2019-03-01,建筑装饰,0.04
2019-03-01,煤炭,0.04
2019-03-01,环保,0.04
2019-03-01,石油石化,0.04
2019-03-01,纺织服饰,0.12
2019-03-01,轻工制造,0.08
2019-03-01,银行,0.2
2019-04-01,交通运输,0.2
2019-04-01,公用事业,0.2
2019-04-01,医药生物,0.04
2019-04-01,房地产,0.04
2019-04-01,汽车,0.04
2019-04-01,煤炭,0.04
2019-04-01,环保,0.04
2019-04-01,石油石化,0.04
2019-04-01,纺织服饰,0.08
2019-04-01,轻工制造,0.08
2019-04-01,银行,0.2
2019-05-06,交通运输,0.2
2019-05-06,公用事业,0.2
2019-05-06,医药生物,0.08
2019-05-06,房地产,0.04
2019-05-06,煤炭,0.04
2019-05-06,环保,0.08
2019-05-06,石油石化,0.08
2019-05-06,纺织服饰,0.08
2019-05-06,银行,0.2
2019-06-03,交通运输,0.2
2019-06-03,公用事业,0.2
2019-06-03,医药生物,0.08
2019-06-03,煤炭,0.04
2019-06-03,环保,0.12
2019-06-03,石油石化,0.08
2019-06-03,纺织服饰,0.08
2019-06-03,银行,0.2
2019-07-01,交通运输,0.16
2019-07-01,公用事业,0.2
2019-07-01,医药生物,0.04
2019-07-01,房地产,0.04
2019-07-01,煤炭,0.08
2019-07-01,环保,0.04
2019-07-01,石油石化,0.08
2019-07-01,纺织服饰,0.16
2019-07-01,银行,0.2
2019-08-01,交通运输,0.16
2019-08-01,公用事业,0.2
2019-08-01,医药生物,0.04
2019-08-01,商贸零售,0.04
2019-08-01,建筑装饰,0.04
2019-08-01,煤炭,0.08
2019-08-01,环保,0.08
2019-08-01,石油石化,0.08
2019-08-01,纺织服饰,0.08
2019-08-01,银行,0.2
2019-09-02,交通运输,0.2
2019-09-02,公用事业,0.2
2019-09-02,商贸零售,0.04
2019-09-02,建筑装饰,0.04
2019-09-02,机械设备,0.04
2019-09-02,煤炭,0.08
2019-09-02,环保,0.04
2019-09-02,石油石化,0.08
2019-09-02,纺织服饰,0.08
2019-09-02,银行,0.2
2019-10-08,交通运输,0.2
2019-10-08,公用事业,0.2
2019-10-08,商贸零售,0.08
2019-10-08,煤炭,0.08
2019-10-08,环保,0.04
2019-10-08,石油石化,0.04
2019-10-08,纺织服饰,0.12
2019-10-08,钢铁,0.04
2019-10-08,银行,0.2
2019-11-01,交通运输,0.2
2019-11-01,公用事业,0.2
2019-11-01,商贸零售,0.08
2019-11-01,煤炭,0.04
2019-11-01,环保,0.04
2019-11-01,电力设备,0.04
2019-11-01,石油石化,0.04
2019-11-01,纺织服饰,0.12
2019-11-01,钢铁,0.04
2019-11-01,银行,0.2
2019-12-02,交通运输,0.2
2019-12-02,公用事业,0.16
2019-12-02,商贸零售,0.08
2019-12-02,家用电器,0.04
2019-12-02,煤炭,0.04
2019-12-02,环保,0.04
2019-12-02,电力设备,0.04
2019-12-02,石油石化,0.04
2019-12-02,纺织服饰,0.16
2019-12-02,银行,0.2
