industry,average_weight
银行,0.19448275862068967
交通运输,0.16622222222222224
公用事业,0.133
医药生物,0.09043478260869565
非银金融,0.08666666666666667
基础化工,0.08452830188679246
环保,0.08210526315789474
纺织服饰,0.07151515151515152
传媒,0.06782608695652174
食品饮料,0.06666666666666667
建筑装饰,0.06358974358974359
机械设备,0.060000000000000005
商贸零售,0.059
房地产,0.05375
电子,0.05333333333333334
轻工制造,0.0525
煤炭,0.05128205128205128
建筑材料,0.05090909090909091
农林牧渔,0.048
石油石化,0.047
汽车,0.04555555555555556
钢铁,0.045454545454545456
家用电器,0.041999999999999996
电力设备,0.04
通信,0.04
计算机,0.04
