variant,parameter_group,parameter_value,sample,periods,annual_return,annual_volatility,sharpe,calmar,max_drawdown,monthly_win_rate,average_turnover,cost_drag
STRICT_B,基线,STRICT_B（25只/前20%/120日/等权/月初/20%行业上限）,in_sample,66,0.11900338588847337,0.13421913163004393,0.8866350455648111,0.8487740930596713,-0.14020619486568975,0.5909090909090909,0.2569696969696969,0.1395683526230626
STRICT_B,基线,STRICT_B（25只/前20%/120日/等权/月初/20%行业上限）,out_of_sample,23,0.07304145418739183,0.12528293662443654,0.5830119899436093,1.3269838092532844,-0.05504321430153203,0.4782608695652174,0.30000000000000004,0.0485572414693079
cap15,行业权重上限,15%,in_sample,66,0.09105021748408304,0.1434854408634597,0.6345606699618126,0.4694191739173169,-0.19396356719787622,0.5454545454545454,0.2848484848484848,0.13931117447709668
cap15,行业权重上限,15%,out_of_sample,23,0.05936045240828469,0.12299111653216217,0.48264016200521226,1.1186590236942864,-0.053063937402704986,0.4782608695652174,0.2895652173913044,0.0485244476404601
cap25,行业权重上限,25%,in_sample,66,0.1260197785422883,0.1332077828843875,0.9460391563731846,0.9381619783873208,-0.13432624796723636,0.6212121212121212,0.24151515151515152,0.1396124766207498
cap25,行业权重上限,25%,out_of_sample,23,0.07573991117029832,0.12189766460734144,0.6213401332525348,1.4898300958878816,-0.05083795217948006,0.4782608695652174,0.30260869565217396,0.04856259691650851
inversevol,权重,逆波动,in_sample,66,0.11900338588847337,0.13421913163004393,0.8866350455648111,0.8487740930596713,-0.14020619486568975,0.5909090909090909,0.2569696969696969,0.1395683526230626
inversevol,权重,逆波动,out_of_sample,23,0.07304145418739183,0.12528293662443654,0.5830119899436093,1.3269838092532844,-0.05504321430153203,0.4782608695652174,0.30000000000000004,0.0485572414693079
last,调仓日,月末,in_sample,66,0.1507092305162019,0.1382552729171944,1.0900794402718121,0.9860004979353538,-0.1528490409809945,0.6060606060606061,0.2642424242424242,0.1398582415412326
last,调仓日,月末,out_of_sample,23,0.0311397871842074,0.2036445227644109,0.15291247101318758,0.22505290021644853,-0.13836652251207682,0.4782608695652174,0.29913043478260876,0.048407842694663604
middle,调仓日,月中,in_sample,66,0.0825050352106158,0.12043518246880908,0.6850575846637122,0.47486727916812504,-0.1737433569968193,0.5303030303030303,0.26,0.1393166042552628
middle,调仓日,月中,out_of_sample,23,0.054425074769753445,0.14660541053744652,0.37123510360384676,0.6473568108494354,-0.08407276150897225,0.6086956521739131,0.28782608695652184,0.04852003898407251
top20,持股数,20,in_sample,66,0.12452005954929546,0.1346161942738201,0.9250005931382349,0.8766047289180986,-0.14204812664309663,0.6363636363636364,0.26893939393939387,0.13968798538696411
top20,持股数,20,out_of_sample,23,0.07371698851536346,0.12372717962007242,0.5958027067433795,1.2686082169704798,-0.058108553554386155,0.4782608695652174,0.2978260869565218,0.0485584421623602
top30,持股数,30,in_sample,66,0.10622280106630422,0.1390368692658239,0.7639901676958604,0.6746137909543128,-0.1574572036483879,0.6363636363636364,0.2570707070707071,0.13950397585240612
top30,持股数,30,out_of_sample,23,0.058748637995447606,0.119620960213054,0.49112327714818393,1.234866543291647,-0.04757488840765567,0.4782608695652174,0.30072463768115937,0.0485220421574873
top50,持股数,50,in_sample,66,0.10662008599968376,0.14410615416964728,0.7398718438781352,0.6980117867724829,-0.15274826015858756,0.5909090909090909,0.23030303030303026,0.1394995142712103
top50,持股数,50,out_of_sample,23,0.05555286159682615,0.11346343125533741,0.4896102733911716,1.235101949604474,-0.04497836119084442,0.43478260869565216,0.26478260869565223,0.0485130679989096
vol250,波动窗口,250日,in_sample,66,0.12644238369352845,0.14009329062634415,0.9025584532151129,1.009815989031779,-0.12521329139852755,0.6212121212121212,0.1745454545454545,0.13962123678882582
vol250,波动窗口,250日,out_of_sample,23,0.07019978833455665,0.11258685390520534,0.6235167419605019,1.1969801555163413,-0.05864741199846757,0.5652173913043478,0.18086956521739128,0.048547221095982994
vol60,波动窗口,60日,in_sample,66,0.10790578143136043,0.14011840262776817,0.7701042790076458,0.8366244596460557,-0.12897755998792015,0.5303030303030303,0.39030303030303026,0.1395008078247294
vol60,波动窗口,60日,out_of_sample,23,0.039057765461476324,0.12613816131492525,0.3096427366176839,0.576978073891646,-0.06769367369202872,0.4782608695652174,0.47043478260869576,0.048477036854492894
yield10,高股息池,前10%,in_sample,66,0.12181347033679679,0.14303529213009977,0.8516322686711446,0.7510801900120685,-0.16218437386138418,0.6212121212121212,0.253030303030303,0.1395947054814693
yield10,高股息池,前10%,out_of_sample,23,0.08658300256811069,0.13211671349857346,0.6553523795386084,1.9189083013500854,-0.04512096930697185,0.4782608695652174,0.3391304347826088,0.04859064690901101
yield30,高股息池,前30%,in_sample,66,0.11089997339989277,0.1377455646722101,0.8051073997467638,0.7429290421144444,-0.14927397788120012,0.5909090909090909,0.2624242424242424,0.13951908120190087
yield30,高股息池,前30%,out_of_sample,23,0.06382695403686323,0.13358303318771295,0.4778073420983981,1.0491294778185571,-0.06083801416921186,0.5217391304347826,0.27478260869565224,0.048537858038518004
