signal_date,execution_date,symbol,reason,top_k,detail,spy_above_ma,category,winner,replaced,challenger_score,incumbent_score,needed,vs,cash,weight
2005-01-31,2005-02-01,SPY,below_ma,,,,,,,,,,,,
2005-01-31,2005-02-01,QQQ,below_ma,,,,,,,,,,,,
2005-01-31,2005-02-01,IWM,below_ma,,,,,,,,,,,,
2005-01-31,2005-02-01,GLD,below_ma,,,,,,,,,,,,
2005-01-31,2005-02-01,IEF,below_ma,,,,,,,,,,,,
2005-01-31,2005-02-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-02-28,2005-03-01,SPY,below_ma,,,,,,,,,,,,
2005-02-28,2005-03-01,QQQ,below_ma,,,,,,,,,,,,
2005-02-28,2005-03-01,IWM,below_ma,,,,,,,,,,,,
2005-02-28,2005-03-01,GLD,below_ma,,,,,,,,,,,,
2005-02-28,2005-03-01,IEF,below_ma,,,,,,,,,,,,
2005-02-28,2005-03-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-03-31,2005-04-01,SPY,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,QQQ,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,IWM,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,VWO,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,GLD,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,IEF,below_ma,,,,,,,,,,,,
2005-03-31,2005-04-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-04-29,2005-05-02,SPY,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,QQQ,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,IWM,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,VWO,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,GLD,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,IEF,below_ma,,,,,,,,,,,,
2005-04-29,2005-05-02,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-05-31,2005-06-01,SPY,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,QQQ,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,IWM,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,VWO,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,GLD,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,IEF,below_ma,,,,,,,,,,,,
2005-05-31,2005-06-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-06-30,2005-07-01,SPY,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,QQQ,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,IWM,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,VWO,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,GLD,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,IEF,below_ma,,,,,,,,,,,,
2005-06-30,2005-07-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-07-29,2005-08-01,SPY,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,QQQ,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,IWM,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,VWO,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,GLD,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,IEF,below_ma,,,,,,,,,,,,
2005-07-29,2005-08-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,,,
2005-08-31,2005-09-01,SPY,below_ma,,,,,,,,,,,,
2005-08-31,2005-09-01,QQQ,below_ma,,,,,,,,,,,,
2005-08-31,2005-09-01,IWM,below_ma,,,,,,,,,,,,
2005-08-31,2005-09-01,VWO,below_ma,,,,,,,,,,,,
2005-08-31,2005-09-01,GLD,below_ma,,,,,,,,,,,,
