peak_date,peak_value,start_date,trough_date,trough_value,trough_drawdown,recovery_date,end_date,ongoing,duration_months
2005-02-01,1.0,2005-02-02,2005-02-16,0.9810249861872953,-0.018975013812704722,2005-02-22,2005-02-22,False,1
2005-02-22,1.0026141713426722,2005-02-23,2005-03-07,0.9684014974293146,-0.03412346931775456,2005-03-21,2005-03-21,False,2
2005-03-22,1.0132149333776248,2005-03-23,2005-03-28,1.009674038706907,-0.003494712280753709,2005-03-29,2005-03-29,False,1
2005-03-29,1.0164319895418557,2005-03-30,2005-04-07,0.9933315003349737,-0.022727038743924344,2005-04-14,2005-04-14,False,2
2005-04-15,1.0376246960665954,2005-04-18,2005-04-19,1.0262962387925583,-0.010917682777771942,2005-04-20,2005-04-20,False,1
2005-04-20,1.040815397452172,2005-04-21,2006-03-10,0.88257486720301,-0.15203515497226638,2006-05-09,2006-05-09,False,14
2006-05-12,1.0620126743214973,2006-05-15,2007-03-05,0.8597499057246457,-0.19045231143411157,2007-10-18,2007-10-18,False,18
2007-10-18,1.0657658474301235,2007-10-19,2007-10-19,1.053537640037472,-0.011473634121544785,2007-10-23,2007-10-23,False,1
2007-10-23,1.0764823541139876,2007-10-24,2007-10-25,1.0662244896637552,-0.0095290595438281,2007-10-26,2007-10-26,False,1
2007-10-29,1.0903575738952613,2007-10-30,2007-10-30,1.0890321728362713,-0.0012155655087120465,2007-10-31,2007-10-31,False,1
2007-10-31,1.096331364553028,2007-11-01,2007-11-01,1.095206486462294,-0.0010260384105609255,2007-11-02,2007-11-02,False,1
2007-11-02,1.1101459742536286,2007-11-05,2007-11-05,1.1047397379826387,-0.004869842702104665,2007-11-06,2007-11-06,False,1
2007-11-09,1.1472527500649132,2007-11-12,2007-12-17,1.0768833884313371,-0.0613372786681875,2008-01-02,2008-01-02,False,3
2008-01-10,1.21196244559333,2008-01-11,2008-01-11,1.2095783787938552,-0.0019671127666894828,2008-01-14,2008-01-14,False,1
2008-01-14,1.2128583519620968,2008-01-15,2008-01-16,1.1810809427531994,-0.02620042905875164,2008-01-18,2008-01-18,False,1
2008-01-22,1.2265467870650975,2008-01-23,2008-02-01,1.1742047052512126,-0.04267434586749841,2008-02-06,2008-02-06,False,2
2008-02-06,1.2294313458059491,2008-02-07,2008-02-07,1.227400213868644,-0.001652090573608822,2008-02-08,2008-02-08,False,1
2008-02-08,1.2432260729267628,2008-02-11,2008-02-13,1.2028678726877315,-0.03246247896331622,2008-02-21,2008-02-21,False,1
2008-02-21,1.243329643603393,2008-02-22,2008-02-26,1.2144400181950636,-0.02323569260731362,2008-02-29,2008-02-29,False,1
2008-03-03,1.2827257334970374,2008-03-04,2008-03-04,1.274011540051718,-0.006793497017918537,2008-03-06,2008-03-06,False,1
2008-03-10,1.3287026948324165,2008-03-11,2008-03-11,1.2834352268205294,-0.03406892165413766,2008-03-14,2008-03-14,False,1
2008-03-17,1.3490516582518883,2008-03-18,2008-05-19,1.108296251011494,-0.1784627043506748,2008-09-17,2008-09-17,False,7
2008-09-17,1.367197723420163,2008-09-18,2008-09-19,1.2542821365588843,-0.08258906881355144,2008-09-29,2008-09-29,False,1
2008-09-29,1.4106962835226047,2008-09-30,2008-10-01,1.342297585658962,-0.04848577164522361,2008-10-03,2008-10-03,False,2
2008-10-10,1.7615798482182503,2008-10-13,2008-10-13,1.5322154934638454,-0.1302037798549952,2008-10-24,2008-10-24,False,1
2008-10-27,1.8538374020872301,2008-10-28,2008-11-04,1.5579155905449975,-0.15962662702190333,2008-11-19,2008-11-19,False,2
2008-11-20,2.132702815696911,2008-11-21,2009-01-06,1.7411486276124264,-0.18359528819608883,2009-02-23,2009-02-23,False,4
2009-02-23,2.16727190749034,2009-02-24,2009-02-24,2.0834929244228597,-0.038656424594408656,2009-02-27,2009-02-27,False,1
2009-03-03,2.300437216428262,2009-03-04,2009-03-04,2.2415192056105404,-0.02561165781746466,2009-03-05,2009-03-05,False,1
2009-03-05,2.3508951287208673,2009-03-06,2009-03-06,2.3409856029390075,-0.004215213882063584,2009-03-09,2009-03-09,False,1
2009-03-09,2.3693268577504516,2009-03-10,2024-12-24,0.6308986958471916,-0.7337223887943447,,2026-08-10,True,210
