asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,need
2005-03-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2005-03-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",BUY,981.2882812350105,81.52548188929269,80000.0,4.906441406175053,40.0,0.8,981.2882812350105,,,,,
2005-03-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'BIL': 0.2}",,{'SPY': 981.2882812350105},,,,,,,99955.09355859383,19955.093558593828,"{'SPY': 0.8, 'BIL': 0.2}","{'SPY': 0.8003594129308066, 'BIL': 0.0}",
2005-04-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2005-04-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",BUY,2.3939373062346476,80.3621786330994,192.38201744006955,1.0,0.09619100872003478,0.8,983.6822185412451,,,,,
2005-04-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'BIL': 0.2}",,{'SPY': 983.6822185412451},,,,,,,98812.4615147601,19761.61535014504,"{'SPY': 0.8, 'BIL': 0.2}","{'SPY': 0.8000088749211743, 'BIL': 0.0}",
2005-05-02,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2005-05-02,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",BUY,4.3280283735367675,78.62797497951495,340.3041066650797,1.0,0.17015205333253985,0.8,988.0102469147819,,,,,
2005-05-02,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'BIL': 0.2}",,{'SPY': 988.0102469147819},,,,,,,97105.38606534648,19420.141091426627,"{'SPY': 0.8, 'BIL': 0.2}","{'SPY': 0.8000096402648771, 'BIL': 0.0}",
2005-06-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2005-06-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",SELL,-5.715407174048664,80.96505673504404,462.74826611072785,1.0,0.23137413305536392,0.8,982.2948397407332,,,,,
2005-06-01,candidate_80_20_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.8, 'BIL': 0.2}",,{'SPY': 982.2948397407332},,,,,,,99413.21541355376,19881.6579834043,"{'SPY': 0.8, 'BIL': 0.2}","{'SPY': 0.8000099091383611, 'BIL': 0.0}",
2005-07-01,candidate_80_20_dc,PRICE_MISSING,BIL,0.2,"{'SPY': 0.8, 'BIL': 0.2}",,,,,,,,,,,,,
2005-07-01,candidate_80_20_dc,FILL,SPY,,"{'SPY': 0.8, 'BIL': 0.2}",SELL,-0.6871689405156758,81.24421631382911,55.828502047400335,1.0,0.027914251023700164,0.8,981.6076708002175,,,,,
