asof,portfolio_id,event,symbol,target_weight,lookthrough_targets,side,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights,order_notional,min_order_notional
2005-03-01,shadow_60_40_dc,PRICE_MISSING,BIL,0.4,"{'SPY': 0.6, 'BIL': 0.4}",,,,,,,,,,,,,,
2005-03-01,shadow_60_40_dc,FILL,SPY,,"{'SPY': 0.6, 'BIL': 0.4}",BUY,735.9662109262579,81.52548188929269,60000.0,3.6798310546312893,30.0,0.6,735.9662109262579,,,,,,
2005-03-01,shadow_60_40_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.6, 'BIL': 0.4}",,{'SPY': 735.9662109262579},,,,,,,99966.32016894537,39966.32016894537,"{'SPY': 0.6, 'BIL': 0.4}","{'SPY': 0.6002021470691191, 'BIL': 0.0}",,
2005-04-01,shadow_60_40_dc,PRICE_MISSING,BIL,0.4,"{'SPY': 0.6, 'BIL': 0.4}",,,,,,,,,,,,,,
2005-04-01,shadow_60_40_dc,FILL,SPY,,"{'SPY': 0.6, 'BIL': 0.4}",BUY,4.010006481855044,80.3621786330994,322.2528572147215,1.0,0.16112642860736073,0.6,739.9762174081129,,,,,,
2005-04-01,shadow_60_40_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.6, 'BIL': 0.4}",,{'SPY': 739.9762174081129},,,,,,,99109.007152898,39642.90618530204,"{'SPY': 0.6, 'BIL': 0.4}","{'SPY': 0.6000070293899332, 'BIL': 0.0}",,
2005-05-02,shadow_60_40_dc,PRICE_MISSING,BIL,0.4,"{'SPY': 0.6, 'BIL': 0.4}",,,,,,,,,,,,,,
2005-05-02,shadow_60_40_dc,FILL,SPY,,"{'SPY': 0.6, 'BIL': 0.4}",BUY,6.519449447786087,78.62797497951495,512.611108060737,1.0,0.25630555403036853,0.6,746.495666855899,,,,,,
2005-05-02,shadow_60_40_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.6, 'BIL': 0.4}",,{'SPY': 746.495666855899},,,,,,,97824.48138754923,39129.03877168727,"{'SPY': 0.6, 'BIL': 0.4}","{'SPY': 0.6000077054671973, 'BIL': 0.0}",,
2005-06-01,shadow_60_40_dc,PRICE_MISSING,BIL,0.4,"{'SPY': 0.6, 'BIL': 0.4}",,,,,,,,,,,,,,
2005-06-01,shadow_60_40_dc,FILL,SPY,,"{'SPY': 0.6, 'BIL': 0.4}",SELL,-8.628442601537927,80.96505673504404,698.6023447685893,1.0,0.34930117238429464,0.6,737.8672242543611,,,,,,
2005-06-01,shadow_60_40_dc,REBALANCE_SUMMARY,,,"{'SPY': 0.6, 'BIL': 0.4}",,{'SPY': 737.8672242543611},,,,,,,99567.75348996729,39826.291815283475,"{'SPY': 0.6, 'BIL': 0.4}","{'SPY': 0.600008130952794, 'BIL': 0.0}",,
2005-07-01,shadow_60_40_dc,PRICE_MISSING,BIL,0.4,"{'SPY': 0.6, 'BIL': 0.4}",,,,,,,,,,,,,,
2005-07-01,shadow_60_40_dc,FILL,SPY,,"{'SPY': 0.6, 'BIL': 0.4}",SELL,-1.0241056642224748,81.24421631382911,83.20266211230839,1.0,0.0416013310561542,0.6,736.8431185901386,,,,,,
