asof,portfolio_id,event,side,symbol,shares,price,notional,commission,spread_bps_cost,theoretical_weight,theoretical_shares,nav,cash,theoretical_weights,final_weights
2005-01-03,traditional_60_40_ief,FILL,BUY,SPY,731.486062766234,82.02480273253629,60000.0,3.65743031383117,30.0,0.6,731.486062766234,,,,
2005-01-03,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,840.9130847362736,47.49737891529958,39941.16742055221,4.204565423681368,19.970583710276102,0.4,842.1517337057821,,,,
2005-01-03,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 731.486062766234, 'IEF': 840.9130847362736}",,,,,,,99942.1674205522,1.0,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39964279794415053, 'SPY': 0.600347196269245}"
2005-02-01,traditional_60_40_ief,FILL,SELL,IEF,-17.37274199153478,47.923034044436335,832.55450590553,1.0,0.416277252952765,0.4,823.5403427447388,,,,
2005-02-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,10.410535195678777,79.79136758512828,830.6708405563207,1.0,0.4153354202781604,0.6,741.9327380286453,,,,
2005-02-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 741.8965979619128, 'IEF': 823.5403427447388}",,,,,,,98663.54809313398,0.05205267597830243,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.4000114798736837, 'SPY': 0.5999879925487359}"
2005-03-01,traditional_60_40_ief,FILL,SELL,SPY,-10.409361696825727,81.52548188929269,848.6282284936628,1.0,0.42431411424683135,0.6,731.4872362650871,,,,
2005-03-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,17.901357185025986,47.24466305731689,845.7435884752315,1.0,0.42287179423761573,0.4,841.5038591770609,,,,
2005-03-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 731.4872362650871, 'IEF': 841.4416999297648}",,,,,,,99388.56853472174,0.08950678592520944,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.39998191121617394, 'SPY': 0.6000171882095724}"
2005-04-01,traditional_60_40_ief,FILL,SELL,IEF,-7.106757801979711,47.238992840218586,335.71608092488714,1.0,0.16785804046244357,0.4,834.3349421277851,,,,
2005-04-01,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,4.1493431798052,80.3621786330994,333.4502578255382,1.0,0.1667251289127691,0.6,735.6658883800822,,,,
2005-04-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 735.6365794448923, 'IEF': 834.3349421277851}",,,,,,,98530.52131062717,0.020746715898951607,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40000947760404937, 'SPY': 0.5999903118346381}"
2005-05-02,traditional_60_40_ief,FILL,SELL,IEF,-21.623486895798806,48.30426307712986,1044.5065996595356,1.0,0.5222532998297679,0.4,812.7114552319863,,,,
2005-05-02,traditional_60_40_ief,PARTIAL_FILL,BUY,SPY,13.244880843782537,78.62797497951495,1041.4181595915902,1.0,0.5207090797957952,0.6,748.9210032984579,,,,
2005-05-02,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 748.8814602886748, 'IEF': 812.7114552319863}",,,,,,,98140.52688592767,0.06622440421870124,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.40001240247011577, 'SPY': 0.5999869227382735}"
2005-06-01,traditional_60_40_ief,FILL,SELL,SPY,-2.954517767423795,80.96505673504404,239.2126986641632,1.0,0.11960634933208161,0.6,745.926942521251,,,,
2005-06-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,4.812840158045052,49.24675168153961,237.0167441461865,1.0,0.11850837207309325,0.4,817.570230986694,,,,
2005-06-01,traditional_60_40_ief,REBALANCE_SUMMARY,,,"{'SPY': 745.926942521251, 'IEF': 817.5242953900314}",,,,,,,100654.45725433034,0.02406420079023519,"{'SPY': 0.6, 'IEF': 0.4}","{'IEF': 0.3999864195479176, 'SPY': 0.6000133413747335}"
2005-07-01,traditional_60_40_ief,FILL,SELL,SPY,-0.8932909591669613,81.24421631382911,72.5747239177485,1.0,0.03628736195887425,0.6,745.0336515620841,,,,
2005-07-01,traditional_60_40_ief,PARTIAL_FILL,BUY,IEF,1.4312597061178052,49.27134056412606,70.52008441584135,1.0,0.03526004220792067,0.4,818.9977439970173,,,,
