factor,characteristic,spearman,n
MARGIN_BUY_RATIO,log_amount,0.1579975406862358,58635
MARGIN_BUY_RATIO,listing_age_days,0.02622298925487466,58635
MARGIN_BUY_RATIO,PRICE_POSITION_120D,-0.14128242356507473,58635
MARGIN_CHG_10D,log_amount,0.008513059600433645,58635
MARGIN_CHG_10D,listing_age_days,-0.0550991460805336,58635
MARGIN_CHG_10D,PRICE_POSITION_120D,-0.06529263157690543,58635
SHARE_CHG_5D,log_amount,0.0310385653444505,58635
SHARE_CHG_5D,listing_age_days,-0.05428951158258828,58635
SHARE_CHG_5D,PRICE_POSITION_120D,-0.13202176971879762,58635
SHARE_CHG_20D,log_amount,0.03141476948706078,58635
SHARE_CHG_20D,listing_age_days,-0.07891093863640841,58635
SHARE_CHG_20D,PRICE_POSITION_120D,-0.20258911263913895,58635
MOM_20D,log_amount,0.12048781841939347,58635
MOM_20D,listing_age_days,0.03235277678055496,58635
MOM_20D,PRICE_POSITION_120D,0.6177318226863308,58635
