date,n_eligible_etf,n_ranked
2006-03-09,1,0
2006-03-16,1,0
2006-03-23,1,0
2006-03-30,1,0
2006-04-06,1,0
2006-04-13,1,0
2006-04-20,1,0
2006-04-27,1,0
2006-05-11,1,0
2006-05-18,1,0
2006-05-25,1,0
2006-06-01,1,0
2006-06-08,1,0
2006-06-15,1,0
2006-06-22,1,0
2006-06-29,1,0
2006-07-06,1,0
2006-07-13,1,0
2006-07-20,1,0
2006-07-27,1,0
2006-08-03,1,0
2006-08-10,1,0
2006-08-17,1,0
2006-08-24,1,0
2006-08-31,1,0
2006-09-07,1,0
2006-09-14,1,0
2006-09-21,1,0
2006-09-28,1,0
2006-10-12,1,0
2006-10-19,1,0
2006-10-26,1,0
2006-11-02,1,0
2006-11-09,1,0
2006-11-16,1,0
2006-11-23,1,0
2006-11-30,1,0
2006-12-07,1,0
2006-12-14,1,0
2006-12-21,1,0
2006-12-28,1,0
2007-01-09,1,0
2007-01-16,1,0
2007-01-23,1,0
2007-01-30,1,0
2007-02-06,1,0
2007-02-13,1,0
2007-02-27,1,0
2007-03-06,1,0
2007-03-13,1,0
2007-03-20,1,0
2007-03-27,1,0
2007-04-03,1,0
2007-04-10,1,0
2007-04-17,1,0
2007-04-24,1,0
2007-05-08,1,0
2007-05-15,1,0
2007-05-22,1,0
2007-05-29,1,0
2007-06-05,1,0
2007-06-12,1,0
2007-06-19,1,0
2007-06-26,1,0
2007-07-03,1,0
2007-07-10,1,0
2007-07-17,1,0
2007-07-24,1,0
2007-07-31,1,0
2007-08-07,1,0
2007-08-14,1,0
2007-08-21,1,0
2007-08-28,1,0
2007-09-04,1,0
2007-09-11,1,0
2007-09-18,1,0
2007-09-25,1,0
2007-10-09,1,0
2007-10-16,1,0
2007-10-23,1,0
2007-10-30,1,0
2007-11-06,1,0
2007-11-13,1,0
2007-11-20,1,0
2007-11-27,1,0
2007-12-04,1,0
2007-12-11,1,0
2007-12-18,1,0
2007-12-25,1,0
2008-01-03,1,0
2008-01-10,1,0
2008-01-17,1,0
2008-01-24,1,0
2008-01-31,1,0
2008-02-14,1,0
2008-02-21,1,0
2008-02-28,1,0
2008-03-06,1,0
2008-03-13,1,0
2008-03-20,1,0
2008-03-27,1,0
2008-04-03,1,0
2008-04-11,1,0
2008-04-18,1,0
2008-04-25,1,0
2008-05-06,1,0
2008-05-13,1,0
2008-05-20,1,0
2008-05-27,1,0
2008-06-03,1,0
2008-06-11,1,0
2008-06-18,1,0
2008-06-25,1,0
2008-07-02,1,0
2008-07-09,1,0
2008-07-16,1,0
2008-07-23,1,0
2008-07-30,1,0
2008-08-06,1,0
2008-08-13,1,0
2008-08-20,1,0
2008-08-27,1,0
2008-09-03,1,0
2008-09-10,1,0
2008-09-18,1,0
2008-09-25,1,0
2008-10-09,1,0
2008-10-16,1,0
2008-10-23,1,0
2008-10-30,1,0
2008-11-06,1,0
2008-11-13,1,0
2008-11-20,1,0
2008-11-27,1,0
2008-12-04,1,0
2008-12-11,1,0
2008-12-18,1,0
2008-12-25,1,0
2009-01-05,1,0
2009-01-12,1,0
2009-01-19,1,0
2009-02-02,1,0
2009-02-09,1,0
2009-02-16,1,0
2009-02-23,1,0
2009-03-02,1,0
2009-03-09,1,0
2009-03-16,1,0
2009-03-23,1,0
2009-03-30,1,0
2009-04-07,1,0
2009-04-14,1,0
2009-04-21,1,0
2009-04-28,1,0
2009-05-06,1,0
2009-05-13,1,0
2009-05-20,1,0
2009-05-27,1,0
2009-06-05,1,0
2009-06-12,1,0
2009-06-19,1,0
2009-06-26,1,0
2009-07-03,1,0
2009-07-10,1,0
2009-07-17,1,0
2009-07-24,1,0
2009-07-31,1,0
2009-08-07,1,0
2009-08-14,1,0
2009-08-21,1,0
2009-08-28,1,0
2009-09-04,1,0
2009-09-11,1,0
2009-09-18,1,0
2009-09-25,1,0
2009-10-12,1,0
2009-10-19,1,0
2009-10-26,1,0
2009-11-02,1,0
2009-11-09,1,0
2009-11-16,1,0
2009-11-23,1,0
2009-11-30,1,0
2009-12-07,1,0
2009-12-14,1,0
2009-12-21,1,0
2009-12-28,1,0
2010-01-05,1,0
2010-01-12,1,0
2010-01-19,1,0
2010-01-26,1,0
2010-02-02,1,0
2010-02-09,1,0
2010-02-23,1,0
2010-03-02,1,0
2010-03-09,1,0
2010-03-16,1,0
2010-03-23,1,0
2010-03-30,1,0
2010-04-07,1,0
2010-04-14,1,0
2010-04-21,1,0
2010-04-28,1,0
2010-05-06,1,0
2010-05-13,1,0
2010-05-20,1,0
2010-05-27,1,0
2010-06-03,1,0
2010-06-10,1,0
2010-06-22,1,0
2010-06-29,1,0
2010-07-06,1,0
2010-07-13,1,0
2010-07-20,1,0
2010-07-27,1,0
2010-08-03,1,0
2010-08-10,1,0
2010-08-17,1,0
2010-08-24,1,0
2010-08-31,1,0
2010-09-07,1,0
2010-09-14,1,0
2010-09-21,1,0
2010-10-08,1,0
2010-10-15,1,0
2010-10-22,1,0
2010-10-29,1,0
2010-11-05,1,0
2010-11-12,1,0
2010-11-19,1,0
2010-11-26,1,0
2010-12-03,1,0
2010-12-10,1,0
2010-12-17,1,0
2010-12-24,1,0
2010-12-31,1,0
2011-01-10,1,0
2011-01-17,1,0
2011-01-24,1,0
2011-01-31,1,0
2011-02-14,1,0
2011-02-21,1,0
2011-02-28,1,0
2011-03-07,1,0
2011-03-14,1,0
2011-03-21,1,0
2011-03-28,1,0
2011-04-06,1,0
2011-04-13,1,0
2011-04-20,1,0
2011-04-27,1,0
2011-05-05,1,0
2011-05-12,1,0
2011-05-19,1,0
2011-05-26,1,0
2011-06-02,1,0
2011-06-10,1,0
2011-06-17,1,0
2011-06-24,1,0
2011-07-01,1,0
2011-07-08,1,0
2011-07-15,1,0
2011-07-22,1,0
2011-07-29,1,0
2011-08-05,1,0
2011-08-12,1,0
2011-08-19,1,0
2011-08-26,1,0
2011-09-02,1,0
2011-09-09,1,0
2011-09-19,1,0
2011-09-26,1,0
2011-10-10,1,0
2011-10-17,1,0
2011-10-24,1,0
2011-10-31,1,0
2011-11-07,1,0
2011-11-14,1,0
2011-11-21,1,0
2011-11-28,1,0
2011-12-05,1,0
2011-12-12,1,0
2011-12-19,1,0
2011-12-26,1,0
2012-01-04,1,0
2012-01-11,1,0
2012-01-18,1,0
2012-02-01,1,0
2012-02-08,1,0
2012-02-15,1,0
2012-02-22,1,0
2012-02-29,1,0
2012-03-07,1,0
2012-03-14,1,0
2012-03-21,1,0
2012-03-28,1,0
2012-04-09,1,0
2012-04-16,1,0
2012-04-23,1,0
2012-05-02,1,0
2012-05-09,1,0
2012-05-16,1,0
2012-05-23,1,0
2012-05-30,1,0
2012-06-06,1,0
2012-06-13,1,1
2012-06-20,1,1
2012-06-28,1,1
2012-07-05,1,1
2012-07-12,1,1
2012-07-19,1,1
2012-07-26,1,1
2012-08-02,1,1
2012-08-09,1,1
2012-08-16,1,1
2012-08-23,1,1
2012-08-30,1,1
2012-09-06,1,1
2012-09-13,1,1
2012-09-20,1,1
2012-09-27,1,1
2012-10-11,1,1
2012-10-18,1,1
2012-10-25,1,1
2012-11-01,1,1
2012-11-08,1,1
2012-11-15,1,0
2012-11-22,1,1
2012-11-29,1,0
2012-12-06,1,1
2012-12-13,1,1
2012-12-20,1,1
2012-12-27,2,1
2013-01-08,2,1
2013-01-15,2,0
2013-01-22,2,1
2013-01-29,2,1
2013-02-05,2,1
2013-02-19,2,1
2013-02-26,2,1
2013-03-05,2,1
2013-03-12,2,1
2013-03-19,2,1
2013-03-26,2,1
2013-04-02,2,1
