code,error,attempts
159801,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159819,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159859,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159883,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159915,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159920,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159928,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159949,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159985,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159992,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159995,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
159998,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
510050,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
510300,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
510500,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
511010,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
511260,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
511380,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512010,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512100,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512200,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512400,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512480,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512660,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512690,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512720,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512800,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512880,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
512980,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513050,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513100,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513130,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513180,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513400,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513500,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
513520,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515030,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515180,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515210,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515220,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515650,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
515790,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
516090,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
516160,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
516520,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
518850,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
518880,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
588000,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",5
