date,action,code,shares,price,fee,status,reason
2012-01-12,buy,510050,586700,1.704,199.94736,filled,
2012-12-28,buy,159915,0,0.701,0.0,unfilled,lot_or_adv_constraint
2013-01-09,buy,159915,0,0.734,0.0,unfilled,lot_or_adv_constraint
2013-01-16,buy,159915,0,0.78,0.0,unfilled,lot_or_adv_constraint
2013-01-23,buy,159915,0,0.774,0.0,unfilled,lot_or_adv_constraint
2013-01-30,buy,159915,0,0.793,0.0,unfilled,lot_or_adv_constraint
2013-02-06,buy,159915,0,0.782,0.0,unfilled,lot_or_adv_constraint
2013-02-20,buy,159915,0,0.816,0.0,unfilled,lot_or_adv_constraint
2013-02-27,buy,159915,0,0.85,0.0,unfilled,lot_or_adv_constraint
2013-03-06,buy,159915,0,0.888,0.0,unfilled,lot_or_adv_constraint
2013-03-13,buy,159915,0,0.832,0.0,unfilled,lot_or_adv_constraint
2013-03-20,buy,159915,0,0.841,0.0,unfilled,lot_or_adv_constraint
2013-03-27,buy,159915,0,0.872,0.0,unfilled,lot_or_adv_constraint
2013-04-03,buy,159915,0,0.84,0.0,unfilled,lot_or_adv_constraint
2013-04-12,buy,159915,0,0.835,0.0,unfilled,lot_or_adv_constraint
2013-04-19,buy,159915,0,0.872,0.0,unfilled,lot_or_adv_constraint
2013-04-26,buy,159915,0,0.892,0.0,unfilled,lot_or_adv_constraint
2013-05-08,buy,159915,0,0.956,0.0,unfilled,lot_or_adv_constraint
2013-05-15,buy,159915,0,0.971,0.0,unfilled,lot_or_adv_constraint
2013-05-22,buy,159915,0,1.072,0.0,unfilled,lot_or_adv_constraint
2013-05-29,buy,159915,0,1.053,0.0,unfilled,lot_or_adv_constraint
2013-06-05,buy,159915,0,1.019,0.0,unfilled,lot_or_adv_constraint
2013-06-17,sell,510050,586700,1.729,202.88086,filled,
2013-06-17,buy,159915,472500,1.073,101.3985,filled,
2013-06-17,buy,510300,207500,2.443,101.3845,filled,
2013-07-01,sell,510300,207500,2.204,91.46600000000002,filled,
2013-07-01,buy,510050,146000,1.566,45.7272,filled,
2013-07-08,sell,510050,146000,1.559,45.522800000000004,filled,
2013-07-08,buy,510300,102100,2.232,45.57744,filled,
2013-08-19,sell,159915,472500,1.112,105.084,filled,
2013-08-19,buy,510050,231200,1.629,75.32496,filled,
2013-08-26,sell,510050,231200,1.624,75.09376000000002,filled,
