signal_date,execution_date,action,code
2012-01-11,2012-01-12,initial_buy,510050
2012-12-27,2012-12-28,replace,159915
2013-06-14,2013-06-17,replace,510300
2013-06-14,2013-06-17,replace,510050
2013-06-28,2013-07-01,replace,510300
2013-06-28,2013-07-01,replace,510050
2013-07-05,2013-07-08,replace,510300
2013-07-05,2013-07-08,replace,510050
2013-08-16,2013-08-19,replace,510050
2013-08-16,2013-08-19,replace,159915
2013-08-23,2013-08-26,replace,510050
2013-08-23,2013-08-26,replace,159915
2013-08-30,2013-09-02,replace,510050
2013-08-30,2013-09-02,replace,159915
2013-09-06,2013-09-09,replace,510300
2013-09-06,2013-09-09,replace,159915
2013-10-08,2013-10-09,replace,510300
2013-10-08,2013-10-09,replace,510050
2013-10-29,2013-10-30,replace,510050
2013-10-29,2013-10-30,replace,159915
2013-11-26,2013-11-27,replace,510050
2013-11-26,2013-11-27,replace,159915
2013-12-03,2013-12-04,replace,510050
2013-12-03,2013-12-04,replace,159915
2013-12-17,2013-12-18,replace,510050
2013-12-17,2013-12-18,replace,159915
2014-01-22,2014-01-23,replace,510300
2014-01-22,2014-01-23,replace,510050
2014-02-26,2014-02-27,replace,510300
2014-02-26,2014-02-27,replace,510050
2014-03-12,2014-03-13,replace,510050
2014-03-12,2014-03-13,replace,159915
2014-03-19,2014-03-20,replace,510300
2014-03-19,2014-03-20,replace,159915
2014-03-26,2014-03-27,replace,510300
2014-03-26,2014-03-27,replace,159915
2014-05-05,2014-05-06,replace,510300
2014-05-05,2014-05-06,replace,511010
2014-05-26,2014-05-27,replace,159915
2014-05-26,2014-05-27,replace,510050
2014-06-10,2014-06-11,replace,510500
2014-06-10,2014-06-11,replace,511010
2014-06-24,2014-06-25,replace,510500
2014-06-24,2014-06-25,replace,511010
2014-07-01,2014-07-02,replace,510500
2014-07-01,2014-07-02,replace,511010
2014-07-15,2014-07-16,replace,510300
2014-07-15,2014-07-16,replace,159915
2014-07-29,2014-07-30,replace,510500
2014-07-29,2014-07-30,replace,510050
2014-08-19,2014-08-20,replace,510500
2014-08-19,2014-08-20,replace,510050
2014-08-26,2014-08-27,replace,510300
2014-08-26,2014-08-27,replace,159915
2014-10-22,2014-10-23,replace,511010
2014-10-22,2014-10-23,replace,159915
2014-11-05,2014-11-06,replace,510300
2014-11-05,2014-11-06,replace,510500
2014-11-12,2014-11-13,replace,510050
2014-11-12,2014-11-13,replace,511010
2014-11-19,2014-11-20,replace,510500
2014-11-19,2014-11-20,replace,510050
2014-11-26,2014-11-27,replace,510500
2014-11-26,2014-11-27,replace,510050
2015-01-23,2015-01-26,replace,510300
2015-01-23,2015-01-26,replace,159915
2015-01-30,2015-02-02,replace,510500
2015-01-30,2015-02-02,replace,510050
2015-02-06,2015-02-09,replace,510500
2015-02-06,2015-02-09,replace,518880
