start,end,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2005-02-23,2005-05-24,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-05-25,2005-08-16,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-08-17,2005-11-15,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-11-16,2006-02-20,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-02-21,2006-05-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-05-23,2006-08-14,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-08-15,2006-11-13,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-11-14,2007-02-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-02-09,2007-05-17,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-05-18,2007-08-09,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-08-10,2007-11-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-11-09,2008-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-02-05,2008-05-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-05-09,2008-08-01,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-08-04,2008-11-03,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-11-04,2009-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-02-05,2009-04-30,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-05-04,2009-07-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-07-29,2009-10-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-10-29,2010-01-21,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-01-22,2010-04-23,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-04-26,2010-07-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-07-23,2010-10-26,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-10-27,2011-01-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-01-20,2011-04-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-04-25,2011-07-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-07-20,2011-10-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-10-20,2012-01-13,60,-0.0025467473599999346,-0.01065283485392543,0.025569991083266616,-0.4166147269756697,,-0.009900368452312458,-1.0760038785664807,0.016666666666666666,0.7501895182764904
2012-01-16,2012-04-18,60,0.05881979916824731,0.27131340274474725,0.21448633172882545,1.2649449527057421,2.7804211946570865,-0.08189179481357589,3.313071881772572,0.5333333333333333,1.2278783481455535
2012-04-19,2012-07-16,60,-0.059440884236830915,-0.226925039386916,0.16057125789353419,-1.4132357332429772,-2.1101544378702486,-0.10232713044676156,-2.2176429495888175,0.45,0.7771902094667587
2012-07-17,2012-10-15,60,-0.025397083235824236,-0.10241338323397431,0.16933805653548922,-0.6047865750278698,-1.148792999805636,-0.07903482387970162,-1.295800739555731,0.43333333333333335,0.900210147857617
2012-10-16,2013-01-10,60,0.12059818073011286,0.6132052803254227,0.2064483686478087,2.9702597523137726,5.277417901317874,-0.08912085074459619,6.8806039799009,0.5,1.5737942536226255
2013-01-11,2013-04-15,60,-0.04704971743040787,-0.1832389452447145,0.279217219222357,-0.6562594733772155,-0.9215603968745593,-0.14960611526732592,-1.2248091925740554,0.5,0.8964385863233884
2013-04-16,2013-07-16,60,-0.02650618865130483,-0.1066957114407775,0.2541907616933516,-0.41974661364559,-0.5198609463592397,-0.17123853887700236,-0.6230823513240507,0.5,0.9447421785437204
2013-07-17,2013-10-17,60,0.0011095989641465298,0.004668596114307366,0.1710465374371361,0.027294303551880974,0.046552988110735515,-0.04748026110954684,0.09832709435897885,0.5166666666666667,1.0181923718714683
2013-10-18,2014-01-10,60,-0.06187521595636836,-0.2352938897202631,0.15313470557342637,-1.5365157678606194,-2.1753185280285527,-0.10258408533492758,-2.2936685447070104,0.43333333333333335,0.7514150184015729
2014-01-13,2014-04-14,60,0.02100798319977404,0.09124528152130762,0.13285639546852374,0.686796305134783,0.9365260793291513,-0.07644656756126422,1.19358245153628,0.48333333333333334,1.1280607337206132
2014-04-15,2014-07-10,60,-0.01759220439966691,-0.071834204037453,0.09328283228630489,-0.7700688570108861,-0.9566898477965048,-0.031690248078972916,-2.2667605459711235,0.4666666666666667,0.880291471590816
2014-07-11,2014-10-10,60,0.11067666455607261,0.5540612050328502,0.10506388604154421,5.273564741492278,7.82289749018752,-0.023193205369053116,23.888944896428097,0.65,1.9419137273745488
2014-10-13,2015-01-06,60,0.2736520540942018,1.761934414213719,0.22872490519232275,7.703290609005613,11.525086967730228,-0.04216730818409786,41.78437016945226,0.6333333333333333,2.3836767758762942
2015-01-07,2015-04-08,60,0.1919590929556272,1.0907286681645298,0.2471058377986877,4.414014164461485,4.664955522932063,-0.07418953291771002,14.701921218109712,0.5833333333333334,1.7704261462802333
