start,end,observations,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,profit_factor
2005-02-23,2005-05-24,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-05-25,2005-08-16,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-08-17,2005-11-15,60,0.0,0.0,0.0,,,0.0,,0.0,
2005-11-16,2006-02-20,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-02-21,2006-05-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-05-23,2006-08-14,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-08-15,2006-11-13,60,0.0,0.0,0.0,,,0.0,,0.0,
2006-11-14,2007-02-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-02-09,2007-05-17,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-05-18,2007-08-09,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-08-10,2007-11-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2007-11-09,2008-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-02-05,2008-05-08,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-05-09,2008-08-01,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-08-04,2008-11-03,60,0.0,0.0,0.0,,,0.0,,0.0,
2008-11-04,2009-02-04,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-02-05,2009-04-30,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-05-04,2009-07-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-07-29,2009-10-28,60,0.0,0.0,0.0,,,0.0,,0.0,
2009-10-29,2010-01-21,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-01-22,2010-04-23,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-04-26,2010-07-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-07-23,2010-10-26,60,0.0,0.0,0.0,,,0.0,,0.0,
2010-10-27,2011-01-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-01-20,2011-04-22,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-04-25,2011-07-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-07-20,2011-10-19,60,0.0,0.0,0.0,,,0.0,,0.0,
2011-10-20,2012-01-13,60,-0.0025467473599999346,-0.01065283485392543,0.025569991083266616,-0.4166147269756697,,-0.009900368452312458,-1.0760038785664807,0.016666666666666666,0.7501895182764904
2012-01-16,2012-04-18,60,0.05881979916824731,0.27131340274474725,0.21448633172882545,1.2649449527057421,2.7804211946570865,-0.08189179481357589,3.313071881772572,0.5333333333333333,1.2278783481455535
2012-04-19,2012-07-16,60,-0.059440884236830915,-0.226925039386916,0.16057125789353419,-1.4132357332429772,-2.1101544378702486,-0.10232713044676156,-2.2176429495888175,0.45,0.7771902094667587
2012-07-17,2012-10-15,60,-0.025397083235824236,-0.10241338323397431,0.16933805653548922,-0.6047865750278698,-1.148792999805636,-0.07903482387970162,-1.295800739555731,0.43333333333333335,0.900210147857617
2012-10-16,2013-01-10,60,0.12059818073011286,0.6132052803254227,0.2064483686478087,2.9702597523137726,5.277417901317874,-0.08912085074459619,6.8806039799009,0.5,1.5737942536226255
2013-01-11,2013-04-15,60,-0.04704971743040787,-0.1832389452447145,0.279217219222357,-0.6562594733772155,-0.9215603968745593,-0.14960611526732592,-1.2248091925740554,0.5,0.8964385863233884
2013-04-16,2013-07-16,60,-0.006729126574539501,-0.02795954086603092,0.2686788742646143,-0.10406304158656833,-0.13527438544168247,-0.17123853887700236,-0.16327831952662109,0.5,1.004905185565646
2013-07-17,2013-10-17,60,0.020304234528000453,0.0880896873529089,0.18993620238777054,0.46378566195119814,0.7428126211565382,-0.052323841792760395,1.6835477735332713,0.5,1.0940868607007634
2013-10-18,2014-01-10,60,-0.04162374741616126,-0.1635280456475542,0.15677495443204204,-1.0430750641260078,-1.430346745728046,-0.08797339734575327,-1.8588351772394995,0.4666666666666667,0.8334217557604391
2014-01-13,2014-04-14,60,-0.0007526985011182541,-0.003157528555917999,0.13354079091760543,-0.02364467466623132,-0.031559084612071985,-0.08297010007032735,-0.038056222099787824,0.4666666666666667,1.0069362630729777
2014-04-15,2014-07-10,60,-0.009083622552444659,-0.037600416267142944,0.09545482806882445,-0.3939079565470742,-0.501895146024243,-0.029975792555974934,-1.2543593700460216,0.4666666666666667,0.942274845059448
2014-07-11,2014-10-10,60,0.11085536742164037,0.5551116494545156,0.10508687804816383,5.2824068976537175,7.838562581554441,-0.02319403619818239,23.933378594020528,0.65,1.9432108964709247
2014-10-13,2015-01-06,60,0.24843262554040413,1.5394137132149526,0.2311109110222439,6.6609304874696615,10.567842000650453,-0.0420562089027795,36.60372043456376,0.5833333333333334,2.148423616326527
2015-01-07,2015-04-08,60,0.2091924875518334,1.2206537596889397,0.2455244933400694,4.971617059802848,5.252268990628167,-0.07373146608526682,16.555397912165663,0.5833333333333334,1.8436259829070059
