date,action,code,shares,price,fee,status,reason
2012-01-12,buy,510050,586700,1.704,199.94736,filled,
2012-12-28,buy,159915,0,0.701,0.0,unfilled,lot_or_adv_constraint
2013-01-09,buy,159915,0,0.734,0.0,unfilled,lot_or_adv_constraint
2013-01-16,buy,159915,0,0.78,0.0,unfilled,lot_or_adv_constraint
2013-01-23,buy,159915,0,0.774,0.0,unfilled,lot_or_adv_constraint
2013-01-30,buy,159915,0,0.793,0.0,unfilled,lot_or_adv_constraint
2013-02-06,buy,159915,0,0.782,0.0,unfilled,lot_or_adv_constraint
2013-02-20,buy,159915,0,0.816,0.0,unfilled,lot_or_adv_constraint
2013-02-27,buy,159915,0,0.85,0.0,unfilled,lot_or_adv_constraint
2013-03-06,buy,159915,0,0.888,0.0,unfilled,lot_or_adv_constraint
2013-03-13,buy,159915,0,0.832,0.0,unfilled,lot_or_adv_constraint
2013-03-20,buy,159915,0,0.841,0.0,unfilled,lot_or_adv_constraint
2013-03-27,buy,159915,0,0.872,0.0,unfilled,lot_or_adv_constraint
2013-04-03,buy,159915,0,0.84,0.0,unfilled,lot_or_adv_constraint
2013-04-12,buy,159915,0,0.835,0.0,unfilled,lot_or_adv_constraint
2013-04-19,buy,159915,0,0.872,0.0,unfilled,lot_or_adv_constraint
2013-04-26,buy,159915,0,0.892,0.0,unfilled,lot_or_adv_constraint
2013-05-08,buy,159915,0,0.956,0.0,unfilled,lot_or_adv_constraint
2013-05-15,buy,159915,0,0.971,0.0,unfilled,lot_or_adv_constraint
2013-05-22,buy,159915,0,1.072,0.0,unfilled,lot_or_adv_constraint
2013-05-29,buy,159915,0,1.053,0.0,unfilled,lot_or_adv_constraint
2013-06-05,buy,159915,0,1.019,0.0,unfilled,lot_or_adv_constraint
2013-06-17,sell,510050,586700,1.729,202.88086,filled,
2013-06-17,buy,510300,20700,2.443,10.11402,filled,
2013-06-17,buy,159915,47200,1.073,10.12912,filled,
2013-08-19,sell,159915,47200,1.112,10.49728,filled,
2013-08-19,buy,510050,29600,1.629,9.643680000000002,filled,
2013-09-09,sell,510300,20700,2.419,10.014660000000001,filled,
2013-09-09,buy,159915,268200,1.262,67.69368000000001,filled,
2013-10-09,sell,510050,29600,1.709,10.117280000000001,filled,
2013-10-09,buy,510300,13600,2.49,6.7728,filled,
2013-10-30,sell,159915,268200,1.233,66.13812000000001,filled,
