signal_date,execution_date,action,code,rank_benefit
2012-06-13,2012-06-14,initial_buy,510050,
2012-11-22,2012-11-23,initial_buy,510050,
2012-12-06,2012-12-07,initial_buy,510050,
2012-12-27,2012-12-28,buy,159915,
2013-01-22,2013-01-23,initial_buy,510050,
2013-01-22,2013-01-23,initial_buy,159915,
2013-07-05,2013-07-08,sell,510050,0.25
2013-07-05,2013-07-08,buy,510300,0.25
2013-08-16,2013-08-19,sell,159915,0.5
2013-08-16,2013-08-19,buy,510050,0.5
2013-09-06,2013-09-09,sell,510300,0.75
2013-09-06,2013-09-09,buy,159915,0.75
2013-09-24,2013-09-25,sell,510050,0.2
2013-09-24,2013-09-25,buy,510300,0.2
2013-10-29,2013-10-30,sell,159915,0.5
2013-10-29,2013-10-30,buy,510050,0.5
2013-11-19,2013-11-20,sell,510050,0.16666666666666669
2013-11-19,2013-11-20,buy,159915,0.16666666666666669
2013-12-10,2013-12-11,sell,159915,0.16666666666666666
2013-12-10,2013-12-11,buy,510050,0.16666666666666666
2013-12-31,2014-01-02,sell,510050,0.8333333333333334
2013-12-31,2014-01-02,buy,159915,0.8333333333333334
2014-01-22,2014-01-23,sell,510300,0.14285714285714285
2014-01-22,2014-01-23,buy,510050,0.14285714285714285
2014-02-19,2014-02-20,sell,159915,0.25
2014-02-19,2014-02-20,buy,510300,0.25
2014-03-12,2014-03-13,sell,510300,0.125
2014-03-12,2014-03-13,buy,159915,0.125
2014-04-02,2014-04-03,sell,159915,0.4444444444444445
2014-04-02,2014-04-03,buy,510300,0.4444444444444445
2014-04-17,2014-04-18,sell,510050,0.5555555555555556
2014-04-17,2014-04-18,buy,510500,0.5555555555555556
2014-05-12,2014-05-13,sell,510500,0.7777777777777778
2014-05-12,2014-05-13,buy,511010,0.7777777777777778
2014-05-19,2014-05-20,sell,510300,0.11111111111111116
2014-05-19,2014-05-20,buy,510050,0.11111111111111116
2014-06-10,2014-06-11,sell,510050,0.3333333333333333
2014-06-10,2014-06-11,buy,159915,0.3333333333333333
2014-07-01,2014-07-02,sell,511010,0.6666666666666667
2014-07-01,2014-07-02,buy,510500,0.6666666666666667
2014-07-08,2014-07-09,sell,159915,0.6666666666666666
2014-07-08,2014-07-09,buy,510300,0.6666666666666666
2014-07-22,2014-07-23,sell,510500,0.4
2014-07-22,2014-07-23,buy,510050,0.4
2014-08-12,2014-08-13,sell,510050,0.8
2014-08-12,2014-08-13,buy,510500,0.8
2014-08-19,2014-08-20,sell,510300,0.5
2014-08-19,2014-08-20,buy,159915,0.5
2014-09-17,2014-09-18,sell,159915,0.6
2014-09-17,2014-09-18,buy,511010,0.6
2014-10-22,2014-10-23,sell,510500,0.30000000000000004
2014-10-22,2014-10-23,buy,518880,0.30000000000000004
2014-11-12,2014-11-13,sell,518880,0.9
2014-11-12,2014-11-13,buy,510050,0.9
2014-11-26,2014-11-27,sell,511010,0.6000000000000001
2014-11-26,2014-11-27,buy,510300,0.6000000000000001
2014-12-03,2014-12-04,sell,510050,0.4
2014-12-03,2014-12-04,buy,159915,0.4
2014-12-24,2014-12-25,sell,159915,0.7000000000000001
2014-12-24,2014-12-25,buy,511010,0.7000000000000001
2015-01-09,2015-01-12,sell,510300,0.19999999999999996
2015-01-09,2015-01-12,buy,518880,0.19999999999999996
2015-01-30,2015-02-02,sell,518880,0.30000000000000004
2015-01-30,2015-02-02,buy,510500,0.30000000000000004
2015-02-27,2015-03-02,sell,511010,0.5
2015-02-27,2015-03-02,buy,159915,0.5
2015-03-27,2015-03-30,sell,159915,0.6000000000000001
2015-03-27,2015-03-30,buy,159928,0.6000000000000001
2015-04-13,2015-04-14,buy,510050,
2015-04-27,2015-04-28,sell,159928,0.4
2015-04-27,2015-04-28,buy,510300,0.4
2015-05-05,2015-05-06,sell,510050,0.7
2015-05-05,2015-05-06,buy,511010,0.7
2015-05-19,2015-05-20,sell,510300,0.6
2015-05-19,2015-05-20,buy,510500,0.6
2015-05-26,2015-05-27,sell,511010,0.5
2015-05-26,2015-05-27,buy,159928,0.5
2015-06-09,2015-06-10,sell,510500,0.20000000000000007
2015-06-09,2015-06-10,buy,511010,0.20000000000000007
2015-07-01,2015-07-02,sell,159928,0.19999999999999996
2015-07-01,2015-07-02,buy,518880,0.19999999999999996
2015-07-29,2015-07-30,sell,518880,0.29999999999999993
2015-07-29,2015-07-30,buy,510500,0.29999999999999993
2015-08-19,2015-08-20,sell,510500,0.19999999999999996
2015-08-19,2015-08-20,buy,518880,0.19999999999999996
2015-10-09,2015-10-12,sell,511010,0.30000000000000004
2015-10-09,2015-10-12,buy,159915,0.30000000000000004
2015-10-16,2015-10-19,sell,518880,0.7
2015-10-16,2015-10-19,buy,510300,0.7
2015-10-30,2015-11-02,sell,159915,0.7000000000000001
2015-10-30,2015-11-02,buy,511010,0.7000000000000001
2015-11-20,2015-11-23,sell,510300,0.4
2015-11-20,2015-11-23,buy,510500,0.4
2015-12-11,2015-12-14,sell,510500,0.6
2015-12-11,2015-12-14,buy,518880,0.6
2016-03-21,2016-03-22,sell,518880,0.9090909090909091
2016-03-21,2016-03-22,buy,510050,0.9090909090909091
2016-04-12,2016-04-13,sell,510050,0.6363636363636364
2016-04-12,2016-04-13,buy,518880,0.6363636363636364
2016-05-25,2016-05-26,sell,518880,0.27272727272727276
2016-05-25,2016-05-26,buy,159928,0.27272727272727276
2016-06-24,2016-06-27,sell,159928,0.2727272727272727
2016-06-24,2016-06-27,buy,518880,0.2727272727272727
2016-07-01,2016-07-04,sell,511010,0.18181818181818177
2016-07-01,2016-07-04,buy,159928,0.18181818181818177
2016-07-15,2016-07-18,sell,518880,0.6363636363636364
2016-07-15,2016-07-18,buy,510050,0.6363636363636364
2016-07-22,2016-07-25,sell,159928,0.8181818181818181
2016-07-22,2016-07-25,buy,511010,0.8181818181818181
2016-08-12,2016-08-15,sell,511010,0.2727272727272728
2016-08-12,2016-08-15,buy,510300,0.2727272727272728
2016-08-19,2016-08-22,sell,510050,0.45454545454545453
2016-08-19,2016-08-22,buy,512010,0.45454545454545453
