date,action,code,shares,price,fee,status,reason
2012-06-14,buy,510050,562000,1.779,199.95960000000002,filled,
2012-11-16,sell,510050,562000,1.562,175.5688,filled,
2012-11-23,buy,510050,56200,1.56,17.5344,filled,
2012-11-30,sell,510050,56200,1.535,17.2534,filled,
2012-12-07,buy,510050,54700,1.6,17.504,filled,
2012-12-28,buy,159915,56200,0.701,7.879239999999999,filled,
2013-01-16,sell,510050,54700,1.893,20.70942,filled,
2013-01-16,sell,159915,56200,0.78,8.7672,filled,
2013-01-23,buy,510050,23700,1.889,8.95386,filled,
2013-01-23,buy,159915,57900,0.774,8.96292,filled,
2013-07-08,sell,510050,23700,1.559,7.389659999999999,filled,
2013-07-08,buy,510300,18900,2.232,8.436960000000001,filled,
2013-08-19,sell,159915,57900,1.112,12.87696,filled,
2013-08-19,buy,510050,26500,1.629,8.633700000000001,filled,
2013-09-09,sell,510300,18900,2.419,9.14382,filled,
2013-09-09,buy,159915,240800,1.262,60.77792,filled,
2013-09-25,sell,510050,26500,1.726,9.1478,filled,
2013-09-25,buy,510300,12200,2.496,6.0902400000000005,filled,
2013-10-30,sell,159915,240800,1.233,59.38128000000001,filled,
2013-10-30,buy,510050,103800,1.688,35.042880000000004,filled,
2013-11-20,sell,510050,103800,1.668,34.62768,filled,
2013-11-20,buy,159915,34200,1.275,8.721,filled,
2013-12-11,sell,159915,34200,1.205,8.2422,filled,
2013-12-11,buy,510050,105000,1.661,34.881,filled,
2014-01-02,sell,510050,105000,1.566,32.886,filled,
2014-01-02,buy,159915,338600,1.273,86.20756,filled,
2014-01-23,sell,510300,12200,2.239,5.46316,filled,
2014-01-23,buy,510050,151700,1.51,45.8134,filled,
2014-02-20,sell,159915,338600,1.501,101.64772,filled,
2014-02-20,buy,510300,15900,2.31,7.3458000000000006,filled,
2014-03-13,sell,510300,15900,2.111,6.712980000000001,filled,
2014-03-13,buy,159915,26800,1.365,7.316400000000001,filled,
2014-04-03,sell,159915,26800,1.29,6.9144000000000005,filled,
2014-04-03,buy,510300,16700,2.18,7.2812,filled,
2014-04-18,sell,510050,151700,1.51,45.8134,filled,
2014-04-18,buy,510500,41500,1.113,9.2379,filled,
2014-05-13,sell,510500,41500,1.067,8.8561,filled,
2014-05-13,buy,511010,4600,99.15,91.218,filled,
2014-05-20,sell,510300,16700,2.12,7.0808,filled,
2014-05-20,buy,510050,171700,1.462,50.20508,filled,
2014-06-11,sell,510050,171700,1.484,50.96056,filled,
2014-06-11,buy,159915,191800,1.318,50.55848000000001,filled,
2014-07-02,sell,511010,4600,99.786,91.80312,filled,
2014-07-02,buy,510500,321200,1.108,71.17792000000001,filled,
2014-07-09,sell,159915,191800,1.378,52.860079999999996,filled,
2014-07-09,buy,510300,141000,2.198,61.9836,filled,
2014-07-23,sell,510500,321200,1.148,73.74752,filled,
2014-07-23,buy,510050,221300,1.533,67.85058,filled,
2014-08-13,sell,510050,221300,1.649,72.98474,filled,
2014-08-13,buy,510500,28400,1.239,7.0375200000000016,filled,
2014-08-20,sell,510300,141000,2.413,68.0466,filled,
2014-08-20,buy,159915,35500,1.418,10.0678,filled,
2014-09-18,sell,159915,35500,1.439,10.2169,filled,
2014-09-18,buy,511010,5000,99.995,99.995,filled,
2014-10-23,sell,510500,28400,1.352,7.679360000000001,filled,
2014-10-23,buy,518880,111700,2.454,54.82236000000001,filled,
2014-11-13,sell,518880,111700,2.294,51.247960000000006,filled,
2014-11-13,buy,510050,14800,1.78,5.268800000000001,filled,
2014-11-27,sell,511010,5000,104.012,104.012,filled,
2014-11-27,buy,510300,18500,2.767,10.2379,filled,
2014-12-04,sell,510050,14800,2.045,6.0532,filled,
2014-12-04,buy,159915,32000,1.563,10.0032,filled,
2014-12-25,sell,159915,32000,1.475,9.440000000000001,filled,
2014-12-25,buy,511010,400,103.703,8.296240000000001,filled,
2015-01-12,sell,510300,18500,3.557,13.1609,filled,
2015-01-12,buy,518880,20800,2.456,10.21696,filled,
2015-02-02,sell,518880,20800,2.58,10.732800000000001,filled,
2015-02-02,buy,510500,32600,1.575,10.269,filled,
2015-03-02,sell,511010,400,106.745,8.5396,filled,
2015-03-02,buy,159915,27200,1.868,10.161920000000002,filled,
2015-03-30,sell,159915,27200,2.21,12.022400000000001,filled,
2015-03-30,buy,159928,36600,1.4,10.248000000000001,filled,
2015-04-14,buy,510050,16300,2.991,9.750660000000002,filled,
2015-04-21,sell,510500,32600,7.82,50.9864,filled,
2015-04-28,sell,159928,36600,1.6,11.712,filled,
2015-04-28,buy,510300,13000,4.769,12.3994,filled,
2015-05-06,sell,510050,16300,3.11,10.1386,filled,
2015-05-06,buy,511010,500,106.841,10.6841,filled,
2015-05-20,sell,510300,13000,4.737,12.3162,filled,
2015-05-20,buy,510500,6600,9.265,12.229800000000003,filled,
2015-05-27,sell,511010,500,106.91,10.691,filled,
2015-05-27,buy,159928,33500,1.833,12.2811,filled,
2015-06-10,sell,510500,6600,11.086,14.633520000000003,filled,
2015-06-10,buy,511010,500,107.088,10.7088,filled,
2015-07-02,sell,159928,33500,1.57,10.519,filled,
2015-07-02,buy,518880,26600,2.331,12.400920000000001,filled,
2015-07-30,sell,518880,26600,2.197,11.68804,filled,
2015-07-30,buy,510500,7600,8.067,12.261840000000001,filled,
2015-08-20,sell,510500,7600,8.301,12.61752,filled,
2015-08-20,buy,518880,26400,2.338,12.344640000000002,filled,
2015-10-12,sell,511010,500,107.55,10.755,filled,
2015-10-12,buy,159915,29100,2.113,12.29766,filled,
2015-10-19,sell,518880,26400,2.4,12.672,filled,
2015-10-19,buy,510300,17100,3.597,12.30174,filled,
2015-11-02,sell,159915,29100,2.273,13.228860000000001,filled,
2015-11-02,buy,511010,500,108.805,10.880500000000001,filled,
2015-11-23,sell,510300,17100,3.82,13.064400000000001,filled,
2015-11-23,buy,510500,7700,8.022,12.35388,filled,
2015-12-14,sell,510500,7700,7.445,11.465300000000001,filled,
2015-12-14,buy,518880,27800,2.236,12.432160000000001,filled,
2016-03-22,sell,518880,27800,2.578,14.33368,filled,
2016-03-22,buy,510050,28600,2.185,12.4982,filled,
2016-04-13,sell,510050,28600,2.154,12.320879999999999,filled,
2016-04-13,buy,518880,24000,2.601,12.4848,filled,
2016-05-26,sell,518880,24000,2.593,12.4464,filled,
2016-05-26,buy,159928,466200,1.298,121.02552,filled,
