date,action,code,shares,price,fee,status,reason
2026-02-25,sell,512400,116200,2.27,52.7548,filled,
2026-02-25,buy,515220,58400,1.175,13.724,filled,
2026-03-04,sell,159998,279700,1.023,57.22662,filled,
2026-03-04,buy,159985,38500,2.062,15.877400000000002,filled,
2026-03-18,sell,515220,58400,1.254,14.646720000000002,filled,
2026-03-18,buy,511260,4100,134.887,110.60734,filled,
2026-04-01,sell,159985,38500,2.058,15.8466,filled,
2026-04-01,buy,511010,300,140.503,8.43018,filled,
2026-04-23,sell,511010,300,140.837,8.45022,filled,
2026-04-23,buy,159819,31200,1.779,11.100959999999999,filled,
2026-05-12,sell,511260,4100,135.22,110.88040000000001,filled,
2026-05-12,buy,159801,70100,1.146,16.06692,filled,
2026-05-19,sell,159819,31200,1.952,12.180480000000001,filled,
2026-05-19,buy,511010,3900,141.122,110.07516000000001,filled,
2026-06-02,sell,159801,70100,1.163,16.30526,filled,
2026-06-02,buy,515220,40800,1.37,11.179200000000002,filled,
2026-06-24,sell,515220,40800,1.166,9.51456,filled,
2026-06-24,buy,511260,400,135.829,10.866320000000002,filled,
2026-07-15,sell,511260,400,134.901,10.79208,filled,
2026-07-15,buy,159992,63600,0.874,11.117280000000001,filled,
2026-07-22,sell,511010,3900,140.822,109.84116000000002,filled,
2026-07-22,buy,512010,215100,0.373,16.04646,filled,
