signal_date,execution_date,action,code,rank_benefit
2012-06-28,2012-06-29,initial_buy,510050,
2012-11-22,2012-11-23,initial_buy,510050,
2012-12-06,2012-12-07,initial_buy,510050,
2013-01-22,2013-01-23,initial_buy,510050,
2013-06-14,2013-06-17,buy,510300,
2014-04-02,2014-04-03,sell,510300,0.6666666666666667
2014-04-02,2014-04-03,buy,510500,0.6666666666666667
2014-05-05,2014-05-06,sell,510500,0.3333333333333333
2014-05-05,2014-05-06,buy,510300,0.3333333333333333
2014-05-26,2014-05-27,sell,510300,0.6666666666666667
2014-05-26,2014-05-27,buy,510500,0.6666666666666667
2014-07-29,2014-07-30,sell,510500,0.3333333333333333
2014-07-29,2014-07-30,buy,510300,0.3333333333333333
2014-08-26,2014-08-27,sell,510050,0.6666666666666667
2014-08-26,2014-08-27,buy,510500,0.6666666666666667
2014-09-17,2014-09-18,sell,510500,0.3333333333333333
2014-09-17,2014-09-18,buy,510050,0.3333333333333333
2014-10-29,2014-10-30,sell,510050,0.6666666666666667
2014-10-29,2014-10-30,buy,510500,0.6666666666666667
2014-11-12,2014-11-13,sell,510300,0.3333333333333333
2014-11-12,2014-11-13,buy,510050,0.3333333333333333
2014-11-26,2014-11-27,sell,510500,0.6666666666666667
2014-11-26,2014-11-27,buy,510300,0.6666666666666667
2014-12-24,2014-12-25,sell,510300,0.3333333333333333
2014-12-24,2014-12-25,buy,510500,0.3333333333333333
2015-01-16,2015-01-19,sell,510500,0.6666666666666667
2015-01-16,2015-01-19,buy,510300,0.6666666666666667
2015-01-30,2015-02-02,sell,510050,0.6666666666666667
2015-01-30,2015-02-02,buy,510500,0.6666666666666667
2015-03-20,2015-03-23,sell,510300,0.3333333333333333
2015-03-20,2015-03-23,buy,510050,0.3333333333333333
2015-04-03,2015-04-07,sell,510500,0.3333333333333333
2015-04-03,2015-04-07,buy,510300,0.3333333333333333
2015-04-20,2015-04-21,sell,510050,0.6666666666666667
2015-04-20,2015-04-21,buy,510500,0.6666666666666667
2015-05-12,2015-05-13,sell,510300,0.3333333333333333
2015-05-12,2015-05-13,buy,510050,0.3333333333333333
2015-05-19,2015-05-20,sell,510500,0.6666666666666667
2015-05-19,2015-05-20,buy,510300,0.6666666666666667
2015-06-16,2015-06-17,sell,510050,0.6666666666666667
2015-06-16,2015-06-17,buy,510500,0.6666666666666667
2015-07-08,2015-07-09,sell,510500,0.6666666666666667
2015-07-08,2015-07-09,buy,510050,0.6666666666666667
2015-07-29,2015-07-30,sell,510050,0.6666666666666667
2015-07-29,2015-07-30,buy,510500,0.6666666666666667
2015-08-26,2015-08-27,sell,510300,0.3333333333333333
2015-08-26,2015-08-27,buy,510050,0.3333333333333333
2015-09-02,2015-09-07,sell,510500,0.3333333333333333
2015-09-02,2015-09-07,buy,510300,0.3333333333333333
2015-10-09,2015-10-12,sell,510050,0.6666666666666667
2015-10-09,2015-10-12,buy,510500,0.6666666666666667
2015-10-30,2015-11-02,sell,510500,0.3333333333333333
2015-10-30,2015-11-02,buy,510050,0.3333333333333333
2015-11-20,2015-11-23,sell,510050,0.5
2015-11-20,2015-11-23,buy,510500,0.5
2015-11-27,2015-11-30,sell,510300,0.5
2015-11-27,2015-11-30,buy,511010,0.5
2015-12-11,2015-12-14,sell,510500,0.5
2015-12-11,2015-12-14,buy,510300,0.5
2015-12-25,2015-12-28,sell,511010,0.5
2015-12-25,2015-12-28,buy,510500,0.5
2016-01-04,2016-01-05,sell,510300,0.5
2016-01-04,2016-01-05,buy,511010,0.5
2016-02-15,2016-02-16,sell,510500,0.25
2016-02-15,2016-02-16,buy,510050,0.25
2016-03-21,2016-03-22,sell,511010,0.25
2016-03-21,2016-03-22,buy,510300,0.25
2016-04-05,2016-04-06,sell,510050,0.75
2016-04-05,2016-04-06,buy,511010,0.75
2016-04-12,2016-04-13,sell,510300,0.75
2016-04-12,2016-04-13,buy,510500,0.75
2016-04-26,2016-04-27,sell,511010,0.5
2016-04-26,2016-04-27,buy,510050,0.5
2016-05-04,2016-05-05,sell,510500,0.5
2016-05-04,2016-05-05,buy,511010,0.5
2016-05-18,2016-05-19,sell,510050,0.5
2016-05-18,2016-05-19,buy,510500,0.5
2016-06-08,2016-06-13,sell,510500,0.75
2016-06-08,2016-06-13,buy,510300,0.75
2016-06-17,2016-06-20,sell,511010,0.5
2016-06-17,2016-06-20,buy,510500,0.5
2016-07-08,2016-07-11,sell,510300,0.75
2016-07-08,2016-07-11,buy,511010,0.75
2016-07-29,2016-08-01,sell,511010,0.75
2016-07-29,2016-08-01,buy,510050,0.75
2016-08-05,2016-08-08,sell,510500,0.75
2016-08-05,2016-08-08,buy,510300,0.75
2016-08-26,2016-08-29,sell,510050,0.5
2016-08-26,2016-08-29,buy,510500,0.5
2016-09-20,2016-09-21,sell,510300,0.8
2016-09-20,2016-09-21,buy,511010,0.8
2016-10-18,2016-10-19,sell,511010,0.4
2016-10-18,2016-10-19,buy,510050,0.4
2016-11-08,2016-11-09,sell,510500,0.20000000000000007
2016-11-08,2016-11-09,buy,510300,0.20000000000000007
2016-12-06,2016-12-07,sell,510050,0.20000000000000007
2016-12-06,2016-12-07,buy,510500,0.20000000000000007
2016-12-27,2016-12-28,sell,510500,0.8
2016-12-27,2016-12-28,buy,511010,0.8
2017-01-04,2017-01-05,sell,510300,0.4
2017-01-04,2017-01-05,buy,510050,0.4
2017-01-18,2017-01-19,sell,511010,0.19999999999999996
2017-01-18,2017-01-19,buy,510300,0.19999999999999996
2017-02-15,2017-02-16,sell,510300,0.4
2017-02-15,2017-02-16,buy,511010,0.4
2017-02-22,2017-02-23,sell,510050,0.6000000000000001
2017-02-22,2017-02-23,buy,510300,0.6000000000000001
2017-03-22,2017-03-23,sell,510300,0.4
2017-03-22,2017-03-23,buy,510500,0.4
2017-03-29,2017-03-30,sell,511010,0.20000000000000007
2017-03-29,2017-03-30,buy,510300,0.20000000000000007
2017-04-21,2017-04-24,sell,510500,0.5714285714285714
2017-04-21,2017-04-24,buy,159928,0.5714285714285714
2017-04-28,2017-05-02,sell,510300,0.1428571428571429
2017-04-28,2017-05-02,buy,510050,0.1428571428571429
2017-06-21,2017-06-22,sell,510050,0.2857142857142857
2017-06-21,2017-06-22,buy,510300,0.2857142857142857
2017-07-12,2017-07-13,sell,159928,0.2857142857142857
2017-07-12,2017-07-13,buy,510050,0.2857142857142857
2017-08-09,2017-08-10,sell,510050,0.4285714285714286
2017-08-09,2017-08-10,buy,159928,0.4285714285714286
2017-08-16,2017-08-17,sell,510300,0.1428571428571428
2017-08-16,2017-08-17,buy,510500,0.1428571428571428
2017-09-06,2017-09-07,sell,159928,0.4285714285714286
2017-09-06,2017-09-07,buy,159915,0.4285714285714286
2017-09-27,2017-09-28,sell,159915,0.2857142857142857
2017-09-27,2017-09-28,buy,159928,0.2857142857142857
2017-10-11,2017-10-12,sell,510500,0.1428571428571428
2017-10-11,2017-10-12,buy,159915,0.1428571428571428
2017-11-08,2017-11-09,sell,159915,0.5714285714285714
2017-11-08,2017-11-09,buy,510300,0.5714285714285714
2017-11-15,2017-11-16,sell,159928,0.2857142857142857
2017-11-15,2017-11-16,buy,510050,0.2857142857142857
2017-12-13,2017-12-14,sell,510050,0.5714285714285714
2017-12-13,2017-12-14,buy,159928,0.5714285714285714
2017-12-20,2017-12-21,sell,510300,0.1428571428571428
2017-12-20,2017-12-21,buy,511010,0.1428571428571428
2018-01-11,2018-01-12,sell,511010,0.5714285714285714
2018-01-11,2018-01-12,buy,510300,0.5714285714285714
2018-01-18,2018-01-19,sell,159928,0.5714285714285714
2018-01-18,2018-01-19,buy,510050,0.5714285714285714
2018-02-01,2018-02-02,sell,510300,0.11111111111111105
2018-02-01,2018-02-02,buy,511010,0.11111111111111105
2018-02-22,2018-02-23,sell,510050,0.2222222222222222
2018-02-22,2018-02-23,buy,159928,0.2222222222222222
2018-03-15,2018-03-16,sell,159928,0.11111111111111105
2018-03-15,2018-03-16,buy,159915,0.11111111111111105
2018-05-30,2018-05-31,sell,159915,0.30000000000000004
2018-05-30,2018-05-31,buy,159928,0.30000000000000004
2018-06-21,2018-06-22,sell,159928,0.19999999999999996
2018-06-21,2018-06-22,buy,510050,0.19999999999999996
2018-07-12,2018-07-13,sell,510050,0.5
2018-07-12,2018-07-13,buy,159928,0.5
2018-08-09,2018-08-10,sell,159928,0.5
2018-08-09,2018-08-10,buy,510050,0.5
2018-08-30,2018-08-31,sell,510050,0.16666666666666663
2018-08-30,2018-08-31,buy,512800,0.16666666666666663
2018-10-12,2018-10-15,sell,512800,0.25
2018-10-12,2018-10-15,buy,159928,0.25
2018-11-02,2018-11-05,sell,159928,0.8666666666666667
2018-11-02,2018-11-05,buy,512880,0.8666666666666667
2018-12-14,2018-12-17,sell,512880,0.2666666666666667
2018-12-14,2018-12-17,buy,512800,0.2666666666666667
2019-01-08,2019-01-09,sell,512800,0.6666666666666667
2019-01-08,2019-01-09,buy,512880,0.6666666666666667
2019-01-29,2019-01-30,sell,511010,0.2666666666666667
2019-01-29,2019-01-30,buy,512800,0.2666666666666667
2019-02-12,2019-02-13,sell,512880,0.2666666666666667
2019-02-12,2019-02-13,buy,159928,0.2666666666666667
2019-02-26,2019-02-27,sell,512800,0.5333333333333333
2019-02-26,2019-02-27,buy,159949,0.5333333333333333
2019-03-05,2019-03-06,sell,159928,0.2666666666666667
2019-03-05,2019-03-06,buy,159915,0.2666666666666667
2019-03-26,2019-03-27,sell,159915,0.33333333333333337
2019-03-26,2019-03-27,buy,511010,0.33333333333333337
2019-04-02,2019-04-03,sell,159949,0.1333333333333333
2019-04-02,2019-04-03,buy,510300,0.1333333333333333
2019-04-17,2019-04-18,sell,511010,0.9333333333333333
2019-04-17,2019-04-18,buy,159928,0.9333333333333333
2019-05-06,2019-05-07,sell,510300,0.1875
2019-05-06,2019-05-07,buy,511010,0.1875
2019-05-27,2019-05-28,sell,159928,0.25
2019-05-27,2019-05-28,buy,512800,0.25
2019-06-11,2019-06-12,sell,511010,0.3125
2019-06-11,2019-06-12,buy,159928,0.3125
2019-06-25,2019-06-26,sell,512800,0.5625
2019-06-25,2019-06-26,buy,510050,0.5625
2019-07-23,2019-07-24,sell,510050,0.1875
2019-07-23,2019-07-24,buy,511010,0.1875
2019-07-30,2019-07-31,sell,159928,0.3125
2019-07-30,2019-07-31,buy,512800,0.3125
2019-08-20,2019-08-21,sell,511010,0.5
2019-08-20,2019-08-21,buy,159928,0.5
2019-08-27,2019-08-28,sell,512800,0.6875
2019-08-27,2019-08-28,buy,512010,0.6875
2019-09-10,2019-09-11,sell,159928,0.6875
2019-09-10,2019-09-11,buy,159949,0.6875
2019-10-09,2019-10-10,sell,159949,0.4375
2019-10-09,2019-10-10,buy,512800,0.4375
2019-10-23,2019-10-24,sell,512010,0.25
2019-10-23,2019-10-24,buy,511010,0.25
2019-11-06,2019-11-07,sell,512800,0.5
2019-11-06,2019-11-07,buy,159928,0.5
2019-11-13,2019-11-14,sell,511010,0.3125
2019-11-13,2019-11-14,buy,159949,0.3125
2019-11-27,2019-11-28,sell,159928,0.125
2019-11-27,2019-11-28,buy,511010,0.125
2019-12-18,2019-12-19,sell,511010,0.5
2019-12-18,2019-12-19,buy,510500,0.5
2019-12-25,2019-12-26,sell,159949,0.375
2019-12-25,2019-12-26,buy,512980,0.375
2020-01-16,2020-01-17,sell,512980,0.625
2020-01-16,2020-01-17,buy,159928,0.625
2020-01-23,2020-02-03,sell,510500,0.1875
2020-01-23,2020-02-03,buy,511010,0.1875
2020-02-14,2020-02-17,sell,159928,0.6470588235294117
2020-02-14,2020-02-17,buy,159915,0.6470588235294117
2020-02-21,2020-02-24,sell,511010,0.8235294117647058
2020-02-21,2020-02-24,buy,512660,0.8235294117647058
2020-03-13,2020-03-16,sell,159915,0.11764705882352944
2020-03-13,2020-03-16,buy,511010,0.11764705882352944
2020-03-27,2020-03-30,sell,512660,0.23529411764705876
2020-03-27,2020-03-30,buy,512010,0.23529411764705876
2020-04-20,2020-04-21,sell,511010,0.23529411764705876
2020-04-20,2020-04-21,buy,159928,0.23529411764705876
2020-05-28,2020-05-29,sell,159928,0.35
2020-05-28,2020-05-29,buy,159949,0.35
2020-06-04,2020-06-05,sell,512010,0.29999999999999993
2020-06-04,2020-06-05,buy,510500,0.29999999999999993
2020-06-29,2020-06-30,sell,159949,0.5714285714285714
2020-06-29,2020-06-30,buy,159915,0.5714285714285714
2020-07-06,2020-07-07,sell,510500,0.23809523809523803
2020-07-06,2020-07-07,buy,510300,0.23809523809523803
2020-07-20,2020-07-21,sell,159915,0.33333333333333337
2020-07-20,2020-07-21,buy,512880,0.33333333333333337
2020-07-27,2020-07-28,sell,510300,0.23809523809523814
2020-07-27,2020-07-28,buy,512010,0.23809523809523814
2020-08-10,2020-08-11,sell,512880,0.45454545454545453
2020-08-10,2020-08-11,buy,512660,0.45454545454545453
2020-08-17,2020-08-18,sell,512010,0.6521739130434783
2020-08-17,2020-08-18,buy,159928,0.6521739130434783
2020-08-31,2020-09-01,sell,512660,0.16666666666666663
2020-08-31,2020-09-01,buy,510300,0.16666666666666663
2020-09-07,2020-09-08,sell,159928,0.41666666666666674
2020-09-07,2020-09-08,buy,512980,0.41666666666666674
2020-09-21,2020-09-22,sell,510300,0.20833333333333337
2020-09-21,2020-09-22,buy,510050,0.20833333333333337
2020-09-28,2020-09-29,sell,512980,0.43999999999999995
2020-09-28,2020-09-29,buy,159949,0.43999999999999995
2020-10-20,2020-10-21,sell,510050,0.2222222222222222
2020-10-20,2020-10-21,buy,512010,0.2222222222222222
2020-10-27,2020-10-28,sell,159949,0.14814814814814814
