signal_date,execution_date,action,code,rank_benefit
2012-06-28,2012-06-29,initial_buy,510050,
2013-06-14,2013-06-17,buy,510300,
2014-04-02,2014-04-03,sell,510300,0.5714285714285714
2014-04-02,2014-04-03,buy,510500,0.5714285714285714
2014-04-24,2014-04-25,sell,510500,0.4285714285714286
2014-04-24,2014-04-25,buy,511010,0.4285714285714286
2014-05-12,2014-05-13,sell,510050,0.28571428571428575
2014-05-12,2014-05-13,buy,510300,0.28571428571428575
2014-06-03,2014-06-04,sell,510300,0.5714285714285714
2014-06-03,2014-06-04,buy,510500,0.5714285714285714
2014-06-10,2014-06-11,sell,511010,0.28571428571428575
2014-06-10,2014-06-11,buy,510050,0.28571428571428575
2014-07-01,2014-07-02,sell,510050,0.5714285714285714
2014-07-01,2014-07-02,buy,511010,0.5714285714285714
2014-07-22,2014-07-23,sell,510500,0.1428571428571428
2014-07-22,2014-07-23,buy,510300,0.1428571428571428
2014-08-12,2014-08-13,sell,510300,0.2857142857142857
2014-08-12,2014-08-13,buy,510500,0.2857142857142857
2014-08-19,2014-08-20,sell,511010,0.4285714285714286
2014-08-19,2014-08-20,buy,510300,0.4285714285714286
2014-09-10,2014-09-11,sell,510500,0.2857142857142857
2014-09-10,2014-09-11,buy,510050,0.2857142857142857
2014-10-08,2014-10-09,sell,510300,0.2857142857142857
2014-10-08,2014-10-09,buy,510500,0.2857142857142857
2014-10-15,2014-10-16,sell,510050,0.5714285714285714
2014-10-15,2014-10-16,buy,510300,0.5714285714285714
2014-11-05,2014-11-06,sell,510500,0.4285714285714286
2014-11-05,2014-11-06,buy,510050,0.4285714285714286
2014-11-26,2014-11-27,sell,510300,0.1428571428571429
2014-11-26,2014-11-27,buy,510500,0.1428571428571429
2014-12-17,2014-12-18,sell,510050,0.4285714285714286
2014-12-17,2014-12-18,buy,518880,0.4285714285714286
2014-12-24,2014-12-25,sell,510500,0.14285714285714285
2014-12-24,2014-12-25,buy,511010,0.14285714285714285
2015-01-09,2015-01-12,sell,518880,0.7142857142857143
2015-01-09,2015-01-12,buy,510500,0.7142857142857143
2015-01-23,2015-01-26,sell,511010,0.4285714285714286
2015-01-23,2015-01-26,buy,510300,0.4285714285714286
2015-01-30,2015-02-02,sell,510500,0.2857142857142857
2015-01-30,2015-02-02,buy,518880,0.2857142857142857
