signal_date,execution_date,action,code,rank_benefit
2012-01-11,2012-01-12,initial_buy,510050,
2012-12-27,2012-12-28,buy,159915,
2013-06-14,2013-06-17,sell,510050,0.16666666666666669
2013-06-14,2013-06-17,buy,510300,0.16666666666666669
2013-08-16,2013-08-19,sell,159915,0.5
2013-08-16,2013-08-19,buy,510050,0.5
2013-09-06,2013-09-09,sell,510300,0.625
2013-09-06,2013-09-09,buy,159915,0.625
2013-10-08,2013-10-09,sell,510050,0.25
2013-10-08,2013-10-09,buy,510300,0.25
2013-10-29,2013-10-30,sell,159915,0.3333333333333333
2013-10-29,2013-10-30,buy,510050,0.3333333333333333
2013-11-26,2013-11-27,sell,510050,0.5555555555555556
2013-11-26,2013-11-27,buy,159915,0.5555555555555556
2014-01-22,2014-01-23,sell,510300,0.1111111111111111
2014-01-22,2014-01-23,buy,510050,0.1111111111111111
2014-02-26,2014-02-27,sell,510050,0.1
2014-02-26,2014-02-27,buy,510300,0.1
2014-03-12,2014-03-13,sell,159915,0.19999999999999998
2014-03-12,2014-03-13,buy,510050,0.19999999999999998
2014-03-19,2014-03-20,sell,510300,0.30000000000000004
2014-03-19,2014-03-20,buy,159915,0.30000000000000004
2014-04-10,2014-04-11,sell,159915,0.6000000000000001
2014-04-10,2014-04-11,buy,510300,0.6000000000000001
2014-05-05,2014-05-06,sell,510300,0.4
2014-05-05,2014-05-06,buy,511010,0.4
2014-05-26,2014-05-27,sell,510050,0.3
2014-05-26,2014-05-27,buy,159915,0.3
2014-06-17,2014-06-18,sell,511010,0.5
2014-06-17,2014-06-18,buy,510500,0.5
2014-07-15,2014-07-16,sell,159915,0.30000000000000004
2014-07-15,2014-07-16,buy,510300,0.30000000000000004
2014-07-29,2014-07-30,sell,510500,0.30000000000000004
2014-07-29,2014-07-30,buy,510050,0.30000000000000004
2014-08-19,2014-08-20,sell,510050,0.30000000000000004
2014-08-19,2014-08-20,buy,510500,0.30000000000000004
2014-08-26,2014-08-27,sell,510300,0.7
2014-08-26,2014-08-27,buy,159915,0.7
2014-11-05,2014-11-06,sell,159915,0.5
2014-11-05,2014-11-06,buy,511010,0.5
2014-11-12,2014-11-13,sell,510500,0.4
2014-11-12,2014-11-13,buy,510050,0.4
2014-11-26,2014-11-27,sell,511010,0.7
2014-11-26,2014-11-27,buy,510300,0.7
2015-01-23,2015-01-26,sell,510300,0.20000000000000007
2015-01-23,2015-01-26,buy,159915,0.20000000000000007
2015-01-30,2015-02-02,sell,510050,0.8
2015-01-30,2015-02-02,buy,510500,0.8
2015-04-13,2015-04-14,buy,510300,
2015-04-20,2015-04-21,sell,159915,0.4
2015-04-20,2015-04-21,buy,510500,0.4
2015-05-05,2015-05-06,sell,510300,0.20000000000000007
2015-05-05,2015-05-06,buy,159915,0.20000000000000007
2015-06-16,2015-06-17,sell,159915,0.20000000000000007
2015-06-16,2015-06-17,buy,159928,0.20000000000000007
2015-06-24,2015-06-25,sell,510500,0.30000000000000004
2015-06-24,2015-06-25,buy,511010,0.30000000000000004
2015-07-08,2015-07-09,sell,159928,0.39999999999999997
2015-07-08,2015-07-09,buy,518880,0.39999999999999997
2015-07-29,2015-07-30,sell,518880,0.49999999999999994
2015-07-29,2015-07-30,buy,159915,0.49999999999999994
2015-08-05,2015-08-06,sell,511010,0.7
2015-08-05,2015-08-06,buy,510500,0.7
2015-08-19,2015-08-20,sell,159915,0.9
2015-08-19,2015-08-20,buy,518880,0.9
2015-08-26,2015-08-27,sell,510500,0.7
2015-08-26,2015-08-27,buy,511010,0.7
2015-09-25,2015-09-28,sell,511010,0.6363636363636364
2015-09-25,2015-09-28,buy,510050,0.6363636363636364
2015-10-09,2015-10-12,sell,518880,0.5454545454545454
2015-10-09,2015-10-12,buy,510500,0.5454545454545454
2015-10-23,2015-10-26,sell,510050,0.4545454545454546
2015-10-23,2015-10-26,buy,159915,0.4545454545454546
2015-12-04,2015-12-07,sell,159915,0.4545454545454546
2015-12-04,2015-12-07,buy,159928,0.4545454545454546
2015-12-11,2015-12-14,sell,510500,0.5454545454545454
2015-12-11,2015-12-14,buy,511010,0.5454545454545454
2016-01-04,2016-01-05,sell,511010,0.36363636363636365
2016-01-04,2016-01-05,buy,518880,0.36363636363636365
2016-01-18,2016-01-19,sell,159928,0.2727272727272727
2016-01-18,2016-01-19,buy,511010,0.2727272727272727
2016-02-15,2016-02-16,sell,511010,0.18181818181818177
2016-02-15,2016-02-16,buy,159915,0.18181818181818177
