signal_date,execution_date,holdings,exposure,regime_exposure,rebalance_reason
2006-03-09,2006-03-10,,1.0,1.0,hold
2006-03-16,2006-03-17,,1.0,1.0,hold
2006-03-23,2006-03-24,,1.0,1.0,hold
2006-03-30,2006-03-31,,1.0,1.0,hold
2006-04-06,2006-04-07,,1.0,1.0,hold
2006-04-13,2006-04-14,,1.0,1.0,hold
2006-04-20,2006-04-21,,1.0,1.0,hold
2006-04-27,2006-04-28,,1.0,1.0,hold
2006-05-11,2006-05-12,,1.0,1.0,hold
2006-05-18,2006-05-19,,1.0,1.0,hold
2006-05-25,2006-05-26,,1.0,1.0,hold
2006-06-01,2006-06-02,,1.0,1.0,hold
2006-06-08,2006-06-09,,1.0,1.0,hold
2006-06-15,2006-06-16,,1.0,1.0,hold
2006-06-22,2006-06-23,,1.0,1.0,hold
2006-06-29,2006-06-30,,1.0,1.0,hold
2006-07-06,2006-07-07,,1.0,1.0,hold
2006-07-13,2006-07-14,,1.0,1.0,hold
2006-07-20,2006-07-21,,1.0,1.0,hold
2006-07-27,2006-07-28,,1.0,1.0,hold
2006-08-03,2006-08-04,,1.0,1.0,hold
2006-08-10,2006-08-11,,1.0,1.0,hold
2006-08-17,2006-08-18,,1.0,1.0,hold
2006-08-24,2006-08-25,,1.0,1.0,hold
2006-08-31,2006-09-01,,1.0,1.0,hold
2006-09-07,2006-09-08,,1.0,1.0,hold
2006-09-14,2006-09-15,,1.0,1.0,hold
2006-09-21,2006-09-22,,1.0,1.0,hold
2006-09-28,2006-09-29,,1.0,1.0,hold
2006-10-12,2006-10-13,,1.0,1.0,hold
2006-10-19,2006-10-20,,1.0,1.0,hold
2006-10-26,2006-10-27,,1.0,1.0,hold
2006-11-02,2006-11-03,,1.0,1.0,hold
2006-11-09,2006-11-10,,1.0,1.0,hold
2006-11-16,2006-11-17,,1.0,1.0,hold
2006-11-23,2006-11-24,,1.0,1.0,hold
2006-11-30,2006-12-01,,1.0,1.0,hold
2006-12-07,2006-12-08,,1.0,1.0,hold
2006-12-14,2006-12-15,,1.0,1.0,hold
2006-12-21,2006-12-22,,1.0,1.0,hold
2006-12-28,2006-12-29,,1.0,1.0,hold
2007-01-09,2007-01-10,,1.0,1.0,hold
2007-01-16,2007-01-17,,1.0,1.0,hold
2007-01-23,2007-01-24,,1.0,1.0,hold
2007-01-30,2007-01-31,,1.0,1.0,hold
2007-02-06,2007-02-07,,1.0,1.0,hold
2007-02-13,2007-02-14,,1.0,1.0,hold
2007-02-27,2007-02-28,,1.0,1.0,hold
2007-03-06,2007-03-07,,1.0,1.0,hold
2007-03-13,2007-03-14,,1.0,1.0,hold
2007-03-20,2007-03-21,,1.0,1.0,hold
2007-03-27,2007-03-28,,1.0,1.0,hold
2007-04-03,2007-04-04,,1.0,1.0,hold
2007-04-10,2007-04-11,,1.0,1.0,hold
2007-04-17,2007-04-18,,1.0,1.0,hold
2007-04-24,2007-04-25,,1.0,1.0,hold
2007-05-08,2007-05-09,,1.0,1.0,hold
2007-05-15,2007-05-16,,1.0,1.0,hold
2007-05-22,2007-05-23,,1.0,1.0,hold
2007-05-29,2007-05-30,,1.0,1.0,hold
2007-06-05,2007-06-06,,1.0,1.0,hold
2007-06-12,2007-06-13,,1.0,1.0,hold
2007-06-19,2007-06-20,,1.0,1.0,hold
2007-06-26,2007-06-27,,1.0,1.0,hold
2007-07-03,2007-07-04,,1.0,1.0,hold
2007-07-10,2007-07-11,,1.0,1.0,hold
2007-07-17,2007-07-18,,1.0,1.0,hold
2007-07-24,2007-07-25,,1.0,1.0,hold
2007-07-31,2007-08-01,,1.0,1.0,hold
2007-08-07,2007-08-08,,1.0,1.0,hold
2007-08-14,2007-08-15,,1.0,1.0,hold
2007-08-21,2007-08-22,,1.0,1.0,hold
2007-08-28,2007-08-29,,1.0,1.0,hold
2007-09-04,2007-09-05,,1.0,1.0,hold
2007-09-11,2007-09-12,,1.0,1.0,hold
2007-09-18,2007-09-19,,1.0,1.0,hold
2007-09-25,2007-09-26,,1.0,1.0,hold
2007-10-09,2007-10-10,,1.0,1.0,hold
2007-10-16,2007-10-17,,1.0,1.0,hold
2007-10-23,2007-10-24,,1.0,1.0,hold
2007-10-30,2007-10-31,,1.0,1.0,hold
2007-11-06,2007-11-07,,1.0,1.0,hold
