signal_date,execution_date,action,code,rank_benefit
2012-06-06,2012-06-07,initial_buy,510050,
2013-06-14,2013-06-17,buy,510300,
2014-04-02,2014-04-03,sell,510300,0.5714285714285714
2014-04-02,2014-04-03,buy,510500,0.5714285714285714
2014-04-24,2014-04-25,sell,510500,0.8571428571428572
2014-04-24,2014-04-25,buy,511010,0.8571428571428572
2014-05-12,2014-05-13,sell,510050,0.4285714285714286
2014-05-12,2014-05-13,buy,510300,0.4285714285714286
2014-06-03,2014-06-04,sell,510300,0.42857142857142855
2014-06-03,2014-06-04,buy,510500,0.42857142857142855
2014-06-17,2014-06-18,sell,511010,0.1428571428571429
2014-06-17,2014-06-18,buy,510050,0.1428571428571429
2014-07-08,2014-07-09,sell,510050,0.14285714285714285
2014-07-08,2014-07-09,buy,510300,0.14285714285714285
2014-07-29,2014-07-30,sell,510500,0.2857142857142857
2014-07-29,2014-07-30,buy,511010,0.2857142857142857
2014-08-05,2014-08-06,sell,510300,0.5714285714285714
2014-08-05,2014-08-06,buy,510500,0.5714285714285714
2014-08-19,2014-08-20,sell,511010,0.8571428571428572
2014-08-19,2014-08-20,buy,510300,0.8571428571428572
2014-09-10,2014-09-11,sell,510300,0.4285714285714286
2014-09-10,2014-09-11,buy,510050,0.4285714285714286
2014-10-08,2014-10-09,sell,510500,0.1428571428571428
2014-10-08,2014-10-09,buy,518880,0.1428571428571428
2014-10-15,2014-10-16,sell,510050,0.5714285714285714
2014-10-15,2014-10-16,buy,510500,0.5714285714285714
2014-11-05,2014-11-06,sell,518880,0.8571428571428572
2014-11-05,2014-11-06,buy,510300,0.8571428571428572
2014-11-12,2014-11-13,sell,510500,0.28571428571428575
2014-11-12,2014-11-13,buy,510050,0.28571428571428575
2014-11-26,2014-11-27,sell,510300,0.8571428571428572
2014-11-26,2014-11-27,buy,518880,0.8571428571428572
2014-12-24,2014-12-25,sell,518880,0.2857142857142857
2014-12-24,2014-12-25,buy,511010,0.2857142857142857
2015-01-16,2015-01-19,sell,510050,0.7142857142857143
2015-01-16,2015-01-19,buy,510300,0.7142857142857143
2015-01-23,2015-01-26,sell,511010,0.42857142857142855
2015-01-23,2015-01-26,buy,518880,0.42857142857142855
2015-02-06,2015-02-09,sell,510300,0.1428571428571428
2015-02-06,2015-02-09,buy,510500,0.1428571428571428
2015-02-27,2015-03-02,sell,518880,0.7142857142857142
2015-02-27,2015-03-02,buy,510300,0.7142857142857142
2015-03-20,2015-03-23,sell,510300,0.1428571428571428
2015-03-20,2015-03-23,buy,510050,0.1428571428571428
2015-03-27,2015-03-30,sell,510500,0.2857142857142857
2015-03-27,2015-03-30,buy,510300,0.2857142857142857
2015-04-20,2015-04-21,sell,510050,0.8571428571428572
2015-04-20,2015-04-21,buy,510500,0.8571428571428572
2015-05-12,2015-05-13,sell,510300,0.7142857142857142
2015-05-12,2015-05-13,buy,510050,0.7142857142857142
2015-05-19,2015-05-20,sell,510500,0.2857142857142857
2015-05-19,2015-05-20,buy,510300,0.2857142857142857
2015-06-09,2015-06-10,sell,510050,0.2857142857142857
2015-06-09,2015-06-10,buy,510500,0.2857142857142857
2015-06-24,2015-06-25,sell,510300,0.2857142857142857
2015-06-24,2015-06-25,buy,511010,0.2857142857142857
2015-07-08,2015-07-09,sell,510500,0.42857142857142855
2015-07-08,2015-07-09,buy,518880,0.42857142857142855
2015-07-15,2015-07-16,sell,511010,0.5714285714285714
2015-07-15,2015-07-16,buy,510050,0.5714285714285714
2015-07-29,2015-07-30,sell,518880,0.7142857142857142
2015-07-29,2015-07-30,buy,510300,0.7142857142857142
2015-08-05,2015-08-06,sell,510050,0.42857142857142855
2015-08-05,2015-08-06,buy,518880,0.42857142857142855
2015-08-26,2015-08-27,sell,518880,0.5714285714285714
2015-08-26,2015-08-27,buy,511010,0.5714285714285714
2015-09-11,2015-09-14,sell,510300,0.25
2015-09-11,2015-09-14,buy,518880,0.25
2015-09-18,2015-09-21,sell,511010,0.875
2015-09-18,2015-09-21,buy,510050,0.875
2015-10-23,2015-10-26,sell,510050,0.25
2015-10-23,2015-10-26,buy,510500,0.25
2015-11-06,2015-11-09,sell,518880,0.875
2015-11-06,2015-11-09,buy,510300,0.875
2015-11-13,2015-11-16,sell,510500,0.375
2015-11-13,2015-11-16,buy,511010,0.375
2015-12-04,2015-12-07,sell,511010,0.25
2015-12-04,2015-12-07,buy,510050,0.25
2015-12-18,2015-12-21,sell,510300,0.375
2015-12-18,2015-12-21,buy,510500,0.375
2016-01-04,2016-01-05,sell,510050,0.5
2016-01-04,2016-01-05,buy,518880,0.5
2016-01-25,2016-01-26,sell,510500,0.875
2016-01-25,2016-01-26,buy,511010,0.875
2016-02-01,2016-02-02,sell,518880,0.375
2016-02-01,2016-02-02,buy,510050,0.375
2016-02-29,2016-03-01,sell,510050,0.25
2016-02-29,2016-03-01,buy,510300,0.25
2016-03-07,2016-03-08,sell,511010,0.75
2016-03-07,2016-03-08,buy,510050,0.75
2016-03-21,2016-03-22,sell,510300,0.5
2016-03-21,2016-03-22,buy,511010,0.5
2016-03-28,2016-03-29,sell,510050,0.5
2016-03-28,2016-03-29,buy,510500,0.5
2016-04-12,2016-04-13,sell,511010,0.75
2016-04-12,2016-04-13,buy,510300,0.75
2016-04-19,2016-04-20,sell,510500,0.125
2016-04-19,2016-04-20,buy,510050,0.125
2016-05-04,2016-05-05,sell,510300,0.125
2016-05-04,2016-05-05,buy,518880,0.125
2016-05-11,2016-05-12,sell,510050,0.5
2016-05-11,2016-05-12,buy,511010,0.5
2016-05-25,2016-05-26,sell,518880,0.25
2016-05-25,2016-05-26,buy,510500,0.25
2016-06-01,2016-06-02,sell,511010,0.375
2016-06-01,2016-06-02,buy,510300,0.375
2016-06-17,2016-06-20,sell,510500,0.125
2016-06-17,2016-06-20,buy,510050,0.125
2016-07-08,2016-07-11,sell,510050,0.25
2016-07-08,2016-07-11,buy,510500,0.25
2016-07-22,2016-07-25,sell,510300,0.25
2016-07-22,2016-07-25,buy,510050,0.25
2016-07-29,2016-08-01,sell,510500,0.375
2016-07-29,2016-08-01,buy,510300,0.375
2016-08-19,2016-08-22,sell,510050,0.33333333333333326
2016-08-19,2016-08-22,buy,512010,0.33333333333333326
2016-08-26,2016-08-29,sell,510300,0.16666666666666663
2016-08-26,2016-08-29,buy,159915,0.16666666666666663
2016-09-09,2016-09-12,sell,512010,0.21428571428571436
2016-09-09,2016-09-12,buy,510300,0.21428571428571436
2016-09-20,2016-09-21,sell,159915,0.7857142857142858
2016-09-20,2016-09-21,buy,511010,0.7857142857142858
2016-10-11,2016-10-12,sell,510300,0.6428571428571428
2016-10-11,2016-10-12,buy,512010,0.6428571428571428
2016-10-18,2016-10-19,sell,511010,0.42857142857142855
2016-10-18,2016-10-19,buy,510500,0.42857142857142855
2016-11-01,2016-11-02,sell,512010,0.42857142857142855
2016-11-01,2016-11-02,buy,159928,0.42857142857142855
2016-11-08,2016-11-09,sell,510500,0.2857142857142857
2016-11-08,2016-11-09,buy,510050,0.2857142857142857
2016-11-22,2016-11-23,sell,159928,0.2857142857142857
2016-11-22,2016-11-23,buy,510300,0.2857142857142857
2016-12-06,2016-12-07,sell,510050,0.6666666666666667
2016-12-06,2016-12-07,buy,511010,0.6666666666666667
2016-12-13,2016-12-14,sell,510300,0.5333333333333333
2016-12-13,2016-12-14,buy,512010,0.5333333333333333
2017-01-18,2017-01-19,sell,512010,0.4
2017-01-18,2017-01-19,buy,510050,0.4
2017-02-15,2017-02-16,sell,511010,0.1333333333333333
2017-02-15,2017-02-16,buy,510300,0.1333333333333333
2017-02-22,2017-02-23,sell,510050,0.4375
2017-02-22,2017-02-23,buy,510500,0.4375
2017-03-08,2017-03-09,sell,510300,0.375
2017-03-08,2017-03-09,buy,511010,0.375
2017-03-15,2017-03-16,sell,510500,0.25
2017-03-15,2017-03-16,buy,518880,0.25
2017-03-29,2017-03-30,sell,511010,0.8125
2017-03-29,2017-03-30,buy,512010,0.8125
2017-04-21,2017-04-24,sell,512010,0.1875
2017-04-21,2017-04-24,buy,511010,0.1875
2017-05-15,2017-05-16,sell,518880,0.1875
2017-05-15,2017-05-16,buy,512010,0.1875
2017-05-22,2017-05-23,sell,511010,0.1875
2017-05-22,2017-05-23,buy,518880,0.1875
2017-06-14,2017-06-15,sell,518880,0.1875
2017-06-14,2017-06-15,buy,159928,0.1875
2017-06-28,2017-06-29,sell,512010,0.375
2017-06-28,2017-06-29,buy,510300,0.375
2017-07-12,2017-07-13,sell,159928,0.13333333333333341
2017-07-12,2017-07-13,buy,510050,0.13333333333333341
2017-08-02,2017-08-03,sell,510300,0.1875
2017-08-02,2017-08-03,buy,511010,0.1875
2017-08-09,2017-08-10,sell,510050,0.6875
2017-08-09,2017-08-10,buy,159928,0.6875
2017-08-23,2017-08-24,sell,511010,0.5
2017-08-23,2017-08-24,buy,512660,0.5
2017-08-30,2017-08-31,sell,159928,0.25
2017-08-30,2017-08-31,buy,512880,0.25
2017-09-13,2017-09-14,sell,512660,0.8823529411764706
2017-09-13,2017-09-14,buy,510500,0.8823529411764706
2017-09-27,2017-09-28,sell,512880,0.8888888888888888
2017-09-27,2017-09-28,buy,159928,0.8888888888888888
