kind,label,start,end,n_days,shares_vs_mom12,mbr_vs_rest_shares,both_m_vs_rest_shares,c1_vs_mom12,c1_vs_ew
roll_2y,2y_2005-02-23_2007-03-21,2005-02-23,2007-03-21,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2005-05-30_2007-06-25,2005-05-30,2007-06-25,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2005-08-25_2007-09-20,2005-08-25,2007-09-20,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2005-11-29_2007-12-25,2005-11-29,2007-12-25,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2006-03-09_2008-04-01,2006-03-09,2008-04-01,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2006-06-13_2008-07-03,2006-06-13,2008-07-03,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2006-09-08_2008-10-08,2006-09-08,2008-10-08,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2006-12-13_2009-01-07,2006-12-13,2009-01-07,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2007-03-22_2009-04-14,2007-03-22,2009-04-14,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2007-06-26_2009-07-15,2007-06-26,2009-07-15,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2007-09-21_2009-10-20,2007-09-21,2009-10-20,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2007-12-26_2010-01-18,2007-12-26,2010-01-18,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2008-04-02_2010-04-23,2008-04-02,2010-04-23,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2008-07-04_2010-07-27,2008-07-04,2010-07-27,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2008-10-09_2010-11-03,2008-10-09,2010-11-03,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2009-01-08_2011-02-01,2009-01-08,2011-02-01,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2009-04-15_2011-05-11,2009-04-15,2011-05-11,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2009-07-16_2011-08-09,2009-07-16,2011-08-09,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2009-10-21_2011-11-14,2009-10-21,2011-11-14,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2010-01-19_2012-02-20,2010-01-19,2012-02-20,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2010-04-26_2012-05-24,2010-04-26,2012-05-24,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2010-07-28_2012-08-22,2010-07-28,2012-08-22,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2010-11-04_2012-11-26,2010-11-04,2012-11-26,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2011-02-09_2013-03-05,2011-02-09,2013-03-05,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2011-05-12_2013-06-07,2011-05-12,2013-06-07,504,0.0,0.0,0.0,0.0,0.0
roll_2y,2y_2011-08-10_2013-09-09,2011-08-10,2013-09-09,504,-0.004818814375823261,0.0,0.0,-0.004818814375823261,-0.0028719133633235937
roll_2y,2y_2011-11-15_2013-12-16,2011-11-15,2013-12-16,504,-0.021284585906199388,0.0,0.0,-0.021284585906199388,-0.012240450978555665
roll_2y,2y_2012-02-21_2014-03-21,2012-02-21,2014-03-21,504,-0.0796669458297407,0.0,0.0,-0.0796669458297407,-0.05210485216025267
roll_2y,2y_2012-05-25_2014-06-24,2012-05-25,2014-06-24,504,-0.08922951762857043,-0.0003439785589091464,-0.0061695078594841395,-0.10245066910117603,-0.06682196752016455
roll_2y,2y_2012-08-23_2014-09-22,2012-08-23,2014-09-22,504,-0.09920470324841046,0.006653865849839755,-0.0021475525848980354,-0.08094234229984629,-0.029484544463056594
roll_2y,2y_2012-11-27_2014-12-25,2012-11-27,2014-12-25,504,-0.11677051840038677,-0.004854018961972446,-0.019957581316944906,-0.046835892892164915,0.006239158255802171
roll_2y,2y_2013-03-06_2015-04-02,2013-03-06,2015-04-02,504,-0.11309381579547616,-0.00335386019215917,-0.018185778148165084,-0.042127797746255774,0.008774001782643315
roll_2y,2y_2013-06-13_2015-07-03,2013-06-13,2015-07-03,504,-0.1099148814721552,-0.0020618230061923513,-0.01928980026645881,-0.038703068554329235,0.011141075104540252
roll_2y,2y_2013-09-10_2015-10-09,2013-09-10,2015-10-09,504,-0.10364738244354957,0.00534222252924878,-0.01394461419807866,-0.020409133247466127,0.012558995080918612
roll_2y,2y_2013-12-17_2016-01-07,2013-12-17,2016-01-07,504,-0.0903184561295266,0.003320211822786946,-0.01709523465376608,-0.0026065355697359183,0.0233287046759765
roll_2y,2y_2014-03-24_2016-04-13,2014-03-24,2016-04-13,504,-0.030197256479867873,0.005848767894690887,-0.012059998283183996,0.05658492192693638,0.060753545469100896
roll_2y,2y_2014-06-25_2016-07-14,2014-06-25,2016-07-14,504,-0.010298384290249547,-0.01161425457558626,-0.004621114155267572,0.07825350774683568,0.066843984572241
