factor,characteristic,mean_cs_spearman,n_days
MARGIN_BUY_RATIO,log_amount,0.177109001672477,1590
MARGIN_BUY_RATIO,log_aum,0.32195821699496074,1590
MARGIN_BUY_RATIO,turnover_proxy,-0.24392211817400095,1590
MARGIN_BUY_RATIO,vol_20d,0.2230575640191842,1590
MARGIN_BUY_RATIO,amihud,-0.0971656741868657,1590
MARGIN_BUY_RATIO,listing_age_days,-0.04136432260952389,1590
MARGIN_BUY_RATIO,rank_ic_fwd_5d,-0.020007546308152654,1585
MARGIN_BUY_RATIO,resid_rank_ic_fwd_5d_ctrl_liq_vol_age,-0.00687563195401554,1425
MARGIN_CHG_10D,log_amount,0.0018778352529005065,1590
MARGIN_CHG_10D,log_aum,-0.030154274660003238,1590
MARGIN_CHG_10D,turnover_proxy,0.12209857539797035,1590
MARGIN_CHG_10D,vol_20d,0.005532879613674689,1590
MARGIN_CHG_10D,amihud,0.0006843192710488059,1590
MARGIN_CHG_10D,listing_age_days,-0.05273221452868326,1590
MARGIN_CHG_10D,rank_ic_fwd_5d,-0.02673031015529601,1585
MARGIN_CHG_10D,resid_rank_ic_fwd_5d_ctrl_liq_vol_age,-0.007530252688619582,1425
