name,start,end,type,trough_dd
DD_2018-09-20_2019-04-12,2018-09-20,2019-04-12,drawdown,-0.1934893009751255
DD_2020-02-19_2020-08-07,2020-02-19,2020-08-07,drawdown,-0.33717251235755286
DD_2022-01-03_2023-12-13,2022-01-03,2023-12-13,drawdown,-0.24496392197775063
DD_2025-02-19_2025-06-26,2025-02-19,2025-06-26,drawdown,-0.18755229425221787
HIVOL_2015-08-26_2015-09-24,2015-08-26,2015-09-24,high_vol,-0.09793474558097603
HIVOL_2018-02-09_2018-03-06,2018-02-09,2018-03-06,high_vol,-0.08751461046286235
HIVOL_2018-12-26_2019-01-24,2018-12-26,2019-01-24,high_vol,-0.15952057942802733
HIVOL_2020-02-27_2020-05-20,2020-02-27,2020-05-20,high_vol,-0.33717251235755286
HIVOL_2020-06-11_2020-07-10,2020-06-11,2020-07-10,high_vol,-0.10629044041503843
HIVOL_2022-04-29_2022-07-13,2022-04-29,2022-07-13,high_vol,-0.23009981890548525
HIVOL_2022-10-13_2022-12-09,2022-10-13,2022-12-09,high_vol,-0.2426982206868149
HIVOL_2025-04-03_2025-05-09,2025-04-03,2025-05-09,high_vol,-0.18755229425221787
