window,type,start,end,strategy,crisis_return,max_drawdown,downside_capture,recovery_days_from_trough
DD_2018-09-20_2019-04-12,drawdown,2018-09-20,2019-04-12,SPY,0.011149743386529742,-0.19348930097512562,1.0,101.0
DD_2018-09-20_2019-04-12,drawdown,2018-09-20,2019-04-12,EW,0.0223923569891884,-0.1863288930815039,0.9132441396745579,98.0
DD_2018-09-20_2019-04-12,drawdown,2018-09-20,2019-04-12,LOW_MAX,-0.002372366457328745,-0.16957613985682596,0.6437008581053298,
DD_2018-09-20_2019-04-12,drawdown,2018-09-20,2019-04-12,EXCLUDE_20,0.022090762657429375,-0.17370237321720583,0.8254749061696646,98.0
DD_2020-02-19_2020-08-07,drawdown,2020-02-19,2020-08-07,SPY,0.0038258337387448993,-0.3371725123575531,1.0,136.0
DD_2020-02-19_2020-08-07,drawdown,2020-02-19,2020-08-07,EW,-0.06374767344769228,-0.392712934899736,1.1843847152005185,
DD_2020-02-19_2020-08-07,drawdown,2020-02-19,2020-08-07,LOW_MAX,0.006753470583230392,-0.3286596672950317,0.796636448923048,134.0
DD_2020-02-19_2020-08-07,drawdown,2020-02-19,2020-08-07,EXCLUDE_20,-0.07833939530644995,-0.38623471484996597,1.1075286461590053,
DD_2022-01-03_2023-12-13,drawdown,2022-01-03,2023-12-13,SPY,0.017854227227659836,-0.24496392197775085,1.0,426.0
DD_2022-01-03_2023-12-13,drawdown,2022-01-03,2023-12-13,EW,0.014343290214538174,-0.20824226913961452,0.9204808806024463,439.0
DD_2022-01-03_2023-12-13,drawdown,2022-01-03,2023-12-13,LOW_MAX,-0.026999632266405893,-0.15486675534136451,0.5487703544099308,159.0
DD_2022-01-03_2023-12-13,drawdown,2022-01-03,2023-12-13,EXCLUDE_20,-0.005500734794382511,-0.1932927041697612,0.8388145812144001,
DD_2025-02-19_2025-06-26,drawdown,2025-02-19,2025-06-26,SPY,0.006598666804738196,-0.18755229425221798,1.0,79.0
DD_2025-02-19_2025-06-26,drawdown,2025-02-19,2025-06-26,EW,0.0016513712354224719,-0.16140488382194185,0.8477416637434634,77.0
DD_2025-02-19_2025-06-26,drawdown,2025-02-19,2025-06-26,LOW_MAX,-0.1372002335964051,-0.1759509506297544,0.7626383270807292,
DD_2025-02-19_2025-06-26,drawdown,2025-02-19,2025-06-26,EXCLUDE_20,-0.016536205042621654,-0.14437745494304144,0.7597374957360745,
HIVOL_2015-08-26_2015-09-24,high_vol,2015-08-26,2015-09-24,SPY,0.035418247229065836,-0.037685547201459335,1.0,0.0
HIVOL_2015-08-26_2015-09-24,high_vol,2015-08-26,2015-09-24,EW,0.026655138930001376,-0.03684198070983369,1.0238864649199082,0.0
HIVOL_2015-08-26_2015-09-24,high_vol,2015-08-26,2015-09-24,LOW_MAX,0.04680774062100723,-0.03376197597109065,0.771640154059522,0.0
HIVOL_2015-08-26_2015-09-24,high_vol,2015-08-26,2015-09-24,EXCLUDE_20,0.02971662329545044,-0.03621988568094758,0.9643843620647548,0.0
HIVOL_2018-02-09_2018-03-06,high_vol,2018-02-09,2018-03-06,SPY,0.05919359312054384,-0.03670384062834009,1.0,0.0
HIVOL_2018-02-09_2018-03-06,high_vol,2018-02-09,2018-03-06,EW,0.05295410614783114,-0.03361266783525674,0.9609331773796719,0.0
HIVOL_2018-02-09_2018-03-06,high_vol,2018-02-09,2018-03-06,LOW_MAX,0.04078212878954779,-0.03772951087174403,1.176867859650516,0.0
HIVOL_2018-02-09_2018-03-06,high_vol,2018-02-09,2018-03-06,EXCLUDE_20,0.04822667578091955,-0.03480027882481229,1.011831653879859,0.0
HIVOL_2018-12-26_2019-01-24,high_vol,2018-12-26,2019-01-24,SPY,0.12464796503189679,-0.02386294016654411,1.0,0.0
HIVOL_2018-12-26_2019-01-24,high_vol,2018-12-26,2019-01-24,EW,0.1266592389320036,-0.021732825861922933,0.9037263256306904,0.0
HIVOL_2018-12-26_2019-01-24,high_vol,2018-12-26,2019-01-24,LOW_MAX,0.10276652251875551,-0.011407709352293516,0.2533051298135845,0.0
HIVOL_2018-12-26_2019-01-24,high_vol,2018-12-26,2019-01-24,EXCLUDE_20,0.11750222275868949,-0.020852279696268683,0.7595882558740552,0.0
HIVOL_2020-02-27_2020-05-20,high_vol,2020-02-27,2020-05-20,SPY,-0.041168664407946975,-0.2831904360862989,1.0,
HIVOL_2020-02-27_2020-05-20,high_vol,2020-02-27,2020-05-20,EW,-0.10460583071603435,-0.3400942968223545,1.1862193238814054,
HIVOL_2020-02-27_2020-05-20,high_vol,2020-02-27,2020-05-20,LOW_MAX,-0.030646420701519128,-0.3014241594647895,0.881690747071068,
