date,turnover,cost,holdings,leverage
2015-01-30,0.0,0.0,0,1.3746666590372723
2015-02-27,0.0,0.0,0,1.5
2015-03-31,0.0,0.0,0,1.5
2015-04-30,0.0,0.0,0,1.5
2015-05-29,0.0,0.0,0,1.5
2015-06-30,0.0,0.0,0,1.3716666539510092
2015-07-31,0.0,0.0,0,1.5
2015-08-31,0.0,0.0,0,1.1316666920979817
2015-09-30,0.0,0.0,0,1.105666669209798
2015-10-30,0.0,0.0,0,1.5
2015-11-30,0.0,0.0,0,1.4960000038146972
2015-12-31,0.0,0.0,0,1.4236666361490886
2016-01-29,0.0,0.0,0,1.2526666641235351
2016-02-29,0.0,0.0,0,1.3396666844685872
2016-03-31,0.0,0.0,0,1.5
2016-04-29,0.0,0.0,0,1.4926666577657064
2016-05-31,0.0,0.0,0,1.5
2016-06-30,0.0,0.0,0,1.4453333536783854
2016-07-29,0.0,0.0,0,1.5
2016-08-31,0.0,0.0,0,1.5
2016-09-30,0.0,0.0,0,1.5
2016-10-31,0.0,0.0,0,1.4603333155314127
2016-11-30,0.0,0.0,0,1.5
2016-12-30,0.0,0.0,0,1.5
2017-01-31,0.0,0.0,0,1.5
2017-02-28,0.0,0.0,0,1.5
2017-03-31,0.0,0.0,0,1.5
2017-04-28,0.0,0.0,0,1.5
2017-05-31,0.0,0.0,0,1.5
2017-06-30,0.0,0.0,0,1.5
2017-07-31,0.0,0.0,0,1.5
2017-08-31,0.0,0.0,0,1.5
2017-09-29,0.0,0.0,0,1.5
2017-10-31,0.0,0.0,0,1.5
2017-11-30,0.0,0.0,0,1.5
2017-12-29,0.0,0.0,0,1.5
2018-01-31,0.0,0.0,0,1.5
2018-02-28,0.0,0.0,0,1.3803333282470702
2018-03-29,0.0,0.0,0,1.23766663869222
2018-04-30,0.0,0.0,0,1.4863333384195963
2018-05-31,0.0,0.0,0,1.5
2018-06-29,0.0,0.0,0,1.4383333206176758
2018-07-31,0.0,0.0,0,1.5
2018-08-31,0.0,0.0,0,1.5
2018-09-28,0.0,0.0,0,1.5
2018-10-31,0.0,0.0,0,1.221666653951009
2018-11-30,0.0,0.0,0,1.3736666361490886
2018-12-31,0.0,0.0,0,1.0553333282470703
2019-01-31,0.0,0.0,0,1.4113333384195963
2019-02-28,0.0,0.0,0,1.5
2019-03-29,0.0,0.0,0,1.5
2019-04-30,0.0,0.0,0,1.5
2019-05-31,0.0,0.0,0,1.4233333587646484
2019-06-28,0.0,0.0,0,1.4726666768391927
2019-07-31,0.0,0.0,0,1.5
2019-08-30,0.0,0.0,0,1.4040000279744467
2019-09-30,0.0,0.0,0,1.4260000228881835
2019-10-31,0.0,0.0,0,1.5
2019-11-29,0.0,0.0,0,1.5
2019-12-31,0.0,0.0,0,1.5
2020-01-31,0.0,0.0,0,1.4836666742960611
