date,gross_return,cost,net_return,equity,exposure,hedge_weight
2015-01-02,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-05,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-06,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-07,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-08,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-09,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-12,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-13,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-14,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-15,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-16,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-20,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-21,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-22,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-23,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-26,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-27,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-28,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-29,0.0,0.0,0.0,1.0,0.0,0.0
2015-01-30,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-02,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-03,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-04,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-05,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-06,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-09,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-10,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-11,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-12,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-13,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-17,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-18,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-19,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-20,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-23,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-24,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-25,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-26,0.0,0.0,0.0,1.0,0.0,0.0
2015-02-27,0.0,0.002,-0.002,0.998,1.0,0.0
2015-03-02,0.006063467661298554,0.0,0.006063467661298554,1.004051340725976,1.0,0.0
2015-03-03,-0.004236273036623373,0.0,-0.004236273036623373,0.9997979051038729,1.0,0.0
2015-03-04,-0.005346417311345211,0.0,-0.005346417311345211,0.9944525682761789,1.0,0.0
2015-03-05,0.004346315270204704,0.0,0.004346315270204704,0.998774772659172,1.0,0.0
2015-03-06,-0.016093876181548096,0.0,-0.016093876181548096,0.9827006151347415,1.0,0.0
2015-03-09,0.004473703778405054,0.0,0.004473703778405054,0.9870969265897107,1.0,0.0
2015-03-10,-0.010889784212181623,0.0,-0.010889784212181623,0.976347654062641,1.0,0.0
2015-03-11,0.0015567639082904572,0.0,0.0015567639082904572,0.9778675968524299,1.0,0.0
2015-03-12,0.012012444469654946,0.0,0.012012444469654946,0.9896141770582947,1.0,0.0
2015-03-13,-0.004276324745859256,0.0,-0.004276324745859256,0.9853822654640871,1.0,0.0
2015-03-16,0.0142005029738689,0.0,0.0142005029738689,0.9993751892552076,1.0,0.0
2015-03-17,-0.0023381696613787154,0.0,-0.0023381696613787154,0.9970384805073566,1.0,0.0
2015-03-18,0.011922097292719029,0.0,0.011922097292719029,1.0089252702765499,1.0,0.0
2015-03-19,-0.0018346892567499217,0.0,-0.0018346892567499217,1.00707420592231,1.0,0.0
2015-03-20,0.012812982102424628,0.0,0.012812982102424628,1.019977829698606,1.0,0.0
2015-03-23,-0.00014574331537930496,0.0,-0.00014574331537930496,1.0198291747480923,1.0,0.0
2015-03-24,-0.007504898275325673,0.0,-0.007504898275325673,1.0121754605333986,1.0,0.0
2015-03-25,-0.013459638771539382,0.0,-0.013459638771539382,0.9985519444612025,1.0,0.0
2015-03-26,-0.0023057659797418853,0.0,-0.0023057659797418853,0.9962495173586589,1.0,0.0
2015-03-27,0.004451637680927764,0.0,0.004451637680927764,1.0006844592497388,1.0,0.0
2015-03-30,0.01249029493500045,0.0,0.01249029493500045,1.0131833032826396,1.0,0.0
2015-03-31,-0.006897576058680945,0.00352,-0.010417576058680945,1.002628389159307,1.0,0.0
2015-04-01,-0.0017526688731916277,0.0,-0.0017526688731916277,1.0008711135902493,1.0,0.0
2015-04-02,0.005981005988077932,0.0,0.005981005988077932,1.0068573297139267,1.0,0.0
2015-04-06,0.005893598504961474,0.0,0.005893598504961474,1.0127913425670383,1.0,0.0
2015-04-07,-0.0005363070676881511,0.0,-0.0005363070676881511,1.0122481754119261,1.0,0.0
2015-04-08,0.001588610437663358,0.0,0.001588610437663358,1.0138562434288914,1.0,0.0
2015-04-09,0.0043857730574087305,0.0,0.0043857730574087305,1.0183027868254075,1.0,0.0
2015-04-10,0.0021279937352103274,0.0,0.0021279937352103274,1.0204697287763191,1.0,0.0
2015-04-13,-0.005042958068282189,0.0,-0.005042958068282189,1.015323542724149,1.0,0.0
2015-04-14,0.001277898579147836,0.0,0.001277898579147836,1.0166210232367714,1.0,0.0
2015-04-15,0.0032722074433789005,0.0,0.0032722074433789005,1.0199476181161022,1.0,0.0
2015-04-16,0.0017245916695180655,0.0,0.0017245916695180655,1.0217066112816502,1.0,0.0
2015-04-17,-0.00771591002456741,0.0,-0.00771591002456741,1.0138232149974953,1.0,0.0
2015-04-20,0.008769260969108865,0.0,0.008769260969108865,1.0227136953463491,1.0,0.0
2015-04-21,-0.00011060172109424136,0.0,-0.00011060172109424136,1.0226005814514572,1.0,0.0
2015-04-22,0.002584912659875762,0.0,0.002584912659875762,1.0252439146404475,1.0,0.0
2015-04-23,0.0045142544318482,0.0,0.0045142544318482,1.0298721265258386,1.0,0.0
2015-04-24,-0.00112629815624282,0.0,-0.00112629815624282,1.0287121834485666,1.0,0.0
2015-04-27,-0.006641224396659546,0.0,-0.006641224396659546,1.021880274998707,1.0,0.0
2015-04-28,0.003830697410517616,0.0,0.003830697410517616,1.0257947891220036,1.0,0.0
2015-04-29,-0.005106877412511434,0.0,-0.005106877412511434,1.0205561808835644,1.0,0.0
2015-04-30,-0.01876063987817519,0.0036800000000000005,-0.02244063987817519,0.9976542471529104,1.0,0.0
2015-05-01,0.008613160729638962,0.0,0.008613160729638962,1.0062472035362453,1.0,0.0
2015-05-04,0.002162435923146547,0.0,0.002162435923146547,1.0084231486367377,1.0,0.0
2015-05-05,-0.007701700240504436,0.0,-0.007701700240504436,1.0006565758303518,1.0,0.0
2015-05-06,-0.0010697661888234445,0.0,-0.0010697661888234445,0.9995861072589046,1.0,0.0
2015-05-07,0.006844205701862882,0.0,0.006844205701862882,1.006427480193709,1.0,0.0
2015-05-08,0.010427293044318482,0.0,0.010427293044318482,1.016921794457544,1.0,0.0
2015-05-11,-0.0045391905043111035,0.0,-0.0045391905043111035,1.0123057927045154,1.0,0.0
2015-05-12,-0.0006870387971968173,0.0,-0.0006870387971968173,1.0116102993503002,1.0,0.0
2015-05-13,-0.00030611229523346516,0.0,-0.00030611229523346516,1.0113006329996843,1.0,0.0
2015-05-14,0.011669664912228449,0.0,0.011669664912228449,1.0231021725123153,1.0,0.0
2015-05-15,0.004775792898817351,0.0,0.004775792898817351,1.0279882966025642,1.0,0.0
2015-05-18,0.0027892175080486445,0.0,0.0027892175080486445,1.0308555795575172,1.0,0.0
2015-05-19,0.0025720259136621016,0.0,0.0025720259136621016,1.0335069668213823,1.0,0.0
2015-05-20,8.921924660946871e-05,0.0,8.921924660946871e-05,1.033599175534328,1.0,0.0
2015-05-21,-0.0029912888535275073,0.0,-0.0029912888535275073,1.030507381841537,1.0,0.0
2015-05-22,-0.0027638012905818153,0.0,-0.0027638012905818153,1.0276592642096491,1.0,0.0
2015-05-26,-0.009210423619014741,0.0,-0.009210423619014741,1.0181940870502733,1.0,0.0
2015-05-27,0.006256779420541494,0.0,0.006256779420541494,1.0245647028602465,1.0,0.0
2015-05-28,-0.0003655967891379141,0.0,-0.0003655967891379141,1.0241901252946166,1.0,0.0
2015-05-29,-0.008826539880228204,0.0030399999999999997,-0.011866539880228203,1.0120365323278722,1.0,0.0
2015-06-01,-0.000660095758527497,0.0,-0.000660095758527497,1.0113684913054075,1.0,0.0
2015-06-02,-0.000291242968511321,0.0,-0.000291242968511321,1.011073937343741,1.0,0.0
2015-06-03,0.0006167748246554081,0.0,0.0006167748246554081,1.0116975422941599,1.0,0.0
2015-06-04,-0.007725688113265439,0.0,-0.007725688113265439,1.003881482617438,1.0,0.0
2015-06-05,-0.0035815657492298137,0.0,-0.0035815657492298137,1.0002860150830093,1.0,0.0
2015-06-08,-0.003938599856731124,0.0,-0.003938599856731124,0.9963462887273131,1.0,0.0
2015-06-09,0.0013397981740251332,0.0,0.0013397981740251332,0.9976811916656466,1.0,0.0
2015-06-10,0.009083285299266958,0.0,0.009083285299266958,1.0067434145672585,1.0,0.0
2015-06-11,0.0030518687247645376,0.0,0.0030518687247645376,1.009815863308039,1.0,0.0
2015-06-12,-0.006867778280430489,0.0,-0.006867778280430489,1.0028806718547778,1.0,0.0
2015-06-15,-0.00419567746636802,0.0,-0.00419567746636802,0.9986729080184207,1.0,0.0
2015-06-16,0.004990680596726155,0.0,0.004990680596726155,1.0036569655229444,1.0,0.0
2015-06-17,0.002775463396943425,0.0,0.002775463396943425,1.0064425786938407,1.0,0.0
2015-06-18,0.009516901694477537,0.0,0.009516901694477537,1.0160207937764065,1.0,0.0
2015-06-19,-0.00645705857346306,0.0,-0.00645705857346306,1.009460287999136,1.0,0.0
2015-06-22,0.003385923446148578,0.0,0.003385923446148578,1.0128782432562282,1.0,0.0
2015-06-23,-0.001463148117726214,0.0,-0.001463148117726214,1.011396252361122,1.0,0.0
2015-06-24,-0.005637663375498083,0.0,-0.005637663375498083,1.0056943407510697,1.0,0.0
2015-06-25,-0.0040400474617643,0.0,-0.0040400474617643,1.0016312878824076,1.0,0.0
2015-06-26,0.0033567608876608943,0.0,0.0033567608876608943,1.0049935246134285,1.0,0.0
2015-06-29,-0.013885984953941992,0.0,-0.013885984953941992,0.9910381996518373,1.0,0.0
2015-06-30,0.0010865767724014086,0.0036800000000000005,-0.002593423227598592,0.9884680181654227,1.0,0.0
2015-07-01,0.006069149827763223,0.0,0.006069149827763223,0.9944671786676208,1.0,0.0
2015-07-02,-0.0008902707287444222,0.0,-0.0008902707287444222,0.993581833647756,1.0,0.0
2015-07-06,-0.004635106475281812,0.0,-0.004635106475281812,0.988976476056893,1.0,0.0
2015-07-07,0.00894344679677309,0.0,0.00894344679677309,0.9978213345537679,1.0,0.0
2015-07-08,-0.014764748671088679,0.0,-0.014764748671088679,0.9830887533304312,1.0,0.0
2015-07-09,0.0007059753108975908,0.0,0.0007059753108975908,0.9837827897187036,1.0,0.0
2015-07-10,0.008398325529825806,0.0,0.008398325529825806,0.9920449178374016,1.0,0.0
2015-07-13,0.005909051368245547,0.0,0.005909051368245547,0.9979069622165098,1.0,0.0
2015-07-14,0.010041815743168252,0.0,0.010041815743168252,1.0079277600599128,1.0,0.0
2015-07-15,-0.0037969377507585693,0.0,-0.0037969377507585693,1.0041007210977038,1.0,0.0
2015-07-16,0.008396553495766419,0.0,0.008396553495766419,1.0125317065175383,1.0,0.0
2015-07-17,-0.0023104457133864597,0.0,-0.0023104457133864597,1.010192306976547,1.0,0.0
2015-07-20,-0.0019272037782302443,0.0,-0.0019272037782302443,1.0082454605458029,1.0,0.0
2015-07-21,-0.00504952253685941,0.0,-0.00504952253685941,1.0031543023700906,1.0,0.0
2015-07-22,-0.002512606270740427,0.0,-0.002512606270740427,1.0006337705794353,1.0,0.0
2015-07-23,-0.00343892396730396,0.0,-0.00343892396730396,0.9971926671232959,1.0,0.0
2015-07-24,-0.010654275496637831,0.0,-0.010654275496637831,0.9865683017245374,1.0,0.0
2015-07-27,-0.004558349792528391,0.0,-0.004558349792528391,0.9820711783110563,1.0,0.0
2015-07-28,0.01200158785835672,0.0,0.01200158785835672,0.9938575918407164,1.0,0.0
2015-07-29,0.008980259418087897,0.0,0.008980259418087897,1.002782690840082,1.0,0.0
2015-07-30,-0.0018682872980407784,0.0,-0.0018682872980407784,1.0009092046760903,1.0,0.0
2015-07-31,0.001940374815590622,0.0036800000000000005,-0.0017396251844093785,0.9991679978163286,1.0,0.0
2015-08-03,0.0007055856201034152,0.0,0.0007055856201034152,0.9998729963876554,1.0,0.0
2015-08-04,0.0006994518454951981,0.0,0.0006994518454951981,1.0005723594002396,1.0,0.0
2015-08-05,0.005095231305583901,0.0,0.005095231305583901,1.0056705070093577,1.0,0.0
2015-08-06,-0.005879254878588939,0.0,-0.005879254878588939,0.9997579137747699,1.0,0.0
2015-08-07,0.0022550680900756868,0.0,0.0022550680900756868,1.002012435943924,1.0,0.0
2015-08-10,0.010000479718383536,0.0,0.010000479718383536,1.0120330409871492,1.0,0.0
2015-08-11,-0.007640579387300859,0.0,-0.007640579387300859,1.0043005221949153,1.0,0.0
2015-08-12,0.0016768669775156383,0.0,0.0016768669775156383,1.0059846005760855,1.0,0.0
2015-08-13,-0.0021686341511359467,0.0,-0.0021686341511359467,1.0038029880157593,1.0,0.0
2015-08-14,0.009234827509194226,0.0,0.009234827509194226,1.0130729354632986,1.0,0.0
2015-08-17,0.005936455251637853,0.0,0.005936455251637853,1.019086997611322,1.0,0.0
2015-08-18,-0.000989551030646223,0.0,-0.000989551030646223,1.0180785590225174,1.0,0.0
2015-08-19,-0.008566449660319005,0.0,-0.008566449660319005,1.0093572402964008,1.0,0.0
2015-08-20,-0.013787926551889757,0.0,-0.013787926551889757,0.995440296802576,1.0,0.0
2015-08-21,-0.025592116436984683,0.0,-0.025592116436984683,0.9699648728207378,1.0,0.0
2015-08-24,-0.04147920171254002,0.0,-0.04147920171254002,0.9297315042069282,1.0,0.0
2015-08-25,-0.016796250630864297,0.0,-0.016796250630864297,0.9141155008428581,1.0,0.0
2015-08-26,0.028184770042982782,0.0,0.028184770042982782,0.93987963602684,1.0,0.0
2015-08-27,0.021265032921161362,0.0,0.021265032921161362,0.95986620742888,1.0,0.0
2015-08-28,0.00085588986988244,0.0,0.00085588986988244,0.9606877471922609,1.0,0.0
2015-08-31,-0.010348914147153346,0.0030399999999999997,-0.013388914147153345,0.9478251814228815,1.0,0.0
2015-09-01,-0.02394177999714631,0.0,-0.02394177999714631,0.9251325594534996,1.0,0.0
2015-09-02,0.01074085670898223,0.0,0.01074085670898223,0.9350692757114035,1.0,0.0
2015-09-03,0.004636198441676718,0.0,0.004636198441676718,0.9394044424303165,1.0,0.0
2015-09-04,-0.014332173506940276,0.0,-0.014332173506940276,0.9259407349682147,1.0,0.0
2015-09-08,0.020484483755554228,0.0,0.020484483755554228,0.944908152912277,1.0,0.0
2015-09-09,-0.011124340242548807,0.0,-0.011124340242548807,0.9343966731213225,1.0,0.0
2015-09-10,0.0018956601762336375,0.0,0.0018956601762336375,0.9361679716833637,1.0,0.0
2015-09-11,0.0017553227403008043,0.0,0.0017553227403008043,0.9378112486128009,1.0,0.0
2015-09-14,-0.0018738833966940004,0.0,-0.0018738833966940004,0.9360538996847925,1.0,0.0
