date,symbol,event,reason,delisting_return_status
2015-01-27,COV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-01-27,SWY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-12,PETM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-18,CFN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-23,AGN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-23,AVP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-23,DNR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-03-23,NBR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-04-07,WIN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-06-11,LO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-01,QEP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-01,TEG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-02,ATI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-06,KRFT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-08,FDO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-20,NE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-07-29,DTV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-08-28,PLL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-09-02,HSP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-10-07,JOY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-11-02,HCBK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-11-18,GNW,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-11-19,SIAL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-12-01,CSC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-12-15,CMCSK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2015-12-29,ALTR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-01-05,FOSL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-01-19,ACE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-02-01,BRCM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-02-01,PCP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-02-22,PCL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-03-04,CNX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-03-07,GMCR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-03-30,ESV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-03-30,POM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-04-04,CAM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-04-18,THC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-04-25,GME,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-05-03,ADT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-05-13,SNDK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-05-18,TWC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-05-23,ARG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-05-31,CCE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-06-03,BXLT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-06-22,CVC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-07-01,GAS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-07-01,TE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-07-05,CPGX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-09-06,TYC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-09-08,EMC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-09-22,HOT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-09-30,DO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-11-01,AA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-12-02,LM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2016-12-02,OI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-01-05,STJ,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-02-28,SE,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-01,PBI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-02,ENDP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-13,LLTC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-16,HAR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-20,FSLR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-20,FTR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-03-20,URBN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-04-04,SWN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-04-05,DNB,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-06-02,TGNA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-06-19,MJN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-06-19,R,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-06-19,TDC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-06-19,YHOO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-07,BHI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-26,BBBY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-26,MNK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-26,MUR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-26,RAI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-07-26,RIG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-08-08,AN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-08-29,WFM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-09-01,DD,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-09-01,DOW,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-09-18,SPLS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-10-13,LVLT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2017-11-15,Q,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-01-03,BCR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-03-07,SNI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-03-19,CHK,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-03-19,PDCO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-03-19,SIG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-04-04,CSRA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-05-31,WYN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-06-05,NAVI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-06-07,MON,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-06-18,AYI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-06-18,RRC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-06-20,TWX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-07-02,DPS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-08-28,GGP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-09-14,XL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-10-01,ANDV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-10-11,EVHC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-11-06,CA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-11-13,EQT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-12-03,AET,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-12-03,COL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-12-03,SRCL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2018-12-24,ESRX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-01-02,SCG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-01-18,PCG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-02-15,NFX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-02-27,GT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-03-19,FOX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-03-19,FOXA,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-04-02,BHF,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-06-03,DWDP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-06-03,FLR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-06-07,MAT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-06-11,BMS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-07-01,LLL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-07-15,RHT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-08-09,APC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-08-09,FL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-09-23,TSS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-09-26,JEF,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-10-03,NKTR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-11-21,CELG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-12-05,VIAB,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-12-09,STI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-12-23,AMG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-12-23,MAC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2019-12-23,TRIP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-01-28,WCG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-03-02,XEC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-04-01,ARNC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-04-06,M,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-04-06,RTN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-05-12,AGN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-05-12,CPRI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-05-22,HP,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-06-22,ADS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-06-22,HOG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-06-22,JWN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-09-21,COTY,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-09-21,HRB,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-09-21,KSS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-10-07,ETFC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-10-12,NBL,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2020-12-21,AIV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-01-07,TIF,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-01-21,CXO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-02-12,FTI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-03-22,FLS,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-03-22,SLG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-03-22,VNT,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-03-22,XRX,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-04-20,VAR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-05-14,FLIR,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-06-04,HFC,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-07-21,ALXN,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-08-30,MXIM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-09-20,NOV,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-09-20,PRGO,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-09-20,UNM,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-12-14,KSU,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-12-20,HBI,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
2021-12-20,LEG,INDEX_EXIT,removed_from_sp500,UNAVAILABLE
