signal_date,execution_date,symbol,factor,weight,beta
2015-02-27,2015-03-02,MRK,0.007940430149791355,0.04,
2015-02-27,2015-03-02,GIS,0.0087209165255834,0.04,
2015-02-27,2015-03-02,CCI,0.008844210949651243,0.04,
2015-02-27,2015-03-02,PLD,0.008875728294968788,0.04,
2015-02-27,2015-03-02,PG,0.009067806025902047,0.04,
2015-02-27,2015-03-02,PSA,0.009190202058866604,0.04,
2015-02-27,2015-03-02,UPS,0.009365263679936087,0.04,
2015-02-27,2015-03-02,BF-B,0.009558485069802548,0.04,
2015-02-27,2015-03-02,PGR,0.009721131755843881,0.04,
2015-02-27,2015-03-02,WAT,0.009819268273793025,0.04,
2015-02-27,2015-03-02,DOC,0.009936554645230845,0.04,
2015-02-27,2015-03-02,KMB,0.010006116504481532,0.04,
2015-02-27,2015-03-02,HIG,0.010141800544659097,0.04,
2015-02-27,2015-03-02,PNW,0.010266463068954668,0.04,
2015-02-27,2015-03-02,WMT,0.010325886025512298,0.04,
2015-02-27,2015-03-02,MRSH,0.010552511973688094,0.04,
2015-02-27,2015-03-02,DVA,0.010883301001748568,0.04,
2015-02-27,2015-03-02,MMM,0.010983394449845817,0.04,
2015-02-27,2015-03-02,KR,0.011024795914872687,0.04,
2015-02-27,2015-03-02,FAST,0.011181270698167189,0.04,
2015-02-27,2015-03-02,AEP,0.011389052347086892,0.04,
2015-02-27,2015-03-02,CB,0.011457782762700841,0.04,
2015-02-27,2015-03-02,SPG,0.011555336253352654,0.04,
2015-02-27,2015-03-02,WY,0.011677509082042592,0.04,
2015-02-27,2015-03-02,TRV,0.01168308941433498,0.04,
2015-03-31,2015-04-01,MO,0.007340866680291836,0.04,
2015-03-31,2015-04-01,PM,0.0077664766244109895,0.04,
2015-03-31,2015-04-01,EFX,0.007956430917289214,0.04,
2015-03-31,2015-04-01,BAX,0.008358676991932911,0.04,
2015-03-31,2015-04-01,HPQ,0.008584287712824424,0.04,
2015-03-31,2015-04-01,ADSK,0.00872314165707926,0.04,
2015-03-31,2015-04-01,LIN,0.008834248407350077,0.04,
2015-03-31,2015-04-01,UPS,0.008850184520945747,0.04,
2015-03-31,2015-04-01,SYY,0.008858756326510963,0.04,
2015-03-31,2015-04-01,ECL,0.009034019126142923,0.04,
2015-03-31,2015-04-01,RSG,0.009876132611042721,0.04,
2015-03-31,2015-04-01,CCI,0.009968717490005474,0.04,
2015-03-31,2015-04-01,CVS,0.01006634882575499,0.04,
2015-03-31,2015-04-01,NSC,0.01039985614797274,0.04,
2015-03-31,2015-04-01,APD,0.010459507228204457,0.04,
2015-03-31,2015-04-01,CMG,0.010612172208864701,0.04,
2015-03-31,2015-04-01,KO,0.010634627391085427,0.04,
2015-03-31,2015-04-01,ROST,0.010788315995915098,0.04,
2015-03-31,2015-04-01,DE,0.011111670004138619,0.04,
2015-03-31,2015-04-01,CL,0.011201818363484595,0.04,
2015-03-31,2015-04-01,WDC,0.011253007440079888,0.04,
2015-03-31,2015-04-01,FITB,0.011256587181675793,0.04,
2015-03-31,2015-04-01,MOS,0.011267321782960948,0.04,
2015-03-31,2015-04-01,GE,0.011372378514295489,0.04,
2015-03-31,2015-04-01,WM,0.011413563895431845,0.04,
2015-04-30,2015-05-01,CLX,0.004675837989315257,0.04,
2015-04-30,2015-05-01,GIS,0.005021906224807448,0.04,
2015-04-30,2015-05-01,PG,0.005263836660599619,0.04,
2015-04-30,2015-05-01,MOS,0.005468804930671078,0.04,
2015-04-30,2015-05-01,DHR,0.005713371753233077,0.04,
2015-04-30,2015-05-01,CL,0.00581927369377686,0.04,
2015-04-30,2015-05-01,SHW,0.005841682805041737,0.04,
2015-04-30,2015-05-01,PAYX,0.005911832050462617,0.04,
2015-04-30,2015-05-01,WM,0.006047360659098144,0.04,
2015-04-30,2015-05-01,CB,0.006146874523567947,0.04,
2015-04-30,2015-05-01,ICE,0.006179416494231926,0.04,
2015-04-30,2015-05-01,AFL,0.006259351283726433,0.04,
2015-04-30,2015-05-01,BEN,0.006275913726285909,0.04,
2015-04-30,2015-05-01,SYY,0.006277402078835648,0.04,
2015-04-30,2015-05-01,PPG,0.006286236903813735,0.04,
2015-04-30,2015-05-01,BRK-B,0.006343615290738703,0.04,
2015-04-30,2015-05-01,JCI,0.006389830301482702,0.04,
2015-04-30,2015-05-01,FIS,0.006434750602813422,0.04,
2015-04-30,2015-05-01,ALL,0.00643585541787064,0.04,
2015-04-30,2015-05-01,APH,0.006492118500189781,0.04,
2015-04-30,2015-05-01,LMT,0.006506608591298502,0.04,
2015-04-30,2015-05-01,TEL,0.006557100850319175,0.04,
2015-04-30,2015-05-01,LH,0.00655918562197697,0.04,
2015-04-30,2015-05-01,WMT,0.006589347341807272,0.04,
2015-04-30,2015-05-01,PNC,0.006696562337548428,0.04,
2015-05-29,2015-06-01,VZ,0.004631505770016054,0.04,
2015-05-29,2015-06-01,CVX,0.004667399620030599,0.04,
2015-05-29,2015-06-01,L,0.0061465710846476005,0.04,
2015-05-29,2015-06-01,KMI,0.006165125484193812,0.04,
2015-05-29,2015-06-01,COP,0.006549231016757595,0.04,
2015-05-29,2015-06-01,GWW,0.006575781561514837,0.04,
2015-05-29,2015-06-01,D,0.007065161364884975,0.04,
2015-05-29,2015-06-01,ALL,0.0073797632555890665,0.04,
2015-05-29,2015-06-01,AFL,0.007539182590090255,0.04,
2015-05-29,2015-06-01,KO,0.0076979652365499526,0.04,
2015-05-29,2015-06-01,DUK,0.007723310230702207,0.04,
2015-05-29,2015-06-01,AEE,0.007897498517045376,0.04,
2015-05-29,2015-06-01,CLX,0.007906259243951075,0.04,
2015-05-29,2015-06-01,PG,0.008056277562868664,0.04,
2015-05-29,2015-06-01,GL,0.0080595386248413,0.04,
2015-05-29,2015-06-01,CL,0.008159925616388541,0.04,
2015-05-29,2015-06-01,WMT,0.008236741711015672,0.04,
2015-05-29,2015-06-01,TROW,0.008239651665589109,0.04,
2015-05-29,2015-06-01,XYL,0.008342276471405974,0.04,
2015-05-29,2015-06-01,CB,0.008345629595483971,0.04,
2015-05-29,2015-06-01,SO,0.008376302440524164,0.04,
2015-05-29,2015-06-01,BAX,0.008383327899681969,0.04,
2015-05-29,2015-06-01,ED,0.008433974239078745,0.04,
2015-05-29,2015-06-01,CCI,0.008518032840763112,0.04,
2015-05-29,2015-06-01,APA,0.008528089134278582,0.04,
2015-06-30,2015-07-01,WM,0.003346547263192745,0.04,
2015-06-30,2015-07-01,IVZ,0.005012392303792979,0.04,
2015-06-30,2015-07-01,WMT,0.005177428050687283,0.04,
2015-06-30,2015-07-01,MU,0.00534179763331073,0.04,
2015-06-30,2015-07-01,CMI,0.005531038769316199,0.04,
2015-06-30,2015-07-01,TT,0.005899635622395261,0.04,
2015-06-30,2015-07-01,SRE,0.00597557871213894,0.04,
2015-06-30,2015-07-01,PH,0.006088156450029247,0.04,
2015-06-30,2015-07-01,EMR,0.00610367832634906,0.04,
2015-06-30,2015-07-01,JCI,0.0062190303896901165,0.04,
2015-06-30,2015-07-01,MCK,0.0062196881282841066,0.04,
2015-06-30,2015-07-01,COR,0.00624771039126637,0.04,
2015-06-30,2015-07-01,OMC,0.006321616590973811,0.04,
2015-06-30,2015-07-01,RSG,0.0063346509333865875,0.04,
2015-06-30,2015-07-01,KO,0.006353545446407871,0.04,
2015-06-30,2015-07-01,DVA,0.006365006127386996,0.04,
2015-06-30,2015-07-01,LOW,0.006410571420312872,0.04,
2015-06-30,2015-07-01,SJM,0.006553902377825027,0.04,
2015-06-30,2015-07-01,LIN,0.006609278720609879,0.04,
2015-06-30,2015-07-01,PLD,0.006626415753929615,0.04,
2015-06-30,2015-07-01,GE,0.006662183093747043,0.04,
2015-06-30,2015-07-01,PFE,0.006802248294304603,0.04,
2015-06-30,2015-07-01,PSKY,0.00691526959860056,0.04,
2015-06-30,2015-07-01,HPQ,0.007014582449799312,0.04,
2015-06-30,2015-07-01,VZ,0.0070237019675102545,0.04,
2015-07-31,2015-08-03,DVA,0.006807167931105163,0.04,0.5983540726359972
2015-07-31,2015-08-03,ZBH,0.007002352442099902,0.04,0.9779440040426276
2015-07-31,2015-08-03,SYY,0.0071292016166639716,0.04,0.5816978543828725
