signal_date,execution_date,symbol,weight
2008-05-30,2008-06-02,SPY,0.0
2008-05-30,2008-06-02,EFA,0.0
2008-05-30,2008-06-02,EEM,0.125
2008-05-30,2008-06-02,IEF,0.125
2008-05-30,2008-06-02,TLT,0.125
2008-05-30,2008-06-02,GLD,0.125
2008-05-30,2008-06-02,DBC,0.125
2008-05-30,2008-06-02,VNQ,0.0
2008-05-30,2008-06-02,BIL,0.375
2008-06-30,2008-07-01,SPY,0.0
2008-06-30,2008-07-01,EFA,0.0
2008-06-30,2008-07-01,EEM,0.125
2008-06-30,2008-07-01,IEF,0.125
2008-06-30,2008-07-01,TLT,0.125
2008-06-30,2008-07-01,GLD,0.125
2008-06-30,2008-07-01,DBC,0.125
2008-06-30,2008-07-01,VNQ,0.0
2008-06-30,2008-07-01,BIL,0.375
2008-07-31,2008-08-01,SPY,0.0
2008-07-31,2008-08-01,EFA,0.0
2008-07-31,2008-08-01,EEM,0.0
2008-07-31,2008-08-01,IEF,0.125
2008-07-31,2008-08-01,TLT,0.125
2008-07-31,2008-08-01,GLD,0.125
2008-07-31,2008-08-01,DBC,0.125
2008-07-31,2008-08-01,VNQ,0.0
2008-07-31,2008-08-01,BIL,0.5
2008-08-29,2008-09-02,SPY,0.0
2008-08-29,2008-09-02,EFA,0.0
2008-08-29,2008-09-02,EEM,0.0
2008-08-29,2008-09-02,IEF,0.125
2008-08-29,2008-09-02,TLT,0.125
2008-08-29,2008-09-02,GLD,0.125
2008-08-29,2008-09-02,DBC,0.125
2008-08-29,2008-09-02,VNQ,0.0
2008-08-29,2008-09-02,BIL,0.5
2008-09-30,2008-10-01,SPY,0.0
2008-09-30,2008-10-01,EFA,0.0
2008-09-30,2008-10-01,EEM,0.0
2008-09-30,2008-10-01,IEF,0.125
2008-09-30,2008-10-01,TLT,0.125
2008-09-30,2008-10-01,GLD,0.125
2008-09-30,2008-10-01,DBC,0.125
2008-09-30,2008-10-01,VNQ,0.0
2008-09-30,2008-10-01,BIL,0.5
2008-10-31,2008-11-03,SPY,0.0
2008-10-31,2008-11-03,EFA,0.0
2008-10-31,2008-11-03,EEM,0.0
