date,signal_date,turnover,cost,one_way_bps
2008-06-02,2008-05-30,1.0,0.0005,5.0
2008-07-01,2008-06-30,0.04141823826189496,2.070911913094748e-05,5.0
2008-08-01,2008-07-31,0.25936745613792644,0.00012968372806896323,5.0
2008-09-02,2008-08-29,0.043188238047434185,2.159411902371709e-05,5.0
2008-10-01,2008-09-30,0.02756221410749922,1.3781107053749609e-05,5.0
2008-11-03,2008-10-31,0.4424303608490717,0.00022121518042453588,5.0
2008-12-01,2008-11-28,0.24999999999999992,0.00012499999999999995,5.0
2009-01-02,2008-12-31,0.04226157215489501,2.1130786077447505e-05,5.0
2009-02-02,2009-01-30,0.2654642446296908,0.00013273212231484542,5.0
2009-03-02,2009-02-27,0.004029753406040268,2.014876703020134e-06,5.0
2009-04-01,2009-03-31,0.013431627885401143,6.715813942700572e-06,5.0
2009-05-01,2009-04-30,0.021810387451390814,1.0905193725695407e-05,5.0
2009-06-01,2009-05-29,0.2642669694659106,0.0001321334847329553,5.0
2009-07-01,2009-06-30,0.2457453424716189,0.00012287267123580945,5.0
2009-08-03,2009-07-31,0.25,0.000125,5.0
2009-09-01,2009-08-31,0.007044360484687803,3.5221802423439018e-06,5.0
2009-10-01,2009-09-30,0.5000000000000002,0.0002500000000000001,5.0
2009-11-02,2009-10-30,0.5141026961390104,0.0002570513480695052,5.0
2009-12-01,2009-11-30,0.27232805608105337,0.0001361640280405267,5.0
2010-01-04,2009-12-31,0.2681934931097976,0.00013409674655489882,5.0
2010-02-01,2010-01-29,0.029525479679107763,1.4762739839553882e-05,5.0
2010-03-01,2010-02-26,0.25704293028285913,0.00012852146514142956,5.0
2010-04-01,2010-03-31,0.27697105629765983,0.00013848552814882994,5.0
2010-05-03,2010-04-30,0.26995701461781246,0.00013497850730890624,5.0
2010-06-01,2010-05-28,0.29668559062379973,0.00014834279531189987,5.0
2010-07-01,2010-06-30,0.02074901172167372,1.037450586083686e-05,5.0
2010-08-02,2010-07-30,0.06003822396505873,3.0019111982529368e-05,5.0
2010-09-01,2010-08-31,0.2781844255587931,0.00013909221277939654,5.0
2010-10-01,2010-09-30,0.27607920763739213,0.00013803960381869606,5.0
2010-11-01,2010-10-29,0.01869275539907443,9.346377699537216e-06,5.0
2010-12-01,2010-11-30,0.01525646737929262,7.6282336896463105e-06,5.0
2011-01-03,2010-12-31,0.03485929957848312,1.7429649789241557e-05,5.0
2011-02-01,2011-01-31,0.029591128555717924,1.4795564277858963e-05,5.0
2011-03-01,2011-02-28,0.01750433289429784,8.752166447148921e-06,5.0
2011-04-01,2011-03-31,0.01852589047850081,9.262945239250406e-06,5.0
2011-05-02,2011-04-29,0.020481917704333358,1.024095885216668e-05,5.0
2011-06-01,2011-05-31,0.026655291282676907,1.3327645641338454e-05,5.0
2011-07-01,2011-06-30,0.2614414206113196,0.0001307207103056598,5.0
2011-08-01,2011-07-29,0.27192310130627995,0.00013596155065313998,5.0
2011-09-01,2011-08-31,0.07866813137253016,3.933406568626508e-05,5.0
2011-10-03,2011-09-30,0.541313423280809,0.0002706567116404045,5.0
2011-11-01,2011-10-31,0.04226694729971815,2.1133473649859076e-05,5.0
