date,signal_date,turnover,cost,one_way_bps
2008-06-02,2008-05-30,0.026766302725566626,1.3383151362783314e-05,5.0
2008-07-01,2008-06-30,0.084044497928423,4.20222489642115e-05,5.0
2008-08-01,2008-07-31,0.03278899325223128,1.639449662611564e-05,5.0
2008-09-02,2008-08-29,0.0559559024174011,2.797795120870055e-05,5.0
2008-10-01,2008-09-30,0.07545516232226022,3.772758116113011e-05,5.0
2008-11-03,2008-10-31,0.09447502357806753,4.723751178903376e-05,5.0
2008-12-01,2008-11-28,0.12234368480165363,6.117184240082682e-05,5.0
2009-01-02,2008-12-31,0.0505464613617658,2.5273230680882897e-05,5.0
2009-02-02,2009-01-30,0.0609333650078944,3.0466682503947197e-05,5.0
2009-03-02,2009-02-27,0.05966749562127803,2.9833747810639015e-05,5.0
2009-04-01,2009-03-31,0.04646367686530982,2.323183843265491e-05,5.0
2009-05-01,2009-04-30,0.10196108944887505,5.098054472443753e-05,5.0
2009-06-01,2009-05-29,0.06621334021101426,3.310667010550713e-05,5.0
2009-07-01,2009-06-30,0.017987656479265174,8.993828239632587e-06,5.0
2009-08-03,2009-07-31,0.042481468407200004,2.1240734203600003e-05,5.0
2009-09-01,2009-08-31,0.03285264707638286,1.6426323538191428e-05,5.0
2009-10-01,2009-09-30,0.023768362391244163,1.1884181195622081e-05,5.0
2009-11-02,2009-10-30,0.02828416236911048,1.4142081184555238e-05,5.0
2009-12-01,2009-11-30,0.02678361364739952,1.3391806823699759e-05,5.0
2010-01-04,2009-12-31,0.03859090151075331,1.9295450755376656e-05,5.0
2010-02-01,2010-01-29,0.03519778500587563,1.7598892502937813e-05,5.0
2010-03-01,2010-02-26,0.01612269123210333,8.061345616051665e-06,5.0
2010-04-01,2010-03-31,0.04266785186024752,2.133392593012376e-05,5.0
2010-05-03,2010-04-30,0.025763738113877874,1.2881869056938938e-05,5.0
2010-06-01,2010-05-28,0.07222204841419302,3.611102420709651e-05,5.0
2010-07-01,2010-06-30,0.022903349244189533,1.1451674622094767e-05,5.0
2010-08-02,2010-07-30,0.055308327374480354,2.7654163687240174e-05,5.0
2010-09-01,2010-08-31,0.0417790745450467,2.0889537272523352e-05,5.0
2010-10-01,2010-09-30,0.034624397195355275,1.7312198597677636e-05,5.0
2010-11-01,2010-10-29,0.01869275539907443,9.346377699537216e-06,5.0
2010-12-01,2010-11-30,0.01525646737929262,7.6282336896463105e-06,5.0
2011-01-03,2010-12-31,0.03485929957848312,1.7429649789241557e-05,5.0
2011-02-01,2011-01-31,0.029591128555717924,1.4795564277858963e-05,5.0
2011-03-01,2011-02-28,0.01750433289429784,8.752166447148921e-06,5.0
2011-04-01,2011-03-31,0.01852589047850081,9.262945239250406e-06,5.0
2011-05-02,2011-04-29,0.020481917704333358,1.024095885216668e-05,5.0
2011-06-01,2011-05-31,0.026655291282676907,1.3327645641338454e-05,5.0
2011-07-01,2011-06-30,0.012502622033239097,6.251311016619549e-06,5.0
2011-08-01,2011-07-29,0.026168369296549518,1.308418464827476e-05,5.0
2011-09-01,2011-08-31,0.07866813137253016,3.933406568626508e-05,5.0
2011-10-03,2011-09-30,0.08172124352098939,4.08606217604947e-05,5.0
2011-11-01,2011-10-31,0.04212821622153837,2.1064108110769184e-05,5.0
2011-12-01,2011-11-30,0.015058001710847868,7.529000855423934e-06,5.0
2012-01-03,2011-12-30,0.0315344046681892,1.5767202334094598e-05,5.0
2012-02-01,2012-01-31,0.026121366162545304,1.306068308127265e-05,5.0
2012-03-01,2012-02-29,0.031117895288433547,1.5558947644216776e-05,5.0
2012-04-02,2012-03-30,0.023174773073895094,1.1587386536947547e-05,5.0
2012-05-01,2012-04-30,0.01890789092483322,9.45394546241661e-06,5.0
2012-06-01,2012-05-31,0.06528118922104235,3.264059461052118e-05,5.0
2012-07-02,2012-06-29,0.037205830753374594,1.8602915376687297e-05,5.0
2012-08-01,2012-07-31,0.01295836932443413,6.479184662217065e-06,5.0
2012-09-04,2012-08-31,0.022322859684769464,1.1161429842384733e-05,5.0
2012-10-01,2012-09-28,0.028156755659009977,1.407837782950499e-05,5.0
2012-11-01,2012-10-31,0.012830026190763164,6.415013095381582e-06,5.0
2012-12-03,2012-11-30,0.00815990163352974,4.07995081676487e-06,5.0
2013-01-02,2012-12-31,0.03302753991673803,1.6513769958369014e-05,5.0
2013-02-01,2013-01-31,0.017657717926789093,8.828858963394547e-06,5.0
2013-03-01,2013-02-28,0.025757939959803536,1.2878969979901766e-05,5.0
2013-04-01,2013-03-28,0.013047297398382368,6.523648699191184e-06,5.0
2013-05-01,2013-04-30,0.04009420537077099,2.0047102685385497e-05,5.0
2013-06-03,2013-05-31,0.026292437577872238,1.314621878893612e-05,5.0
2013-07-01,2013-06-28,0.02344983434083253,1.1724917170416266e-05,5.0
2013-08-01,2013-07-31,0.026057373437590306,1.3028686718795152e-05,5.0
2013-09-03,2013-08-30,0.026868108924102962,1.3434054462051482e-05,5.0
2013-10-01,2013-09-30,0.03546963195433066,1.773481597716533e-05,5.0
2013-11-01,2013-10-31,0.015742621773097376,7.871310886548689e-06,5.0
2013-12-02,2013-11-29,0.02409744627825912,1.204872313912956e-05,5.0
2014-01-02,2013-12-31,0.012326033056400065,6.163016528200033e-06,5.0
2014-02-03,2014-01-31,0.041531957043711334,2.0765978521855664e-05,5.0
