date,signal_date,turnover,cost,one_way_bps
2008-06-02,2008-05-30,0.013049861517453243,6.524930758726621e-06,5.0
2008-07-01,2008-06-30,0.050482825692935995,2.5241412846467998e-05,5.0
2008-08-01,2008-07-31,0.002144606856696818,1.072303428348409e-06,5.0
2008-09-02,2008-08-29,0.0029700382013305715,1.4850191006652857e-06,5.0
2008-10-01,2008-09-30,0.0586981585831457,2.934907929157285e-05,5.0
2008-11-03,2008-10-31,0.07896330732706197,3.948165366353099e-05,5.0
2008-12-01,2008-11-28,0.08996032202117954,4.498016101058977e-05,5.0
2009-01-02,2008-12-31,0.0005683000707122354,2.841500353561177e-07,5.0
2009-02-02,2009-01-30,0.03135004956155779,1.5675024780778895e-05,5.0
2009-03-02,2009-02-27,0.054044877670201386,2.7022438835100694e-05,5.0
2009-04-01,2009-03-31,0.027005908755889152,1.3502954377944577e-05,5.0
2009-05-01,2009-04-30,0.06636455555630838,3.318227777815419e-05,5.0
2009-06-01,2009-05-29,0.04629784246119273,2.3148921230596363e-05,5.0
2009-07-01,2009-06-30,0.004382139494728543,2.1910697473642713e-06,5.0
2009-08-03,2009-07-31,0.03417755950848411,1.7088779754242057e-05,5.0
2009-09-01,2009-08-31,0.004617646076883641,2.3088230384418206e-06,5.0
2009-10-01,2009-09-30,0.001020673362796265,5.103366813981325e-07,5.0
2009-11-02,2009-10-30,0.007305099598013232,3.652549799006616e-06,5.0
2009-12-01,2009-11-30,0.022196612389346393,1.1098306194673196e-05,5.0
2010-01-04,2009-12-31,0.028237871104424273,1.4118935552212136e-05,5.0
2010-02-01,2010-01-29,0.028273412816588017,1.4136706408294009e-05,5.0
2010-03-01,2010-02-26,0.010440746407188173,5.220373203594086e-06,5.0
2010-04-01,2010-03-31,0.03574144420048592,1.787072210024296e-05,5.0
2010-05-03,2010-04-30,0.0007276638856105189,3.6383194280525945e-07,5.0
2010-06-01,2010-05-28,0.0642913162374763,3.2145658118738154e-05,5.0
2010-07-01,2010-06-30,0.03436075271665251,1.7180376358326253e-05,5.0
2010-08-02,2010-07-30,0.036106687779154545,1.8053343889577274e-05,5.0
2010-09-01,2010-08-31,0.038649006582510026,1.9324503291255012e-05,5.0
2010-10-01,2010-09-30,0.03753032288332758,1.876516144166379e-05,5.0
2010-11-01,2010-10-29,0.013945651947975535,6.972825973987767e-06,5.0
2010-12-01,2010-11-30,0.015256028335730087,7.628014167865043e-06,5.0
2011-01-03,2010-12-31,0.04246106289769219,2.1230531448846097e-05,5.0
2011-02-01,2011-01-31,0.008776999117701412,4.3884995588507056e-06,5.0
2011-03-01,2011-02-28,0.01651530316306382,8.257651581531911e-06,5.0
2011-04-01,2011-03-31,0.0012080932457352311,6.040466228676155e-07,5.0
2011-05-02,2011-04-29,0.0035342895544928643,1.767144777246432e-06,5.0
2011-06-01,2011-05-31,0.023250062625382262,1.1625031312691131e-05,5.0
2011-07-01,2011-06-30,0.0028113781776420987,1.4056890888210493e-06,5.0
2011-08-01,2011-07-29,0.01840613192280044,9.20306596140022e-06,5.0
2011-09-01,2011-08-31,0.0567074725299484,2.83537362649742e-05,5.0
2011-10-03,2011-09-30,0.04838987799640121,2.4194938998200605e-05,5.0
2011-11-01,2011-10-31,0.04161118192850505,2.0805590964252524e-05,5.0
2011-12-01,2011-11-30,0.013376464376357478,6.688232188178738e-06,5.0
2012-01-03,2011-12-30,0.0067665587718728215,3.383279385936411e-06,5.0
2012-02-01,2012-01-31,0.010650564867917767,5.325282433958883e-06,5.0
2012-03-01,2012-02-29,0.024087580863595304,1.2043790431797651e-05,5.0
2012-04-02,2012-03-30,0.017099558186252806,8.549779093126402e-06,5.0
2012-05-01,2012-04-30,0.013485676820867876,6.742838410433938e-06,5.0
2012-06-01,2012-05-31,0.05353081895481826,2.676540947740913e-05,5.0
2012-07-02,2012-06-29,0.03176598939434966,1.588299469717483e-05,5.0
2012-08-01,2012-07-31,0.003311462102939422,1.655731051469711e-06,5.0
2012-09-04,2012-08-31,0.008409719196150356,4.204859598075178e-06,5.0
2012-10-01,2012-09-28,0.01442693346104107,7.213466730520535e-06,5.0
2012-11-01,2012-10-31,0.006862318727938521,3.4311593639692606e-06,5.0
2012-12-03,2012-11-30,0.00027768046116755096,1.3884023058377548e-07,5.0
2013-01-02,2012-12-31,0.016776288299252096,8.388144149626048e-06,5.0
2013-02-01,2013-01-31,0.01991875403501947,9.959377017509735e-06,5.0
2013-03-01,2013-02-28,0.0026764488769503436,1.3382244384751718e-06,5.0
2013-04-01,2013-03-28,0.018435947485219373,9.217973742609687e-06,5.0
2013-05-01,2013-04-30,0.00018038057775965344,9.019028887982672e-08,5.0
2013-06-03,2013-05-31,0.03020411650020205,1.5102058250101025e-05,5.0
2013-07-01,2013-06-28,0.007117356415036802,3.558678207518401e-06,5.0
2013-08-01,2013-07-31,0.027864617998969332,1.3932308999484667e-05,5.0
2013-09-03,2013-08-30,0.006447240986267089,3.2236204931335445e-06,5.0
2013-10-01,2013-09-30,0.00037935617205864247,1.8967808602932124e-07,5.0
2013-11-01,2013-10-31,0.01866455104733672,9.33227552366836e-06,5.0
2013-12-02,2013-11-29,0.017877008016053464,8.938504008026732e-06,5.0
2014-01-02,2013-12-31,0.018472325018722258,9.236162509361129e-06,5.0
2014-02-03,2014-01-31,0.02918582988369889,1.4592914941849445e-05,5.0
2014-03-03,2014-02-28,0.013863784371505039,6.93189218575252e-06,5.0
2014-04-01,2014-03-31,0.014477609984729134,7.238804992364567e-06,5.0
2014-05-01,2014-04-30,0.00305824168900215,1.5291208445010752e-06,5.0
2014-06-02,2014-05-30,0.004799350360926546,2.399675180463273e-06,5.0
2014-07-01,2014-06-30,0.011206836468326875,5.603418234163438e-06,5.0
2014-08-01,2014-07-31,0.010529267803844111,5.264633901922056e-06,5.0
2014-09-02,2014-08-29,0.014879045428045135,7.439522714022567e-06,5.0
2014-10-01,2014-09-30,0.006834417661908732,3.4172088309543657e-06,5.0
2014-11-03,2014-10-31,0.007772533090700751,3.886266545350376e-06,5.0
2014-12-01,2014-11-28,0.002392811491315039,1.1964057456575194e-06,5.0
2015-01-02,2014-12-31,0.002876749410309687,1.4383747051548434e-06,5.0
2015-02-02,2015-01-30,0.033111840117378666,1.6555920058689334e-05,5.0
2015-03-02,2015-02-27,0.03539353312206395,1.7696766561031974e-05,5.0
2015-04-01,2015-03-31,0.01398156593931077,6.9907829696553845e-06,5.0
2015-05-01,2015-04-30,0.012865001139309717,6.432500569654859e-06,5.0
2015-06-01,2015-05-29,0.006456650949542342,3.228325474771171e-06,5.0
2015-07-01,2015-06-30,0.002550449389934928,1.275224694967464e-06,5.0
2015-08-03,2015-07-31,0.003132334884196286,1.5661674420981432e-06,5.0
2015-09-01,2015-08-31,0.04324103222014919,2.1620516110074596e-05,5.0
2015-10-01,2015-09-30,0.007157432802710084,3.578716401355042e-06,5.0
