strategy,period_start,period_end,strategy_cagr,bil_cagr,cagr_minus_bil,sixty_forty_cagr,max_drawdown,sharpe_rf_bil,avg_bil_weight,period_label
bil_buy_hold,2008-06-02,2012-12-31,0.0019615877682752636,0.0019615877682752636,0.0,0.05363483224032062,-0.007726229003255147,0.0,1.0,2008-2012
ensemble_risk_balanced,2008-06-02,2012-12-31,0.05976394741780133,0.0019615877682752636,0.05780235964952607,0.05363483224032062,-0.07105357377927324,0.8498589869677734,0.29896140853997727,2008-2012
ensemble_equal,2008-06-02,2012-12-31,0.05018138126081628,0.0019615877682752636,0.04821979349254102,0.05363483224032062,-0.07726425381908986,0.6109843451102367,0.34927784077949786,2008-2012
sixty_forty_spy_ief_monthly,2008-06-02,2012-12-31,0.05363483224032062,0.0019615877682752636,0.051673244472045354,0.05363483224032062,-0.3087810282273121,0.42399709218961373,0.0,2008-2012
spy_buy_hold,2008-06-02,2012-12-31,0.02619467181768287,0.0019615877682752636,0.024233084049407605,0.05363483224032062,-0.5069911001919267,0.2224868062397526,0.0,2008-2012
bil_buy_hold,2013-01-01,2017-12-31,0.0010270344995741976,0.0010270344995741976,0.0,0.10000764117012939,-0.003273694451025322,0.0,1.0,2013-2017
ensemble_risk_balanced,2013-01-01,2017-12-31,0.024787876770304917,0.0010270344995741976,0.02376084227073072,0.10000764117012939,-0.07657346918635877,0.5642836344127709,0.36273782190254417,2013-2017
ensemble_equal,2013-01-01,2017-12-31,0.025589001015182467,0.0010270344995741976,0.02456196651560827,0.10000764117012939,-0.08585071510757003,0.5330692316751829,0.38912979445813095,2013-2017
sixty_forty_spy_ief_monthly,2013-01-01,2017-12-31,0.10000764117012939,0.0010270344995741976,0.0989806066705552,0.10000764117012939,-0.06839157397176165,1.4427407366567775,0.0,2013-2017
spy_buy_hold,2013-01-01,2017-12-31,0.15719238891666243,0.0010270344995741976,0.15616535441708823,0.10000764117012939,-0.13022911176866048,1.2804246292437984,0.0,2013-2017
bil_buy_hold,2018-01-01,2022-12-31,0.010935010786522703,0.010935010786522703,0.0,0.059212408779728776,-0.0020852466026292094,0.0,1.0,2018-2022
ensemble_risk_balanced,2018-01-01,2022-12-31,0.030728560037406538,0.010935010786522703,0.019793549250883835,0.059212408779728776,-0.08057597352560342,0.4187061848975956,0.46168490302994847,2018-2022
ensemble_equal,2018-01-01,2022-12-31,0.035205435709624755,0.010935010786522703,0.024270424923102052,0.059212408779728776,-0.09222232225568716,0.4344698862459768,0.451249324913289,2018-2022
sixty_forty_spy_ief_monthly,2018-01-01,2022-12-31,0.059212408779728776,0.010935010786522703,0.04827739799320607,0.059212408779728776,-0.212099428739702,0.43601074307360044,0.0,2018-2022
spy_buy_hold,2018-01-01,2022-12-31,0.09330537604520983,0.010935010786522703,0.08237036525868713,0.059212408779728776,-0.3371726769000346,0.47152460643260447,0.0,2018-2022
bil_buy_hold,2023-01-01,2026-08-10,0.045720847297704426,0.045720847297704426,0.0,0.14709794805349796,-0.00021872215253526672,0.0,1.0,2023-latest
ensemble_risk_balanced,2023-01-01,2026-08-10,0.07772398602595687,0.045720847297704426,0.032003138728252445,0.14709794805349796,-0.05210041376289243,0.5715566931635689,0.41795179716062514,2023-latest
ensemble_equal,2023-01-01,2026-08-10,0.0941833248582733,0.045720847297704426,0.04846247756056887,0.14709794805349796,-0.05658732025744506,0.7087510108624161,0.38987326244653275,2023-latest
sixty_forty_spy_ief_monthly,2023-01-01,2026-08-10,0.14709794805349796,0.045720847297704426,0.10137710075579354,0.14709794805349796,-0.1055052093935851,1.0202027993626237,0.0,2023-latest
spy_buy_hold,2023-01-01,2026-08-10,0.23111759990358238,0.045720847297704426,0.18539675260587796,0.14709794805349796,-0.1875522626062267,1.1611487395749904,0.0,2023-latest
