signal_date,execution_date,symbol,weight
2016-01-29,2016-02-01,AMZN,0.025
2016-01-29,2016-02-01,AVGO,0.025
2016-01-29,2016-02-01,ADBE,0.025
2016-01-29,2016-02-01,AIZ,0.025
2016-01-29,2016-02-01,AIG,0.025
2016-01-29,2016-02-01,APTV,0.025
2016-01-29,2016-02-01,ACN,0.025
2016-01-29,2016-02-01,AVY,0.025
2016-01-29,2016-02-01,ALLE,0.025
2016-01-29,2016-02-01,AZO,0.025
2016-01-29,2016-02-01,BALL,0.025
2016-01-29,2016-02-01,BF-B,0.025
2016-01-29,2016-02-01,BDX,0.025
2016-01-29,2016-02-01,BAC,0.025
2016-01-29,2016-02-01,ADSK,0.025
2016-01-29,2016-02-01,AME,0.025
2016-01-29,2016-02-01,A,0.025
2016-01-29,2016-02-01,ADI,0.025
2016-01-29,2016-02-01,AVB,0.025
2016-01-29,2016-02-01,AFL,0.025
2016-01-29,2016-02-01,AMGN,0.025
2016-01-29,2016-02-01,ADP,0.025
2016-01-29,2016-02-01,AON,0.025
2016-01-29,2016-02-01,AMT,0.025
2016-01-29,2016-02-01,ABT,0.025
2016-01-29,2016-02-01,BA,0.025
2016-01-29,2016-02-01,BAX,0.025
2016-01-29,2016-02-01,AEE,0.025
2016-01-29,2016-02-01,APH,0.025
2016-01-29,2016-02-01,ABBV,0.025
2016-01-29,2016-02-01,AEP,0.025
2016-01-29,2016-02-01,AAPL,0.025
2016-01-29,2016-02-01,APD,0.025
2016-01-29,2016-02-01,ALL,0.025
2016-01-29,2016-02-01,AKAM,0.025
2016-01-29,2016-02-01,BBY,0.025
2016-01-29,2016-02-01,AXP,0.025
2016-01-29,2016-02-01,AMP,0.025
2016-01-29,2016-02-01,AMAT,0.025
2016-01-29,2016-02-01,AES,0.025
2016-02-29,2016-03-01,AES,0.025
2016-02-29,2016-03-01,BALL,0.025
2016-02-29,2016-03-01,ABBV,0.025
2016-02-29,2016-03-01,AVGO,0.025
2016-02-29,2016-03-01,AMAT,0.025
2016-02-29,2016-03-01,AMT,0.025
2016-02-29,2016-03-01,AMGN,0.025
2016-02-29,2016-03-01,ACN,0.025
2016-02-29,2016-03-01,AMZN,0.025
2016-02-29,2016-03-01,AME,0.025
2016-02-29,2016-03-01,AFL,0.025
2016-02-29,2016-03-01,AEP,0.025
2016-02-29,2016-03-01,BAX,0.025
2016-02-29,2016-03-01,ADSK,0.025
2016-02-29,2016-03-01,BF-B,0.025
2016-02-29,2016-03-01,BAC,0.025
2016-02-29,2016-03-01,ALLE,0.025
2016-02-29,2016-03-01,AIZ,0.025
2016-02-29,2016-03-01,ADI,0.025
2016-02-29,2016-03-01,AVY,0.025
2016-02-29,2016-03-01,APTV,0.025
2016-02-29,2016-03-01,ADBE,0.025
2016-02-29,2016-03-01,ABT,0.025
2016-02-29,2016-03-01,AMP,0.025
2016-02-29,2016-03-01,APD,0.025
2016-02-29,2016-03-01,A,0.025
2016-02-29,2016-03-01,APH,0.025
2016-02-29,2016-03-01,BBY,0.025
2016-02-29,2016-03-01,AVB,0.025
2016-02-29,2016-03-01,AXP,0.025
2016-02-29,2016-03-01,AEE,0.025
2016-02-29,2016-03-01,AAPL,0.025
2016-02-29,2016-03-01,AZO,0.025
2016-02-29,2016-03-01,AON,0.025
2016-02-29,2016-03-01,AIG,0.025
2016-02-29,2016-03-01,BA,0.025
2016-02-29,2016-03-01,ALL,0.025
2016-02-29,2016-03-01,ADP,0.025
2016-02-29,2016-03-01,BDX,0.025
2016-02-29,2016-03-01,ADM,0.025
2016-03-31,2016-04-01,AES,0.025
2016-03-31,2016-04-01,ABBV,0.025
2016-03-31,2016-04-01,BALL,0.025
2016-03-31,2016-04-01,AVGO,0.025
2016-03-31,2016-04-01,AMAT,0.025
2016-03-31,2016-04-01,AMT,0.025
2016-03-31,2016-04-01,AMGN,0.025
2016-03-31,2016-04-01,ADM,0.025
2016-03-31,2016-04-01,ACN,0.025
2016-03-31,2016-04-01,AMZN,0.025
2016-03-31,2016-04-01,AME,0.025
2016-03-31,2016-04-01,AFL,0.025
2016-03-31,2016-04-01,AEP,0.025
2016-03-31,2016-04-01,BAX,0.025
2016-03-31,2016-04-01,ADSK,0.025
2016-03-31,2016-04-01,BF-B,0.025
2016-03-31,2016-04-01,BAC,0.025
2016-03-31,2016-04-01,ALLE,0.025
2016-03-31,2016-04-01,AIZ,0.025
2016-03-31,2016-04-01,ADI,0.025
2016-03-31,2016-04-01,AVY,0.025
2016-03-31,2016-04-01,APTV,0.025
2016-03-31,2016-04-01,ADBE,0.025
2016-03-31,2016-04-01,ABT,0.025
2016-03-31,2016-04-01,APD,0.025
2016-03-31,2016-04-01,A,0.025
2016-03-31,2016-04-01,APH,0.025
2016-03-31,2016-04-01,BBY,0.025
2016-03-31,2016-04-01,AVB,0.025
2016-03-31,2016-04-01,AEE,0.025
2016-03-31,2016-04-01,AAPL,0.025
2016-03-31,2016-04-01,AZO,0.025
2016-03-31,2016-04-01,AON,0.025
2016-03-31,2016-04-01,AIG,0.025
2016-03-31,2016-04-01,BA,0.025
2016-03-31,2016-04-01,ALL,0.025
2016-03-31,2016-04-01,ADP,0.025
2016-03-31,2016-04-01,BDX,0.025
2016-03-31,2016-04-01,AWK,0.025
2016-03-31,2016-04-01,AKAM,0.025
2016-04-29,2016-05-02,AES,0.025
2016-04-29,2016-05-02,BALL,0.025
2016-04-29,2016-05-02,ABBV,0.025
2016-04-29,2016-05-02,AVGO,0.025
2016-04-29,2016-05-02,AMAT,0.025
2016-04-29,2016-05-02,AMT,0.025
2016-04-29,2016-05-02,AMGN,0.025
2016-04-29,2016-05-02,ACN,0.025
2016-04-29,2016-05-02,AMZN,0.025
2016-04-29,2016-05-02,AME,0.025
2016-04-29,2016-05-02,AFL,0.025
2016-04-29,2016-05-02,AEP,0.025
2016-04-29,2016-05-02,BAX,0.025
2016-04-29,2016-05-02,ADSK,0.025
2016-04-29,2016-05-02,BF-B,0.025
2016-04-29,2016-05-02,BAC,0.025
2016-04-29,2016-05-02,ALLE,0.025
2016-04-29,2016-05-02,AIZ,0.025
2016-04-29,2016-05-02,ADI,0.025
2016-04-29,2016-05-02,AVY,0.025
2016-04-29,2016-05-02,APTV,0.025
2016-04-29,2016-05-02,ADBE,0.025
2016-04-29,2016-05-02,ABT,0.025
2016-04-29,2016-05-02,AWK,0.025
2016-04-29,2016-05-02,APD,0.025
2016-04-29,2016-05-02,A,0.025
2016-04-29,2016-05-02,APH,0.025
2016-04-29,2016-05-02,BBY,0.025
2016-04-29,2016-05-02,AVB,0.025
2016-04-29,2016-05-02,AEE,0.025
2016-04-29,2016-05-02,AAPL,0.025
2016-04-29,2016-05-02,AZO,0.025
2016-04-29,2016-05-02,AON,0.025
2016-04-29,2016-05-02,AIG,0.025
2016-04-29,2016-05-02,BA,0.025
2016-04-29,2016-05-02,ALL,0.025
2016-04-29,2016-05-02,ADP,0.025
2016-04-29,2016-05-02,BDX,0.025
2016-04-29,2016-05-02,AXP,0.025
2016-04-29,2016-05-02,BEN,0.025
2016-05-31,2016-06-01,AES,0.025
2016-05-31,2016-06-01,ABBV,0.025
2016-05-31,2016-06-01,BALL,0.025
2016-05-31,2016-06-01,AVGO,0.025
2016-05-31,2016-06-01,AMAT,0.025
2016-05-31,2016-06-01,AMT,0.025
2016-05-31,2016-06-01,AMGN,0.025
2016-05-31,2016-06-01,ACN,0.025
2016-05-31,2016-06-01,AMZN,0.025
2016-05-31,2016-06-01,AME,0.025
2016-05-31,2016-06-01,AFL,0.025
2016-05-31,2016-06-01,AEP,0.025
2016-05-31,2016-06-01,BAX,0.025
2016-05-31,2016-06-01,ADSK,0.025
2016-05-31,2016-06-01,BF-B,0.025
2016-05-31,2016-06-01,BAC,0.025
2016-05-31,2016-06-01,ALLE,0.025
2016-05-31,2016-06-01,AIZ,0.025
2016-05-31,2016-06-01,ADI,0.025
2016-05-31,2016-06-01,AVY,0.025
2016-05-31,2016-06-01,APTV,0.025
2016-05-31,2016-06-01,ADBE,0.025
2016-05-31,2016-06-01,ABT,0.025
2016-05-31,2016-06-01,AWK,0.025
2016-05-31,2016-06-01,APD,0.025
2016-05-31,2016-06-01,A,0.025
2016-05-31,2016-06-01,APH,0.025
2016-05-31,2016-06-01,BBY,0.025
2016-05-31,2016-06-01,AVB,0.025
2016-05-31,2016-06-01,AXP,0.025
2016-05-31,2016-06-01,AEE,0.025
2016-05-31,2016-06-01,AZO,0.025
2016-05-31,2016-06-01,AON,0.025
2016-05-31,2016-06-01,AIG,0.025
2016-05-31,2016-06-01,BA,0.025
2016-05-31,2016-06-01,ALL,0.025
2016-05-31,2016-06-01,ADP,0.025
2016-05-31,2016-06-01,BDX,0.025
2016-05-31,2016-06-01,AJG,0.025
2016-05-31,2016-06-01,APA,0.025
2016-06-30,2016-07-01,AES,0.025
2016-06-30,2016-07-01,BALL,0.025
2016-06-30,2016-07-01,ABBV,0.025
2016-06-30,2016-07-01,AVGO,0.025
2016-06-30,2016-07-01,APA,0.025
2016-06-30,2016-07-01,AMAT,0.025
2016-06-30,2016-07-01,AMT,0.025
2016-06-30,2016-07-01,AMGN,0.025
2016-06-30,2016-07-01,ACN,0.025
2016-06-30,2016-07-01,AMZN,0.025
2016-06-30,2016-07-01,AJG,0.025
2016-06-30,2016-07-01,AME,0.025
2016-06-30,2016-07-01,AFL,0.025
2016-06-30,2016-07-01,AEP,0.025
2016-06-30,2016-07-01,BAX,0.025
2016-06-30,2016-07-01,ADSK,0.025
2016-06-30,2016-07-01,BF-B,0.025
2016-06-30,2016-07-01,BAC,0.025
2016-06-30,2016-07-01,ALLE,0.025
2016-06-30,2016-07-01,AIZ,0.025
2016-06-30,2016-07-01,ADI,0.025
2016-06-30,2016-07-01,AVY,0.025
2016-06-30,2016-07-01,ADBE,0.025
2016-06-30,2016-07-01,AWK,0.025
2016-06-30,2016-07-01,APD,0.025
2016-06-30,2016-07-01,A,0.025
2016-06-30,2016-07-01,APH,0.025
2016-06-30,2016-07-01,BBY,0.025
2016-06-30,2016-07-01,AVB,0.025
2016-06-30,2016-07-01,AXP,0.025
2016-06-30,2016-07-01,AEE,0.025
2016-06-30,2016-07-01,AZO,0.025
2016-06-30,2016-07-01,AON,0.025
2016-06-30,2016-07-01,AIG,0.025
2016-06-30,2016-07-01,BA,0.025
2016-06-30,2016-07-01,ALL,0.025
2016-06-30,2016-07-01,ADP,0.025
2016-06-30,2016-07-01,BDX,0.025
2016-06-30,2016-07-01,ADM,0.025
2016-06-30,2016-07-01,AMP,0.025
2016-07-29,2016-08-01,AES,0.025
2016-07-29,2016-08-01,ABBV,0.025
2016-07-29,2016-08-01,BALL,0.025
2016-07-29,2016-08-01,AVGO,0.025
2016-07-29,2016-08-01,APA,0.025
2016-07-29,2016-08-01,AMAT,0.025
2016-07-29,2016-08-01,AMT,0.025
2016-07-29,2016-08-01,AMGN,0.025
2016-07-29,2016-08-01,ADM,0.025
2016-07-29,2016-08-01,ACN,0.025
