signal_date,execution_date,symbol,weight
2016-01-29,2016-02-01,AVGO,0.025
2016-01-29,2016-02-01,AMZN,0.025
2016-01-29,2016-02-01,CRM,0.025
2016-01-29,2016-02-01,CI,0.025
2016-01-29,2016-02-01,ADBE,0.025
2016-01-29,2016-02-01,DHI,0.025
2016-01-29,2016-02-01,AIZ,0.025
2016-01-29,2016-02-01,AIG,0.025
2016-01-29,2016-02-01,BKNG,0.025
2016-01-29,2016-02-01,APTV,0.025
2016-01-29,2016-02-01,BSX,0.025
2016-01-29,2016-02-01,CCL,0.025
2016-01-29,2016-02-01,ACN,0.025
2016-01-29,2016-02-01,AVY,0.025
2016-01-29,2016-02-01,ALLE,0.025
2016-01-29,2016-02-01,AZO,0.025
2016-01-29,2016-02-01,CINF,0.025
2016-01-29,2016-02-01,DD,0.025
2016-01-29,2016-02-01,CLX,0.025
2016-01-29,2016-02-01,COST,0.025
2016-01-29,2016-02-01,DRI,0.025
2016-01-29,2016-02-01,CTAS,0.025
2016-01-29,2016-02-01,BALL,0.025
2016-01-29,2016-02-01,BNY,0.025
2016-01-29,2016-02-01,DIS,0.025
2016-01-29,2016-02-01,BMY,0.025
2016-01-29,2016-02-01,BF-B,0.025
2016-01-29,2016-02-01,BDX,0.025
2016-01-29,2016-02-01,BAC,0.025
2016-01-29,2016-02-01,DHR,0.025
2016-01-29,2016-02-01,CME,0.025
2016-01-29,2016-02-01,ADSK,0.025
2016-01-29,2016-02-01,AME,0.025
2016-01-29,2016-02-01,C,0.025
2016-01-29,2016-02-01,CB,0.025
2016-01-29,2016-02-01,DLTR,0.025
2016-01-29,2016-02-01,A,0.025
2016-01-29,2016-02-01,CTSH,0.025
2016-01-29,2016-02-01,ADI,0.025
2016-01-29,2016-02-01,COR,0.025
2016-02-29,2016-03-01,CI,0.025
2016-02-29,2016-03-01,AIZ,0.025
2016-02-29,2016-03-01,AVY,0.025
2016-02-29,2016-03-01,DRI,0.025
2016-02-29,2016-03-01,ADBE,0.025
2016-02-29,2016-03-01,ACN,0.025
2016-02-29,2016-03-01,BF-B,0.025
2016-02-29,2016-03-01,DHR,0.025
2016-02-29,2016-03-01,AIG,0.025
2016-02-29,2016-03-01,CB,0.025
2016-02-29,2016-03-01,AMZN,0.025
2016-02-29,2016-03-01,CINF,0.025
2016-02-29,2016-03-01,BMY,0.025
2016-02-29,2016-03-01,BSX,0.025
2016-02-29,2016-03-01,COST,0.025
2016-02-29,2016-03-01,AZO,0.025
