date,signal_date,turnover,cost,avg_adv_participation,reason
2015-02-02,2015-01-30,0.0,0.0,0.0,next_open_rebalance
2015-03-02,2015-02-27,0.0,0.0,0.0,next_open_rebalance
2015-04-01,2015-03-31,0.0,0.0,0.0,next_open_rebalance
2015-05-01,2015-04-30,0.0,0.0,0.0,next_open_rebalance
2015-06-01,2015-05-29,0.0,0.0,0.0,next_open_rebalance
2015-07-01,2015-06-30,0.0,0.0,0.0,next_open_rebalance
2015-08-03,2015-07-31,0.0,0.0,0.0,next_open_rebalance
2015-09-01,2015-08-31,0.0,0.0,0.0,next_open_rebalance
2015-10-01,2015-09-30,0.0,0.0,0.0,next_open_rebalance
2015-11-02,2015-10-30,0.0,0.0,0.0,next_open_rebalance
2015-12-01,2015-11-30,0.0,0.0,0.0,next_open_rebalance
2016-01-04,2015-12-31,0.0,0.0,0.0,next_open_rebalance
2016-02-01,2016-01-29,1.0,0.00010360309276083661,0.00018015463804183082,next_open_rebalance
2016-03-01,2016-02-29,0.7000000000000001,7.217948290283157e-05,0.00015567735020225427,next_open_rebalance
2016-04-01,2016-03-31,0.4,4.105510908319235e-05,0.00013188863539904366,next_open_rebalance
2016-05-02,2016-04-29,0.25,2.5967303774504626e-05,0.00019346075490092482,next_open_rebalance
2016-06-01,2016-05-31,0.45000000000000007,4.701956016610882e-05,0.00022439557401209023,next_open_rebalance
2016-07-01,2016-06-30,0.35000000000000003,3.617404383329546e-05,0.00016772054761363678,next_open_rebalance
2016-08-01,2016-07-29,0.3500000000000001,3.659281522376363e-05,0.0002275450319662318,next_open_rebalance
2016-09-01,2016-08-31,0.35,3.68385084946359e-05,0.00026264407066227196,next_open_rebalance
2016-10-03,2016-09-30,0.6500000000000001,6.796607845642432e-05,0.00022815988126340776,next_open_rebalance
2016-11-01,2016-10-31,0.4,4.1717262499810734e-05,0.000214657812476341,next_open_rebalance
2016-12-01,2016-11-30,0.5,5.191904225257352e-05,0.00019190422525735255,next_open_rebalance
2017-01-03,2016-12-30,0.7000000000000001,7.260336181364549e-05,0.0001859544152603908,next_open_rebalance
2017-02-01,2017-01-31,0.5,5.1697553319469456e-05,0.0001697553319469454,next_open_rebalance
2017-03-01,2017-02-28,0.3500000000000001,3.676307996395985e-05,0.0002518685662799773,next_open_rebalance
2017-04-03,2017-03-31,0.25,2.5637515780977422e-05,0.00012750315619548442,next_open_rebalance
2017-05-01,2017-04-28,0.45000000000000007,4.71762049364322e-05,0.00024180054849246563,next_open_rebalance
2017-06-01,2017-05-31,0.2,2.0797393829396596e-05,0.0001993484573491493,next_open_rebalance
2017-07-03,2017-06-30,0.30000000000000004,3.135787677743664e-05,0.0002263127962394393,next_open_rebalance
2017-08-01,2017-07-31,0.30000000000000004,3.146198110936025e-05,0.0002436635182267076,next_open_rebalance
2017-09-01,2017-08-31,0.2,2.151804492083392e-05,0.00037951123020848023,next_open_rebalance
2017-10-02,2017-09-29,0.24999999999999997,2.5462835836796048e-05,9.256716735921142e-05,next_open_rebalance
2017-11-01,2017-10-31,0.45000000000000007,4.698951522481302e-05,0.00022105724720144628,next_open_rebalance
2017-12-01,2017-11-30,0.4,4.1270394295063576e-05,0.0001587992868829467,next_open_rebalance
2018-01-02,2017-12-29,0.4,4.1740668772980113e-05,0.00021758359662251393,next_open_rebalance
2018-02-01,2018-01-31,0.30000000000000004,3.0828406507461383e-05,0.00013806775124356341,next_open_rebalance
2018-03-01,2018-02-28,0.4,4.091254489558101e-05,0.00011406811194762654,next_open_rebalance
2018-04-02,2018-03-29,0.25,2.574445224871678e-05,0.00014889044974335645,next_open_rebalance
2018-05-01,2018-04-30,0.4,4.121806048205621e-05,0.0001522575602570263,next_open_rebalance
2018-06-01,2018-05-31,0.55,5.651286800635906e-05,0.00013753345512355125,next_open_rebalance
2018-07-02,2018-06-29,0.6500000000000001,6.683824993142556e-05,0.00014140384087888864,next_open_rebalance
2018-08-01,2018-07-31,0.45000000000000007,4.6631712656010594e-05,0.00018130140622339854,next_open_rebalance
2018-09-04,2018-08-31,0.3500000000000001,3.610781758777326e-05,0.00015825965539617942,next_open_rebalance
2018-10-01,2018-09-28,0.25,2.591940448489022e-05,0.0001838808969780435,next_open_rebalance
2018-11-01,2018-10-31,0.35000000000000014,3.623878370419499e-05,0.00017696910059928264,next_open_rebalance
2018-12-03,2018-11-30,0.3500000000000001,3.628536154430243e-05,0.0001836230777574901,next_open_rebalance
2019-01-02,2018-12-31,0.45000000000000007,4.6505912247088094e-05,0.0001673235830097875,next_open_rebalance
2019-02-01,2019-01-31,0.5000000000000001,5.2184034266454603e-05,0.00021840342664545908,next_open_rebalance
2019-03-01,2019-02-28,0.4,4.179586927221529e-05,0.0002244836590269102,next_open_rebalance
2019-04-01,2019-03-29,0.45,4.666425609151333e-05,0.00018491734350148086,next_open_rebalance
2019-05-01,2019-04-30,0.3500000000000001,3.604847475253635e-05,0.00014978210750519046,next_open_rebalance
2019-06-03,2019-05-31,0.30000000000000004,3.1002544913285595e-05,0.00016709081888093206,next_open_rebalance
2019-07-01,2019-06-28,0.4,4.096582478732824e-05,0.00012072809841602971,next_open_rebalance
2019-08-01,2019-07-31,0.15000000000000002,1.5491685310262265e-05,0.00016389510342075498,next_open_rebalance
2019-09-03,2019-08-30,0.30000000000000004,3.108727158475302e-05,0.00018121193079217006,next_open_rebalance
2019-10-01,2019-09-30,0.4,4.12146083300527e-05,0.00015182604125658745,next_open_rebalance
2019-11-01,2019-10-31,0.55,5.74807945685184e-05,0.0002255267789562172,next_open_rebalance
2019-12-02,2019-11-29,0.35000000000000003,3.6402735958658465e-05,0.00020039085123692358,next_open_rebalance
2020-01-02,2019-12-31,0.5,5.153218410385699e-05,0.000153218410385699,next_open_rebalance
2020-02-03,2020-01-31,0.3,3.095251275365572e-05,0.0001587521256092869,next_open_rebalance
2020-03-02,2020-02-28,0.3500000000000001,3.5969778078551764e-05,0.00013853972550739371,next_open_rebalance
2020-04-01,2020-03-31,0.45,4.606927186931612e-05,0.00011880798547956831,next_open_rebalance
2020-05-01,2020-04-30,0.6500000000000001,6.702678798576001e-05,0.00015590676813538468,next_open_rebalance
2020-06-01,2020-05-29,0.5,5.153786538042203e-05,0.00015378653804220334,next_open_rebalance
2020-07-01,2020-06-30,0.2,2.0459923444593798e-05,0.00011498086114844907,next_open_rebalance
2020-08-03,2020-07-31,0.25,2.5664634823985206e-05,0.00013292696479704137,next_open_rebalance
2020-09-01,2020-08-31,0.5,5.1833463580344864e-05,0.0001833463580344863,next_open_rebalance
2020-10-01,2020-09-30,0.30000000000000004,3.08449850521146e-05,0.00014083084201909997,next_open_rebalance
2020-11-02,2020-10-30,0.25,2.596667858000905e-05,0.00019333571600181013,next_open_rebalance
2020-12-01,2020-11-30,0.25,2.6068122333223787e-05,0.00021362446664475678,next_open_rebalance
2021-01-04,2020-12-31,0.30000000000000004,3.107149977047466e-05,0.0001785832950791086,next_open_rebalance
2021-02-01,2021-01-29,0.5,5.1084182308493674e-05,0.00010841823084936713,next_open_rebalance
2021-03-01,2021-02-26,0.55,5.64829758924622e-05,0.00013481599022383567,next_open_rebalance
2021-04-01,2021-03-31,0.8,8.215893529404865e-05,0.00013493345587804053,next_open_rebalance
2021-05-03,2021-04-30,0.45,4.6441761791437404e-05,0.0001601957546041549,next_open_rebalance
2021-06-01,2021-05-28,0.4,4.099463214359137e-05,0.00012432901794892138,next_open_rebalance
2021-07-01,2021-06-30,0.30000000000000004,3.0702526646616005e-05,0.0001170877744360003,next_open_rebalance
2021-08-02,2021-07-30,0.35000000000000003,3.591267142443287e-05,0.00013038163206183795,next_open_rebalance
2021-09-01,2021-08-31,0.3500000000000001,3.6029485088140836e-05,0.0001470692983058334,next_open_rebalance
2021-10-01,2021-09-30,0.3500000000000001,3.577928207571214e-05,0.00011132601081601861,next_open_rebalance
2021-11-01,2021-10-29,0.4,4.121116701647503e-05,0.0001513958770593786,next_open_rebalance
2021-12-01,2021-11-30,0.45000000000000007,4.594520308306088e-05,0.000105022564784541,next_open_rebalance
2022-01-03,2021-12-31,0.4,4.091258343232085e-05,0.00011407292904010643,next_open_rebalance
2022-02-01,2022-01-31,0.30000000000000004,3.066450135247273e-05,0.00011075022541212071,next_open_rebalance
2022-03-01,2022-02-28,0.6500000000000001,6.644271714845116e-05,0.00011097824218855061,next_open_rebalance
2022-04-01,2022-03-31,0.55,5.6780755079079694e-05,0.00016188682537087996,next_open_rebalance
2022-05-02,2022-04-29,0.30000000000000004,3.080195929516589e-05,0.00013365988252764827,next_open_rebalance
2022-06-01,2022-05-31,0.5,5.149824532555168e-05,0.0001498245325551682,next_open_rebalance
2022-07-01,2022-06-30,0.3500000000000001,3.587265514076266e-05,0.00012466502010895033,next_open_rebalance
2022-08-01,2022-07-29,0.25000000000000006,2.55805590875146e-05,0.00011611181750291892,next_open_rebalance
2022-09-01,2022-08-31,0.35,3.621656984745638e-05,0.00017379569249376925,next_open_rebalance
2022-10-03,2022-09-30,0.2,2.0358859762974645e-05,8.971494074366141e-05,next_open_rebalance
2022-11-01,2022-10-31,0.15000000000000002,1.5310710101155713e-05,0.00010357003371857131,next_open_rebalance
2022-12-01,2022-11-30,0.55,5.663167670722594e-05,0.00014833424611144873,next_open_rebalance
2023-01-03,2022-12-30,0.2,2.0584471758525343e-05,0.00014611793963133468,next_open_rebalance
2023-02-01,2023-01-31,0.35000000000000003,3.600745500977342e-05,0.0001439221442533461,next_open_rebalance
2023-03-01,2023-02-28,0.3500000000000001,3.5750392308246254e-05,0.00010719890117803497,next_open_rebalance
2023-04-03,2023-03-31,0.6500000000000001,6.696686087321077e-05,0.00015129699024698072,next_open_rebalance
2023-05-01,2023-04-28,0.6000000000000001,6.162604397576981e-05,0.00013550366464748262,next_open_rebalance
2023-06-01,2023-05-31,0.55,5.626933307614331e-05,0.00011539391601302824,next_open_rebalance
2023-07-03,2023-06-30,0.3500000000000001,3.570608482832013e-05,0.00010086926118858908,next_open_rebalance
2023-08-01,2023-07-31,0.35000000000000003,3.587362162897026e-05,0.0001248030898528927,next_open_rebalance
2023-09-01,2023-08-31,0.30000000000000004,3.073455692991609e-05,0.00012242615498601382,next_open_rebalance
2023-10-02,2023-09-29,0.4,4.109199350276872e-05,0.00013649918784608954,next_open_rebalance
2023-11-01,2023-10-31,0.55,5.651758443501832e-05,0.00013796222136530057,next_open_rebalance
2023-12-01,2023-11-30,0.3500000000000001,3.5780325088028755e-05,0.00011147501257553431,next_open_rebalance
2024-01-02,2023-12-29,0.30000000000000004,3.06100001077196e-05,0.00010166668461993244,next_open_rebalance
2024-02-01,2024-01-31,0.30000000000000004,3.05952032630543e-05,9.920054384238294e-05,next_open_rebalance
2024-03-01,2024-02-29,0.30000000000000004,3.052556714086755e-05,8.7594523477924e-05,next_open_rebalance
2024-04-01,2024-03-28,0.30000000000000004,3.0373849917683858e-05,6.230831961397634e-05,next_open_rebalance
2024-05-01,2024-04-30,0.4,4.0852105279460755e-05,0.0001065131599325937,next_open_rebalance
2024-06-03,2024-05-31,0.55,5.6220721102473205e-05,0.00011097464567938181,next_open_rebalance
2024-07-01,2024-06-28,0.4,4.062886437247533e-05,7.860804655941472e-05,next_open_rebalance
2024-08-01,2024-07-31,0.25,2.5470816226598207e-05,9.416324531964195e-05,next_open_rebalance
2024-09-03,2024-08-30,0.55,5.624882834001151e-05,0.00011352984909195606,next_open_rebalance
2024-10-01,2024-09-30,0.3500000000000001,3.55924054225899e-05,8.462934608427013e-05,next_open_rebalance
2024-11-01,2024-10-31,0.5,5.1031756971452805e-05,0.00010317569714528017,next_open_rebalance
2024-12-02,2024-11-29,0.45,4.595868187871921e-05,0.000106520208746579,next_open_rebalance
2025-01-02,2024-12-31,0.4,4.1220293898968376e-05,0.00015253673737104578,next_open_rebalance
2025-02-03,2025-01-31,0.45000000000000007,4.592968013477023e-05,0.00010329779275224738,next_open_rebalance
2025-03-03,2025-02-28,0.5000000000000001,5.115751662785578e-05,0.00011575166278557746,next_open_rebalance
2025-04-01,2025-03-31,0.45000000000000007,4.586712937569802e-05,9.634770841089127e-05,next_open_rebalance
2025-05-01,2025-04-30,0.7000000000000001,7.081889717711798e-05,5.849265550842678e-05,next_open_rebalance
2025-06-02,2025-05-30,0.5,5.084844006216755e-05,8.484400621675559e-05,next_open_rebalance
2025-07-01,2025-06-30,0.55,5.601769044250258e-05,9.25173129547793e-05,next_open_rebalance
2025-08-01,2025-07-31,0.45000000000000007,4.565874967592508e-05,7.319440843611924e-05,next_open_rebalance
2025-09-02,2025-08-29,0.6000000000000001,6.11325133197314e-05,9.437610997761678e-05,next_open_rebalance
2025-10-01,2025-09-30,0.45,4.5627567943600775e-05,6.972977151119672e-05,next_open_rebalance
2025-11-03,2025-10-31,0.3500000000000001,3.5663558609485654e-05,9.479408706937809e-05,next_open_rebalance
2025-12-01,2025-11-28,0.3500000000000001,3.5486046533858186e-05,6.943521912259689e-05,next_open_rebalance
2026-01-02,2025-12-31,0.6000000000000001,6.08982828089951e-05,7.485690074959002e-05,next_open_rebalance
2026-02-02,2026-01-30,0.45000000000000007,4.5794611926073814e-05,8.829021400820066e-05,next_open_rebalance
