date,signal_date,turnover,cost,one_way_bps
1999-01-04,1998-12-31,1.0,0.0005,5.0
1999-04-01,1999-03-31,0.05605897799237723,2.8029488996188616e-05,5.0
1999-07-01,1999-06-30,0.06226162662947522,3.113081331473761e-05,5.0
1999-10-01,1999-09-30,0.04818532208736015,2.4092661043680073e-05,5.0
2000-01-03,1999-12-31,0.08145506147530442,4.072753073765221e-05,5.0
2000-04-03,2000-03-31,0.056900017892741905,2.8450008946370954e-05,5.0
2000-07-03,2000-06-30,0.0750792903334088,3.75396451667044e-05,5.0
2000-10-02,2000-09-29,0.08912350513355803,4.456175256677902e-05,5.0
2001-01-02,2000-12-29,0.09667392681509035,4.833696340754517e-05,5.0
2001-04-02,2001-03-30,0.06145480185543836,3.0727400927719185e-05,5.0
2001-07-02,2001-06-29,0.03975493265059045,1.9877466325295222e-05,5.0
2001-10-01,2001-09-28,0.07602804512554741,3.8014022562773704e-05,5.0
2002-01-02,2001-12-31,0.07744231832446319,3.8721159162231596e-05,5.0
2002-04-01,2002-03-28,0.045074163362213676,2.253708168110684e-05,5.0
2002-07-01,2002-06-28,0.05563808063843054,2.781904031921527e-05,5.0
2002-10-01,2002-09-30,0.05080122562292999,2.5400612811464995e-05,5.0
2003-01-02,2002-12-31,0.046211207242922575,2.3105603621461286e-05,5.0
2003-04-01,2003-03-31,0.02487301970033419,1.2436509850167094e-05,5.0
2003-07-01,2003-06-30,0.03452215676657745,1.7261078383288724e-05,5.0
2003-10-01,2003-09-30,0.02879181509969886,1.439590754984943e-05,5.0
2004-01-02,2003-12-31,0.03543253204341129,1.7716266021705645e-05,5.0
2004-04-01,2004-03-31,0.0301371353986864,1.50685676993432e-05,5.0
2004-07-01,2004-06-30,0.02706232208168448,1.3531161040842238e-05,5.0
2004-10-01,2004-09-30,0.047194624864695764,2.3597312432347884e-05,5.0
2005-01-03,2004-12-31,0.02493158425679866,1.2465792128399329e-05,5.0
2005-04-01,2005-03-31,0.05932756289481539,2.9663781447407695e-05,5.0
2005-07-01,2005-06-30,0.03861366526715729,1.9306832633578643e-05,5.0
2005-10-03,2005-09-30,0.04277212325713235,2.1386061628566177e-05,5.0
2006-01-03,2005-12-30,0.03689176864515932,1.844588432257966e-05,5.0
2006-04-03,2006-03-31,0.02983891962815982,1.4919459814079911e-05,5.0
2006-07-03,2006-06-30,0.0322953729361832,1.6147686468091602e-05,5.0
2006-10-02,2006-09-29,0.04162783333551276,2.081391666775638e-05,5.0
2007-01-03,2006-12-29,0.02244961615760495,1.1224808078802473e-05,5.0
2007-04-02,2007-03-30,0.03247648820635762,1.623824410317881e-05,5.0
2007-07-02,2007-06-29,0.03463792579879646,1.731896289939823e-05,5.0
2007-10-01,2007-09-28,0.039436370437969354,1.9718185218984677e-05,5.0
2008-01-02,2007-12-31,0.05389267882201368,2.6946339411006837e-05,5.0
2008-04-01,2008-03-31,0.03988236082679879,1.9941180413399397e-05,5.0
2008-07-01,2008-06-30,0.08632227223347871,4.3161136116739356e-05,5.0
2008-10-01,2008-09-30,0.10655196980222456,5.3275984901112287e-05,5.0
2009-01-02,2008-12-31,0.08139698778563255,4.0698493892816275e-05,5.0
2009-04-01,2009-03-31,0.0755187318638553,3.7759365931927645e-05,5.0
2009-07-01,2009-06-30,0.04698417615206056,2.3492088076030283e-05,5.0
2009-10-01,2009-09-30,0.04437415050418329,2.2187075252091647e-05,5.0
2010-01-04,2009-12-31,0.024808891461222407,1.2404445730611204e-05,5.0
2010-04-01,2010-03-31,0.0456995656496333,2.284978282481665e-05,5.0
2010-07-01,2010-06-30,0.02856550231321224,1.4282751156606122e-05,5.0
2010-10-01,2010-09-30,0.026922998119595143,1.3461499059797572e-05,5.0
2011-01-03,2010-12-31,0.045352828485243565,2.2676414242621783e-05,5.0
2011-04-01,2011-03-31,0.030167732405695855,1.5083866202847928e-05,5.0
2011-07-01,2011-06-30,0.04208649948691634,2.104324974345817e-05,5.0
2011-10-03,2011-09-30,0.09256828634828138,4.628414317414069e-05,5.0
2012-01-03,2011-12-30,0.03198724335935896,1.599362167967948e-05,5.0
2012-04-02,2012-03-30,0.04816391568900959,2.408195784450479e-05,5.0
2012-07-02,2012-06-29,0.03736566804513436,1.868283402256718e-05,5.0
2012-10-01,2012-09-28,0.023104139181933853,1.1552069590966926e-05,5.0
2013-01-02,2012-12-31,0.03164389026836323,1.5821945134181615e-05,5.0
2013-04-01,2013-03-28,0.026889278747991255,1.3444639373995626e-05,5.0
2013-07-01,2013-06-28,0.028087684701130725,1.404384235056536e-05,5.0
2013-10-01,2013-09-30,0.0251433921770524,1.2571696088526201e-05,5.0
