date,signal_date,turnover,cost,one_way_bps
1999-01-04,1998-12-31,1.0,0.0005,5.0
2000-01-03,1999-12-31,0.12305881438250521,6.15294071912526e-05,5.0
2001-01-02,2000-12-29,0.20618033647863254,0.00010309016823931627,5.0
2002-01-02,2001-12-31,0.09312465238198621,4.65623261909931e-05,5.0
2003-01-02,2002-12-31,0.10285010988869471,5.142505494434736e-05,5.0
2004-01-02,2003-12-31,0.06017241519536584,3.0086207597682923e-05,5.0
2005-01-03,2004-12-31,0.05861951196227219,2.93097559811361e-05,5.0
2006-01-03,2005-12-30,0.09068395989872623,4.5341979949363116e-05,5.0
2007-01-03,2006-12-29,0.028393391415209662,1.4196695707604831e-05,5.0
2008-01-02,2007-12-31,0.11369268982825537,5.684634491412768e-05,5.0
2009-01-02,2008-12-31,0.14172298638813768,7.086149319406885e-05,5.0
2010-01-04,2009-12-31,0.10102613906654304,5.051306953327152e-05,5.0
2011-01-03,2010-12-31,0.06335772134546716,3.167886067273358e-05,5.0
2012-01-03,2011-12-30,0.08209558353867873,4.1047791769339364e-05,5.0
2013-01-02,2012-12-31,0.05223060288313393,2.6115301441566962e-05,5.0
2014-01-02,2013-12-31,0.06199310449489072,3.099655224744536e-05,5.0
2015-01-02,2014-12-31,0.07018786687943812,3.509393343971906e-05,5.0
2016-01-04,2015-12-31,0.07495714924415606,3.747857462207803e-05,5.0
2017-01-03,2016-12-30,0.06598526587336677,3.299263293668338e-05,5.0
2018-01-02,2017-12-29,0.06170476740472686,3.085238370236343e-05,5.0
2019-01-02,2018-12-31,0.08508146099361895,4.2540730496809475e-05,5.0
2020-01-02,2019-12-31,0.053557067990576204,2.6778533995288102e-05,5.0
2021-01-04,2020-12-31,0.1314638924197586,6.57319462098793e-05,5.0
2022-01-03,2021-12-31,0.06282543149486412,3.1412715747432063e-05,5.0
2023-01-03,2022-12-30,0.17458078625412643,8.729039312706321e-05,5.0
2024-01-02,2023-12-29,0.12959251926230841,6.47962596311542e-05,5.0
2025-01-02,2024-12-31,0.08266115254234403,4.1330576271172016e-05,5.0
2026-01-02,2025-12-31,0.0485560411561957,2.4278020578097854e-05,5.0
