version,window_years,start,end,cagr,spy_cagr,beats_spy,max_drawdown
base_12_1_top3,3,2006-02-01,2009-02-02,-0.08677633769106441,-0.11707024875584948,True,-0.41902164201143444
base_12_1_top3,3,2006-03-03,2009-03-04,-0.12528492735169716,-0.16157586317752703,True,-0.45256910707782816
base_12_1_top3,3,2006-04-03,2009-04-02,-0.09597964906380141,-0.1186556317979317,True,-0.46336074029522134
base_12_1_top3,3,2006-05-03,2009-05-04,-0.10417828095347048,-0.09656401527182057,False,-0.4633607402952219
base_12_1_top3,3,2006-06-02,2009-06-03,-0.07304830608143464,-0.08127526850137701,True,-0.46336074029522123
base_12_1_top3,3,2006-07-03,2009-07-02,-0.08420943743458886,-0.09035673827313162,True,-0.46336074029522056
base_12_1_top3,3,2006-08-02,2009-08-03,-0.04568666661395249,-0.055526311537870354,True,-0.4633607402952211
base_12_1_top3,3,2006-08-31,2009-09-01,-0.047307692356774234,-0.06462481915402729,True,-0.463360740295221
base_12_1_top3,3,2006-10-02,2009-10-01,-0.04117552395127533,-0.06301182590413756,True,-0.4633607402952208
base_12_1_top3,3,2006-10-31,2009-10-30,-0.051095626237350866,-0.07093603350358801,True,-0.463360740295221
base_12_1_top3,3,2006-11-30,2009-12-01,-0.030043021608933906,-0.05428148710296732,True,-0.463360740295221
base_12_1_top3,3,2007-01-03,2009-12-31,-0.02090924522122295,-0.05670994606519719,True,-0.463360740295221
base_12_1_top3,3,2007-02-02,2010-02-02,-0.03983962173054467,-0.06608484012067228,True,-0.46336074029522056
base_12_1_top3,3,2007-03-06,2010-03-04,-0.01963296196928066,-0.043554134988493476,True,-0.4633607402952211
base_12_1_top3,3,2007-04-04,2010-04-05,-0.010373673346478318,-0.04090747442044218,True,-0.46336074029522056
base_12_1_top3,3,2007-05-04,2010-05-04,-0.01322083139916963,-0.05861513329564505,True,-0.46336074029522145
base_12_1_top3,3,2007-06-05,2010-06-03,-0.039830537252933174,-0.08485109024463555,True,-0.4633607402952209
base_12_1_top3,3,2007-07-05,2010-07-02,-0.06834872610501119,-0.10549960877759634,True,-0.4633607402952208
base_12_1_top3,3,2007-08-03,2010-08-03,-0.02669204895693822,-0.06712271244573087,True,-0.463360740295221
base_12_1_top3,3,2007-09-04,2010-09-01,-0.03919629896431365,-0.07784147174069489,True,-0.4633607402952208
base_12_1_top3,3,2007-10-03,2010-10-01,-0.04208707489142427,-0.07386640492435692,True,-0.46336074029522123
base_12_1_top3,3,2007-11-01,2010-11-01,-0.03723605067714053,-0.06442862899253943,True,-0.4633607402952209
base_12_1_top3,3,2007-12-03,2010-12-01,-0.010561290915316768,-0.04554774790544813,True,-0.4633607402952211
base_12_1_top3,3,2008-01-03,2010-12-31,-0.01109177625875013,-0.025026425632911686,True,-0.463360740295221
base_12_1_top3,3,2008-02-04,2011-02-01,0.021479423655845098,0.00022848981260392698,True,-0.46336074029522056
base_12_1_top3,3,2008-03-05,2011-03-03,0.028831387654515206,0.02356999449825392,True,-0.46336074029522145
base_12_1_top3,3,2008-04-04,2011-04-01,0.024184931055313053,0.012354576051808897,True,-0.4633607402952209
base_12_1_top3,3,2008-05-05,2011-05-03,0.016863417718376184,0.007986612817198369,True,-0.46336074029522123
base_12_1_top3,3,2008-06-04,2011-06-02,-0.006582495473952399,0.006152960281452513,False,-0.4582882359659397
base_12_1_top3,3,2008-07-03,2011-07-01,0.01999751030346575,0.042655004843964006,False,-0.4147284115166482
base_12_1_top3,3,2008-08-04,2011-08-02,0.014579405769991949,0.020299905935484697,False,-0.4006945172008617
base_12_1_top3,3,2008-09-03,2011-08-31,0.0032303382346670073,0.006487574699952425,False,-0.38172468471900634
base_12_1_top3,3,2008-10-02,2011-09-30,-0.008163565361824832,0.013273325855249984,False,-0.2986823407357587
base_12_1_top3,3,2008-10-31,2011-10-31,0.08130719183900559,0.11624668323928633,False,-0.2584361024288263
base_12_1_top3,3,2008-12-02,2011-11-30,0.12099825379728757,0.17595680897361876,False,-0.25843610242882664
base_12_1_top3,3,2009-01-02,2011-12-30,0.0953337313932312,0.140451035134455,False,-0.25843610242882586
base_12_1_top3,3,2009-02-03,2012-02-01,0.10775066502535635,0.19603091645270676,False,-0.25843610242882686
base_12_1_top3,3,2009-03-05,2012-03-02,0.16832741443634158,0.2687995888725745,False,-0.2584361024288264
base_12_1_top3,3,2009-04-03,2012-04-02,0.14776133394326507,0.2179174098135681,False,-0.258436102428826
base_12_1_top3,3,2009-05-05,2012-05-02,0.1394738429450617,0.17977083697322915,False,-0.2584361024288264
base_12_1_top3,3,2009-06-04,2012-06-01,0.09440219097136926,0.13314325838127639,False,-0.2584361024288264
base_12_1_top3,3,2009-07-06,2012-07-02,0.1296467899705871,0.1735932259041908,False,-0.25843610242882653
base_12_1_top3,3,2009-08-04,2012-08-01,0.0979439543282552,0.1333468284383772,False,-0.2584361024288264
base_12_1_top3,3,2009-09-02,2012-08-30,0.0963270931443363,0.14218714492437634,False,-0.258436102428827
base_12_1_top3,3,2009-10-02,2012-10-01,0.09567295828501887,0.142064935583057,False,-0.258436102428827
base_12_1_top3,3,2009-11-02,2012-11-01,0.09164629758915743,0.13587245642547585,False,-0.25843610242882686
base_12_1_top3,3,2009-12-02,2012-12-03,0.05983874714832682,0.10510176703887586,False,-0.2584361024288261
base_12_1_top3,3,2010-01-04,2013-01-03,0.06676069479189839,0.1165128256546073,False,-0.2584361024288263
base_12_1_top3,3,2010-02-03,2013-02-04,0.0945086836604978,0.12951087706838416,False,-0.2584361024288263
base_12_1_top3,3,2010-03-05,2013-03-06,0.09901218772060894,0.13416944556248223,False,-0.2584361024288272
base_12_1_top3,3,2010-04-06,2013-04-05,0.0790408683040682,0.11629349295698099,False,-0.25843610242882675
base_12_1_top3,3,2010-05-05,2013-05-06,0.08816609078895943,0.13566590804654055,False,-0.2584361024288261
base_12_1_top3,3,2010-06-04,2013-06-05,0.10949313469378774,0.15724636408007586,False,-0.25843610242882775
base_12_1_top3,3,2010-07-06,2013-07-05,0.16114443459103023,0.19335229131312248,False,-0.25843610242882586
base_12_1_top3,3,2010-08-04,2013-08-05,0.14105726714967837,0.17425099255439358,False,-0.25843610242882653
base_12_1_top3,3,2010-09-02,2013-09-04,0.1450308585020883,0.1758978523369763,False,-0.2584361024288262
base_12_1_top3,3,2010-10-04,2013-10-03,0.1284976618696796,0.1591208358434133,False,-0.25843610242882553
base_12_1_top3,3,2010-11-02,2013-11-01,0.13539411977215465,0.16545789388605048,False,-0.2584361024288263
base_12_1_top3,3,2010-12-02,2013-12-03,0.1284928024449319,0.16481605519025821,False,-0.258436102428826
base_12_1_top3,3,2011-01-03,2014-01-03,0.12664888923953987,0.15687861832021155,False,-0.258436102428826
base_12_1_top3,3,2011-02-02,2014-02-04,0.09390209990934406,0.12590353320815395,False,-0.25843610242882686
base_12_1_top3,3,2011-03-04,2014-03-06,0.11575761329815837,0.14468036122570305,False,-0.25843610242882675
base_12_1_top3,3,2011-04-04,2014-04-04,0.09976475100447191,0.14228189418295756,False,-0.2584361024288261
base_12_1_top3,3,2011-05-04,2014-05-06,0.09780248817018622,0.13550672767140926,False,-0.2488984171324189
base_12_1_top3,3,2011-06-03,2014-06-05,0.12817306059495248,0.16231851609856984,False,-0.24889841713241878
base_12_1_top3,3,2011-07-05,2014-07-07,0.12170967885608386,0.16191671916627826,False,-0.24889841713241867
base_12_1_top3,3,2011-08-03,2014-08-05,0.13115488724065671,0.17621794775090516,False,-0.18947792470223035
base_12_1_top3,3,2011-09-01,2014-09-04,0.16091366604265445,0.20301425798170247,False,-0.14229235130206463
base_12_1_top3,3,2011-10-03,2014-10-03,0.20996445851437162,0.22711760173245543,False,-0.07830457991275153
base_12_1_top3,3,2011-11-01,2014-11-03,0.17502310987805214,0.19554894212912788,False,-0.08138163008448951
base_12_1_top3,3,2011-12-01,2014-12-03,0.18758708147313263,0.20912849629680852,False,-0.08138163008448951
base_12_1_top3,3,2012-01-03,2015-01-05,0.1769853142112887,0.19512521628159485,False,-0.08138163008448973
base_12_1_top3,3,2012-02-02,2015-02-04,0.1808014363297159,0.17834112214403586,True,-0.08138163008448984
base_12_1_top3,3,2012-03-05,2015-03-06,0.16594759161124517,0.17118889504045764,False,-0.08138163008448973
base_12_1_top3,3,2012-04-03,2015-04-07,0.15969132296993904,0.1577457127822255,True,-0.08138163008448984
base_12_1_top3,3,2012-05-03,2015-05-06,0.1596747566996286,0.1634733481074777,False,-0.08138163008448951
base_12_1_top3,3,2012-06-04,2015-06-05,0.19704397116869,0.20280258995622114,False,-0.08138163008448973
base_12_1_top3,3,2012-07-03,2015-07-07,0.17482974978799093,0.17384389550433865,True,-0.08138163008448973
base_12_1_top3,3,2012-08-02,2015-08-05,0.18026544935400413,0.17476817011093426,True,-0.08138163008448973
base_12_1_top3,3,2012-08-31,2015-09-03,0.15330659176705264,0.13917706024485144,True,-0.1106677928335148
base_12_1_top3,3,2012-10-02,2015-10-05,0.15358756033980359,0.13447966549333001,True,-0.11066779283351502
base_12_1_top3,3,2012-11-02,2015-11-03,0.1752715610204969,0.16222264634104455,True,-0.11066779283351502
