sector,hold_months,hold_month_share,cum_contribution,contribution_share_abs,contribution_share_of_positive,version
XLB,64,0.2591093117408907,0.018768880742007304,0.00790733721824604,0.00790733721824604,base_12_1_top3
XLE,75,0.30364372469635625,0.13419084678628299,0.05653465924402508,0.05653465924402508,base_12_1_top3
XLF,71,0.2874493927125506,0.23899286054593463,0.10068779098054216,0.10068779098054216,base_12_1_top3
XLI,85,0.3441295546558704,0.4226915871089219,0.17808014044786377,0.17808014044786377,base_12_1_top3
XLK,118,0.4777327935222672,0.5244959888005957,0.22097037698051641,0.22097037698051641,base_12_1_top3
XLP,68,0.27530364372469635,0.15917298001970748,0.06705964230631886,0.06705964230631886,base_12_1_top3
XLU,82,0.3319838056680162,0.05411325209572232,0.022797935485793556,0.022797935485793556,base_12_1_top3
XLV,77,0.3117408906882591,0.30825573533982054,0.12986826877401103,0.12986826877401103,base_12_1_top3
XLY,101,0.4089068825910931,0.5129210454558087,0.2160938485626831,0.2160938485626831,base_12_1_top3
XLB,75,0.30364372469635625,0.24962160511428647,0.12035092157883057,0.12401807673980579,composite_6_1_12_1_top3
XLE,76,0.3076923076923077,-0.061330576209900955,0.029569521293811428,0.0,composite_6_1_12_1_top3
XLF,81,0.32793522267206476,0.13106589627979043,0.06319125060351363,0.06511672086779714,composite_6_1_12_1_top3
XLI,86,0.3481781376518219,0.31941567345565125,0.15400097539437824,0.15869346519257893,composite_6_1_12_1_top3
XLK,114,0.46153846153846156,0.5573793274553662,0.268731208973397,0.2769195886465548,composite_6_1_12_1_top3
XLP,66,0.26720647773279355,0.1766293150941253,0.08515889816381526,0.08775373407207082,composite_6_1_12_1_top3
XLU,75,0.30364372469635625,0.062082323112231774,0.02993196360904341,0.0308440061043319,composite_6_1_12_1_top3
XLV,73,0.29554655870445345,0.20791691628919573,0.10024369675764554,0.10329817432289833,composite_6_1_12_1_top3
XLY,95,0.38461538461538464,0.308672979820088,0.14882156362556467,0.15335623405396204,composite_6_1_12_1_top3
XLB,76,0.3076923076923077,0.20441174211179383,0.08923675733535234,0.09071776371931169,composite_top3_buffer
XLE,78,0.3157894736842105,-0.03739612937700504,0.016325428705911412,0.0,composite_top3_buffer
XLF,85,0.3441295546558704,0.2127358716083257,0.09287068910578758,0.09441200557173099,composite_top3_buffer
XLI,83,0.3360323886639676,0.44823719337458023,0.1956797258347861,0.19892729927678884,composite_top3_buffer
XLK,114,0.46153846153846156,0.5097108908968236,0.2225163124791048,0.22620927588518425,composite_top3_buffer
XLP,70,0.2834008097165992,0.10554784517820395,0.04607733073516669,0.04684204723778611,composite_top3_buffer
XLU,75,0.30364372469635625,0.1864081758061138,0.08137722900790309,0.08272779573924129,composite_top3_buffer
XLV,65,0.2631578947368421,0.16541675753077414,0.0722133420442232,0.0734118215023306,composite_top3_buffer
XLY,95,0.38461538461538464,0.4208029196475138,0.18370318475176478,0.18675199106762636,composite_top3_buffer
