signal_date,execution_date,symbol,weight
2006-01-31,2006-02-01,XLB,0.3333333333333333
2006-01-31,2006-02-01,XLE,0.3333333333333333
2006-01-31,2006-02-01,XLF,0.3333333333333333
2006-01-31,2006-02-01,XLI,0.0
2006-01-31,2006-02-01,XLK,0.0
2006-01-31,2006-02-01,XLP,0.0
2006-01-31,2006-02-01,XLU,0.0
2006-01-31,2006-02-01,XLV,0.0
2006-01-31,2006-02-01,XLY,0.0
2006-02-28,2006-03-01,XLB,0.3333333333333333
2006-02-28,2006-03-01,XLE,0.3333333333333333
2006-02-28,2006-03-01,XLF,0.3333333333333333
2006-02-28,2006-03-01,XLI,0.0
2006-02-28,2006-03-01,XLK,0.0
2006-02-28,2006-03-01,XLP,0.0
2006-02-28,2006-03-01,XLU,0.0
2006-02-28,2006-03-01,XLV,0.0
2006-02-28,2006-03-01,XLY,0.0
2006-03-31,2006-04-03,XLB,0.3333333333333333
2006-03-31,2006-04-03,XLE,0.0
2006-03-31,2006-04-03,XLF,0.3333333333333333
2006-03-31,2006-04-03,XLI,0.0
2006-03-31,2006-04-03,XLK,0.3333333333333333
2006-03-31,2006-04-03,XLP,0.0
2006-03-31,2006-04-03,XLU,0.0
2006-03-31,2006-04-03,XLV,0.0
2006-03-31,2006-04-03,XLY,0.0
2006-04-28,2006-05-01,XLB,0.3333333333333333
2006-04-28,2006-05-01,XLE,0.3333333333333333
2006-04-28,2006-05-01,XLF,0.0
2006-04-28,2006-05-01,XLI,0.0
2006-04-28,2006-05-01,XLK,0.3333333333333333
2006-04-28,2006-05-01,XLP,0.0
2006-04-28,2006-05-01,XLU,0.0
2006-04-28,2006-05-01,XLV,0.0
2006-04-28,2006-05-01,XLY,0.0
2006-05-31,2006-06-01,XLB,0.3333333333333333
2006-05-31,2006-06-01,XLE,0.3333333333333333
2006-05-31,2006-06-01,XLF,0.3333333333333333
2006-05-31,2006-06-01,XLI,0.0
2006-05-31,2006-06-01,XLK,0.0
2006-05-31,2006-06-01,XLP,0.0
2006-05-31,2006-06-01,XLU,0.0
2006-05-31,2006-06-01,XLV,0.0
2006-05-31,2006-06-01,XLY,0.0
2006-06-30,2006-07-03,XLB,0.3333333333333333
2006-06-30,2006-07-03,XLE,0.3333333333333333
2006-06-30,2006-07-03,XLF,0.3333333333333333
2006-06-30,2006-07-03,XLI,0.0
2006-06-30,2006-07-03,XLK,0.0
2006-06-30,2006-07-03,XLP,0.0
2006-06-30,2006-07-03,XLU,0.0
2006-06-30,2006-07-03,XLV,0.0
2006-06-30,2006-07-03,XLY,0.0
2006-07-31,2006-08-01,XLB,0.3333333333333333
2006-07-31,2006-08-01,XLE,0.0
2006-07-31,2006-08-01,XLF,0.3333333333333333
2006-07-31,2006-08-01,XLI,0.3333333333333333
2006-07-31,2006-08-01,XLK,0.0
2006-07-31,2006-08-01,XLP,0.0
2006-07-31,2006-08-01,XLU,0.0
2006-07-31,2006-08-01,XLV,0.0
2006-07-31,2006-08-01,XLY,0.0
2006-08-31,2006-09-01,XLB,0.3333333333333333
2006-08-31,2006-09-01,XLE,0.3333333333333333
2006-08-31,2006-09-01,XLF,0.3333333333333333
2006-08-31,2006-09-01,XLI,0.0
2006-08-31,2006-09-01,XLK,0.0
2006-08-31,2006-09-01,XLP,0.0
2006-08-31,2006-09-01,XLU,0.0
2006-08-31,2006-09-01,XLV,0.0
2006-08-31,2006-09-01,XLY,0.0
2006-09-29,2006-10-02,XLB,0.3333333333333333
2006-09-29,2006-10-02,XLE,0.0
2006-09-29,2006-10-02,XLF,0.3333333333333333
2006-09-29,2006-10-02,XLI,0.0
2006-09-29,2006-10-02,XLK,0.0
2006-09-29,2006-10-02,XLP,0.3333333333333333
2006-09-29,2006-10-02,XLU,0.0
2006-09-29,2006-10-02,XLV,0.0
2006-09-29,2006-10-02,XLY,0.0
2006-10-31,2006-11-01,XLB,0.3333333333333333
2006-10-31,2006-11-01,XLE,0.0
2006-10-31,2006-11-01,XLF,0.3333333333333333
2006-10-31,2006-11-01,XLI,0.0
2006-10-31,2006-11-01,XLK,0.0
2006-10-31,2006-11-01,XLP,0.3333333333333333
2006-10-31,2006-11-01,XLU,0.0
2006-10-31,2006-11-01,XLV,0.0
2006-10-31,2006-11-01,XLY,0.0
2006-11-30,2006-12-01,XLB,0.3333333333333333
2006-11-30,2006-12-01,XLE,0.0
2006-11-30,2006-12-01,XLF,0.3333333333333333
2006-11-30,2006-12-01,XLI,0.0
2006-11-30,2006-12-01,XLK,0.0
2006-11-30,2006-12-01,XLP,0.0
2006-11-30,2006-12-01,XLU,0.3333333333333333
2006-11-30,2006-12-01,XLV,0.0
2006-11-30,2006-12-01,XLY,0.0
2006-12-29,2007-01-03,XLB,0.0
2006-12-29,2007-01-03,XLE,0.3333333333333333
2006-12-29,2007-01-03,XLF,0.0
2006-12-29,2007-01-03,XLI,0.0
2006-12-29,2007-01-03,XLK,0.0
2006-12-29,2007-01-03,XLP,0.0
2006-12-29,2007-01-03,XLU,0.3333333333333333
2006-12-29,2007-01-03,XLV,0.0
2006-12-29,2007-01-03,XLY,0.3333333333333333
2007-01-31,2007-02-01,XLB,0.0
2007-01-31,2007-02-01,XLE,0.0
2007-01-31,2007-02-01,XLF,0.3333333333333333
2007-01-31,2007-02-01,XLI,0.0
2007-01-31,2007-02-01,XLK,0.0
2007-01-31,2007-02-01,XLP,0.0
2007-01-31,2007-02-01,XLU,0.3333333333333333
2007-01-31,2007-02-01,XLV,0.0
2007-01-31,2007-02-01,XLY,0.3333333333333333
2007-02-28,2007-03-01,XLB,0.0
2007-02-28,2007-03-01,XLE,0.0
2007-02-28,2007-03-01,XLF,0.3333333333333333
2007-02-28,2007-03-01,XLI,0.0
2007-02-28,2007-03-01,XLK,0.0
2007-02-28,2007-03-01,XLP,0.0
2007-02-28,2007-03-01,XLU,0.3333333333333333
2007-02-28,2007-03-01,XLV,0.0
2007-02-28,2007-03-01,XLY,0.3333333333333333
2007-03-30,2007-04-02,XLB,0.3333333333333333
2007-03-30,2007-04-02,XLE,0.0
2007-03-30,2007-04-02,XLF,0.0
2007-03-30,2007-04-02,XLI,0.0
2007-03-30,2007-04-02,XLK,0.0
2007-03-30,2007-04-02,XLP,0.0
2007-03-30,2007-04-02,XLU,0.3333333333333333
2007-03-30,2007-04-02,XLV,0.0
2007-03-30,2007-04-02,XLY,0.3333333333333333
2007-04-30,2007-05-01,XLB,0.3333333333333333
2007-04-30,2007-05-01,XLE,0.0
2007-04-30,2007-05-01,XLF,0.0
2007-04-30,2007-05-01,XLI,0.0
2007-04-30,2007-05-01,XLK,0.0
2007-04-30,2007-05-01,XLP,0.0
2007-04-30,2007-05-01,XLU,0.3333333333333333
2007-04-30,2007-05-01,XLV,0.0
2007-04-30,2007-05-01,XLY,0.3333333333333333
2007-05-31,2007-06-01,XLB,0.3333333333333333
2007-05-31,2007-06-01,XLE,0.0
2007-05-31,2007-06-01,XLF,0.0
2007-05-31,2007-06-01,XLI,0.0
2007-05-31,2007-06-01,XLK,0.0
2007-05-31,2007-06-01,XLP,0.0
2007-05-31,2007-06-01,XLU,0.3333333333333333
2007-05-31,2007-06-01,XLV,0.3333333333333333
2007-05-31,2007-06-01,XLY,0.0
2007-06-29,2007-07-02,XLB,0.3333333333333333
2007-06-29,2007-07-02,XLE,0.3333333333333333
2007-06-29,2007-07-02,XLF,0.0
2007-06-29,2007-07-02,XLI,0.0
2007-06-29,2007-07-02,XLK,0.0
2007-06-29,2007-07-02,XLP,0.0
2007-06-29,2007-07-02,XLU,0.3333333333333333
2007-06-29,2007-07-02,XLV,0.0
2007-06-29,2007-07-02,XLY,0.0
2007-07-31,2007-08-01,XLB,0.3333333333333333
2007-07-31,2007-08-01,XLE,0.3333333333333333
2007-07-31,2007-08-01,XLF,0.0
2007-07-31,2007-08-01,XLI,0.3333333333333333
2007-07-31,2007-08-01,XLK,0.0
2007-07-31,2007-08-01,XLP,0.0
2007-07-31,2007-08-01,XLU,0.0
2007-07-31,2007-08-01,XLV,0.0
2007-07-31,2007-08-01,XLY,0.0
2007-08-31,2007-09-04,XLB,0.3333333333333333
2007-08-31,2007-09-04,XLE,0.3333333333333333
2007-08-31,2007-09-04,XLF,0.0
2007-08-31,2007-09-04,XLI,0.3333333333333333
2007-08-31,2007-09-04,XLK,0.0
2007-08-31,2007-09-04,XLP,0.0
2007-08-31,2007-09-04,XLU,0.0
2007-08-31,2007-09-04,XLV,0.0
2007-08-31,2007-09-04,XLY,0.0
2007-09-28,2007-10-01,XLB,0.3333333333333333
2007-09-28,2007-10-01,XLE,0.3333333333333333
2007-09-28,2007-10-01,XLF,0.0
2007-09-28,2007-10-01,XLI,0.3333333333333333
2007-09-28,2007-10-01,XLK,0.0
2007-09-28,2007-10-01,XLP,0.0
2007-09-28,2007-10-01,XLU,0.0
2007-09-28,2007-10-01,XLV,0.0
2007-09-28,2007-10-01,XLY,0.0
2007-10-31,2007-11-01,XLB,0.3333333333333333
2007-10-31,2007-11-01,XLE,0.3333333333333333
2007-10-31,2007-11-01,XLF,0.0
2007-10-31,2007-11-01,XLI,0.3333333333333333
2007-10-31,2007-11-01,XLK,0.0
2007-10-31,2007-11-01,XLP,0.0
2007-10-31,2007-11-01,XLU,0.0
2007-10-31,2007-11-01,XLV,0.0
2007-10-31,2007-11-01,XLY,0.0
2007-11-30,2007-12-03,XLB,0.3333333333333333
2007-11-30,2007-12-03,XLE,0.3333333333333333
2007-11-30,2007-12-03,XLF,0.0
2007-11-30,2007-12-03,XLI,0.3333333333333333
2007-11-30,2007-12-03,XLK,0.0
2007-11-30,2007-12-03,XLP,0.0
2007-11-30,2007-12-03,XLU,0.0
2007-11-30,2007-12-03,XLV,0.0
2007-11-30,2007-12-03,XLY,0.0
2007-12-31,2008-01-02,XLB,0.3333333333333333
2007-12-31,2008-01-02,XLE,0.3333333333333333
2007-12-31,2008-01-02,XLF,0.0
2007-12-31,2008-01-02,XLI,0.0
2007-12-31,2008-01-02,XLK,0.0
2007-12-31,2008-01-02,XLP,0.0
2007-12-31,2008-01-02,XLU,0.3333333333333333
2007-12-31,2008-01-02,XLV,0.0
2007-12-31,2008-01-02,XLY,0.0
2008-01-31,2008-02-01,XLB,0.3333333333333333
2008-01-31,2008-02-01,XLE,0.3333333333333333
2008-01-31,2008-02-01,XLF,0.0
2008-01-31,2008-02-01,XLI,0.0
2008-01-31,2008-02-01,XLK,0.0
