date,signal_date,turnover,cost,one_way_bps
2000-04-03,2000-03-31,1.0,0.0005,5.0
2000-05-01,2000-04-28,0.6978897708943465,0.0003489448854471732,5.0
2000-06-01,2000-05-31,0.7408221427878365,0.00037041107139391824,5.0
2000-07-03,2000-06-30,0.679960779268242,0.00033998038963412106,5.0
2000-08-01,2000-07-31,0.016399152068091172,8.199576034045586e-06,5.0
2000-09-01,2000-08-31,0.6955447804474831,0.00034777239022374155,5.0
2000-10-02,2000-09-29,0.7478131929793449,0.00037390659648967246,5.0
2000-11-01,2000-10-31,0.6666666666666667,0.0003333333333333334,5.0
2000-12-01,2000-11-30,0.017980851443700596,8.990425721850298e-06,5.0
2001-01-02,2000-12-29,0.7157630845400729,0.00035788154227003644,5.0
2001-02-01,2001-01-31,0.025953716274809246,1.2976858137404624e-05,5.0
2001-03-01,2001-02-28,0.038069909451233674,1.9034954725616836e-05,5.0
2001-04-02,2001-03-30,0.02086210894685253,1.0431054473426265e-05,5.0
2001-05-01,2001-04-30,0.012250287773139745,6.125143886569873e-06,5.0
2001-06-01,2001-05-31,0.6822669423739303,0.0003411334711869651,5.0
2001-07-02,2001-06-29,0.022942989640642897,1.1471494820321449e-05,5.0
2001-08-01,2001-07-31,0.007906715345395887,3.953357672697943e-06,5.0
2001-09-04,2001-08-31,0.6666666666666666,0.0003333333333333333,5.0
2001-10-01,2001-09-28,0.7161980079263323,0.00035809900396316613,5.0
2001-11-01,2001-10-31,0.019472551141554106,9.736275570777053e-06,5.0
2001-12-03,2001-11-30,0.031246202675723256,1.5623101337861628e-05,5.0
2002-01-02,2001-12-31,0.6793560391637216,0.00033967801958186076,5.0
2002-02-01,2002-01-31,0.6666666666666666,0.0003333333333333333,5.0
2002-03-01,2002-02-28,0.6750349700344487,0.0003375174850172243,5.0
2002-04-01,2002-03-28,0.6876795548423394,0.00034383977742116973,5.0
2002-05-01,2002-04-30,0.014461778147133841,7.230889073566921e-06,5.0
2002-06-03,2002-05-31,0.025663924067481192,1.2831962033740596e-05,5.0
2002-07-01,2002-06-28,0.03158408729167894,1.579204364583947e-05,5.0
2002-08-01,2002-07-31,0.6991107316889371,0.0003495553658444686,5.0
2002-09-03,2002-08-30,0.010875424430375868,5.437712215187934e-06,5.0
2002-10-01,2002-09-30,0.027036821819731494,1.3518410909865746e-05,5.0
2002-11-01,2002-10-31,0.009956627286040076,4.978313643020038e-06,5.0
2002-12-02,2002-11-29,0.6975335145467128,0.00034876675727335636,5.0
2003-01-02,2002-12-31,0.6666666666666667,0.0003333333333333334,5.0
2003-02-03,2003-01-31,0.6893618953001475,0.00034468094765007374,5.0
2003-03-03,2003-02-28,0.6883903891500414,0.00034419519457502064,5.0
2003-04-01,2003-03-31,0.6666666666666667,0.0003333333333333334,5.0
2003-05-01,2003-04-30,0.029448094223923693,1.4724047111961847e-05,5.0
2003-06-02,2003-05-30,1.3525111315142377,0.0006762555657571188,5.0
2003-07-01,2003-06-30,0.6774694682211755,0.00033873473411058773,5.0
2003-08-01,2003-07-31,1.3333333333333333,0.0006666666666666666,5.0
2003-09-02,2003-08-29,0.6666666666666666,0.0003333333333333333,5.0
2003-10-01,2003-09-30,0.01550071708099321,7.750358540496604e-06,5.0
2003-11-03,2003-10-31,0.6728738386715782,0.00033643691933578915,5.0
2003-12-01,2003-11-28,1.3417029327878482,0.0006708514663939241,5.0
2004-01-02,2003-12-31,1.3404445743189337,0.0006702222871594668,5.0
2004-02-02,2004-01-30,0.03250418371497715,1.6252091857488575e-05,5.0
2004-03-01,2004-02-27,0.696733086711278,0.00034836654335563904,5.0
2004-04-01,2004-03-31,0.6725286708522524,0.00033626433542612624,5.0
2004-05-03,2004-04-30,0.6697131672478103,0.00033485658362390514,5.0
2004-06-01,2004-05-28,0.6750052259325707,0.00033750261296628536,5.0
2004-07-01,2004-06-30,0.0076212519342087615,3.8106259671043806e-06,5.0
2004-08-02,2004-07-30,0.027073244310100664,1.3536622155050332e-05,5.0
2004-09-01,2004-08-31,0.6794158631633815,0.00033970793158169077,5.0
2004-10-01,2004-09-30,0.6838320741100199,0.00034191603705501,5.0
2004-11-01,2004-10-29,0.6741402126756253,0.0003370701063378126,5.0
2004-12-01,2004-11-30,0.681431013863769,0.00034071550693188455,5.0
2005-01-03,2004-12-31,0.025785439003027877,1.2892719501513939e-05,5.0
2005-02-01,2005-01-31,0.6666666666666667,0.0003333333333333334,5.0
2005-03-01,2005-02-28,0.7085269329015647,0.00035426346645078236,5.0
2005-04-01,2005-03-31,0.6718223843440184,0.0003359111921720092,5.0
2005-05-02,2005-04-29,0.04372174938513701,2.1860874692568505e-05,5.0
2005-06-01,2005-05-31,0.017639585598116847,8.819792799058424e-06,5.0
2005-07-01,2005-06-30,0.6666666666666665,0.00033333333333333327,5.0
2005-08-01,2005-07-29,0.6796133020510018,0.0003398066510255009,5.0
2005-09-01,2005-08-31,0.6814714783077567,0.00034073573915387835,5.0
2005-10-03,2005-09-30,0.023312112752555847,1.1656056376277924e-05,5.0
2005-11-01,2005-10-31,0.695868440985633,0.0003479342204928165,5.0
2005-12-01,2005-11-30,0.011474876775816989,5.7374383879084944e-06,5.0
2006-01-03,2005-12-30,0.6727089227731456,0.0003363544613865728,5.0
2006-02-01,2006-01-31,0.6874017842073692,0.0003437008921036846,5.0
2006-03-01,2006-02-28,0.7054945567631309,0.00035274727838156546,5.0
2006-04-03,2006-03-31,0.02562240722669895,1.2811203613349476e-05,5.0
2006-05-01,2006-04-28,1.3333333333333335,0.0006666666666666668,5.0
2006-06-01,2006-05-31,0.6666666666666666,0.0003333333333333333,5.0
2006-07-03,2006-06-30,0.6681074380453805,0.00033405371902269025,5.0
2006-08-01,2006-07-31,0.03665245695868696,1.832622847934348e-05,5.0
2006-09-01,2006-08-31,0.6981999812408091,0.00034909999062040457,5.0
2006-10-02,2006-09-29,0.6666666666666667,0.0003333333333333334,5.0
2006-11-01,2006-10-31,0.6734910175949249,0.00033674550879746244,5.0
2006-12-01,2006-11-30,1.3333333333333333,0.0006666666666666666,5.0
2007-01-03,2006-12-29,0.014154286668269844,7.0771433341349224e-06,5.0
2007-02-01,2007-01-31,1.340818851397007,0.0006704094256985034,5.0
2007-03-01,2007-02-28,0.703078768929172,0.000351539384464586,5.0
2007-04-02,2007-03-30,0.6785322678265792,0.0003392661339132896,5.0
2007-05-01,2007-04-30,0.6746113607653637,0.00033730568038268187,5.0
2007-06-01,2007-05-31,0.6807816434350704,0.0003403908217175352,5.0
2007-07-02,2007-06-29,0.6787029659088649,0.00033935148295443247,5.0
2007-08-01,2007-07-31,0.6705247661892817,0.0003352623830946408,5.0
2007-09-04,2007-08-31,0.6751845742053854,0.00033759228710269264,5.0
