date,signal_date,turnover,cost,one_way_bps
2000-04-03,2000-03-31,1.0,0.0005,5.0
2000-05-01,2000-04-28,0.024429432654337946,1.2214716327168974e-05,5.0
2000-06-01,2000-05-31,0.07415547612116985,3.707773806058492e-05,5.0
2000-07-03,2000-06-30,0.7062572358787216,0.00035312861793936084,5.0
2000-08-01,2000-07-31,0.7252246452945994,0.0003626123226472997,5.0
2000-09-01,2000-08-31,0.7165071195924231,0.00035825355979621156,5.0
2000-10-02,2000-09-29,0.005892870434504094,2.946435217252047e-06,5.0
2000-11-01,2000-10-31,0.7096239827211237,0.00035481199136056185,5.0
2000-12-01,2000-11-30,0.017980851443700596,8.990425721850298e-06,5.0
2001-01-02,2000-12-29,0.049096417873406184,2.4548208936703092e-05,5.0
2001-02-01,2001-01-31,0.020698808507591537,1.034940425379577e-05,5.0
2001-03-01,2001-02-28,0.7027020032546025,0.00035135100162730123,5.0
2001-04-02,2001-03-30,0.6875287756135191,0.00034376438780675956,5.0
2001-05-01,2001-04-30,0.019074488696309844,9.537244348154922e-06,5.0
2001-06-01,2001-05-31,0.6841330905465713,0.00034206654527328564,5.0
2001-07-02,2001-06-29,0.022688848567354813,1.1344424283677407e-05,5.0
2001-08-01,2001-07-31,0.6734842505815335,0.00033674212529076676,5.0
2001-09-04,2001-08-31,0.023260931453681688,1.1630465726840845e-05,5.0
2001-10-01,2001-09-28,1.367850532219323,0.0006839252661096616,5.0
2001-11-01,2001-10-31,0.6861392178082207,0.00034306960890411034,5.0
2001-12-03,2001-11-30,0.6666666666666667,0.0003333333333333334,5.0
2002-01-02,2001-12-31,0.03661995334469259,1.8309976672346297e-05,5.0
2002-02-01,2002-01-31,0.006194563486321136,3.097281743160568e-06,5.0
2002-03-01,2002-02-28,0.01178696320328737,5.893481601643685e-06,5.0
2002-04-01,2002-03-28,0.6785082329351969,0.00033925411646759847,5.0
2002-05-01,2002-04-30,0.01987276049669534,9.93638024834767e-06,5.0
2002-06-03,2002-05-31,0.019776528352259515,9.888264176129757e-06,5.0
2002-07-01,2002-06-28,0.022459398509751316,1.1229699254875659e-05,5.0
2002-08-01,2002-07-31,0.042052520870814125,2.1026260435407064e-05,5.0
2002-09-03,2002-08-30,0.010875424430375868,5.437712215187934e-06,5.0
2002-10-01,2002-09-30,0.027036821819731494,1.3518410909865746e-05,5.0
2002-11-01,2002-10-31,0.009956627286040076,4.978313643020038e-06,5.0
2002-12-02,2002-11-29,0.6975335145467128,0.00034876675727335636,5.0
2003-01-02,2002-12-31,0.024971711975161792,1.2485855987580896e-05,5.0
2003-02-03,2003-01-31,0.6666666666666667,0.0003333333333333334,5.0
2003-03-03,2003-02-28,0.019686102989095566,9.843051494547782e-06,5.0
2003-04-01,2003-03-31,0.018243101459360478,9.121550729680238e-06,5.0
2003-05-01,2003-04-30,0.7105273072676584,0.0003552636536338292,5.0
2003-06-02,2003-05-30,1.3525111315142377,0.0006762555657571188,5.0
2003-07-01,2003-06-30,0.6832385271318597,0.00034161926356592986,5.0
2003-08-01,2003-07-31,0.6752927036335641,0.000337646351816782,5.0
2003-09-02,2003-08-29,0.6666666666666666,0.0003333333333333333,5.0
2003-10-01,2003-09-30,0.01550071708099321,7.750358540496604e-06,5.0
2003-11-03,2003-10-31,0.6728738386715782,0.00033643691933578915,5.0
2003-12-01,2003-11-28,1.3333333333333333,0.0006666666666666666,5.0
2004-01-02,2003-12-31,0.6807347592725237,0.00034036737963626183,5.0
2004-02-02,2004-01-30,0.6957484163430294,0.0003478742081715147,5.0
2004-03-01,2004-02-27,0.03051573720627282,1.525786860313641e-05,5.0
2004-04-01,2004-03-31,1.3360141166301063,0.0006680070583150531,5.0
2004-05-03,2004-04-30,0.03151598510164827,1.5757992550824135e-05,5.0
2004-06-01,2004-05-28,0.6729856577258395,0.0003364928288629198,5.0
2004-07-01,2004-06-30,0.686470849357051,0.00034323542467852553,5.0
2004-08-02,2004-07-30,0.6938595667841807,0.00034692978339209035,5.0
2004-09-01,2004-08-31,0.6796472684263444,0.00033982363421317216,5.0
2004-10-01,2004-09-30,0.03877566429132623,1.9387832145663113e-05,5.0
2004-11-01,2004-10-29,0.017563493275099595,8.781746637549797e-06,5.0
2004-12-01,2004-11-30,0.011926015731786033,5.963007865893016e-06,5.0
2005-01-03,2004-12-31,0.025785439003027877,1.2892719501513939e-05,5.0
2005-02-01,2005-01-31,0.6666666666666667,0.0003333333333333334,5.0
2005-03-01,2005-02-28,0.042328375593071954,2.1164187796535978e-05,5.0
2005-04-01,2005-03-31,0.020117145584275742,1.005857279213787e-05,5.0
2005-05-02,2005-04-29,0.04372174938513701,2.1860874692568505e-05,5.0
2005-06-01,2005-05-31,0.017639585598116847,8.819792799058424e-06,5.0
