sector,hold_months,hold_month_share,cum_contribution,contribution_share_abs,contribution_share_of_positive,version
XLB,104,0.3280757097791798,0.07377052407541171,0.026115844275222032,0.026115844275222032,base_12_1_top3
XLE,106,0.334384858044164,0.45366946202951236,0.16060562360482833,0.16060562360482833,base_12_1_top3
XLF,92,0.2902208201892745,0.2350751160172238,0.08322002859312487,0.08322002859312487,base_12_1_top3
XLI,97,0.305993690851735,0.4456397083631103,0.1577629733871644,0.1577629733871644,base_12_1_top3
XLK,137,0.43217665615141954,0.481115083659862,0.17032177500158627,0.17032177500158627,base_12_1_top3
XLP,81,0.2555205047318612,0.08476819922410896,0.030009182097781802,0.030009182097781802,base_12_1_top3
XLU,112,0.35331230283911674,0.1451739879376951,0.05139371462127772,0.05139371462127772,base_12_1_top3
XLV,98,0.30914826498422715,0.3522444809224363,0.12469969714696547,0.12469969714696547,base_12_1_top3
XLY,124,0.3911671924290221,0.5532855099770924,0.19587116127204912,0.19587116127204912,base_12_1_top3
XLB,116,0.3659305993690852,0.3592714606644729,0.14311975841877345,0.14311975841877345,composite_6_1_12_1_top3
XLE,113,0.35646687697160884,0.254433500379219,0.10135639786296452,0.10135639786296452,composite_6_1_12_1_top3
XLF,107,0.33753943217665616,0.1272646089385686,0.05069726399325083,0.05069726399325083,composite_6_1_12_1_top3
XLI,95,0.2996845425867508,0.3420527160436714,0.13626048113065858,0.13626048113065858,composite_6_1_12_1_top3
XLK,132,0.416403785488959,0.6180598891478163,0.24621099003958963,0.24621099003958963,composite_6_1_12_1_top3
XLP,78,0.24605678233438485,0.1595939173670702,0.06357600143478206,0.06357600143478206,composite_6_1_12_1_top3
XLU,103,0.3249211356466877,0.14330360747283133,0.057086576384658756,0.057086576384658756,composite_6_1_12_1_top3
XLV,93,0.29337539432176657,0.21215975805321174,0.08451618523386849,0.08451618523386849,composite_6_1_12_1_top3
XLY,114,0.35962145110410093,0.2941460862479349,0.1171763455014535,0.1171763455014535,composite_6_1_12_1_top3
XLB,112,0.35331230283911674,0.2909759777604801,0.10241818392649239,0.10241818392649239,composite_top3_buffer
XLE,117,0.36908517350157727,0.25571864996722965,0.09000825403991536,0.09000825403991536,composite_top3_buffer
XLF,108,0.34069400630914826,0.19898481079804559,0.07003898778086846,0.07003898778086846,composite_top3_buffer
XLI,92,0.2902208201892745,0.48816690270755536,0.17182575693408,0.17182575693408,composite_top3_buffer
XLK,131,0.41324921135646686,0.5912556296887681,0.20811108977142118,0.20811108977142118,composite_top3_buffer
XLP,85,0.26813880126182965,0.13081468083499276,0.04604435783723778,0.04604435783723778,composite_top3_buffer
XLU,105,0.3312302839116719,0.26530049655726506,0.09338088752659271,0.09338088752659271,composite_top3_buffer
XLV,84,0.26498422712933756,0.17261850864361264,0.060758535132172366,0.060758535132172366,composite_top3_buffer
XLY,117,0.36908517350157727,0.4472221181859598,0.1574139470512199,0.1574139470512199,composite_top3_buffer
